,Message ID,Subject,Message,Spam/Ham,Date
0,20901,cialis - erection in 15 minutes,"full & hard erections
long - lasting effects
discreet delivery
no prescription required
2 sites :
cialis - http : / / www . medgamma . com / sv /
viagra - http : / / www . medgamma . com / vt /
select the manufacturer you can rely on !
shipping & delivery to any location
to be taken out , go here : http : / / www . medgamma . com / uns . htm
",spam,2005-01-06
1,1583,new meter number,"tetco enerfin is going to be assigned meter # 0439 . activity will be
scheduled under this meter for october lst .
jackie young is assigned this meter . thanks , pat",ham,2000-09-12
2,32919,can you last 36 hours ? 6 d 4 zdl,""" ci - ialis softabs "" is better than pfizer viiagrra
and normal ci - ialis because :
- guaaraantees 36 hours lasting
- safe to take , no side effects at all
- boost and increase se - xual performance
- haarder e - rectiions and quick recharge
- proven and certified by experts and doctors
- only $ 3 . 99 per tabs
cllick heree :
http : / / gallanted . com / cs / ? ronn
o - ut of mai - lling lisst :
http : / / gallanted . com / rm . php ? ronn
ioo",spam,2005-05-20
3,11235,re : philip hawkins at pwc,"what did you hear ?
- - - - - original message - - - - -
from : kitchen , louise
sent : wednesday , march 21 , 2001 12 : 46 pm
to : rozen , tara
cc : lynch , drew ; oxley , david
subject : re : philip hawkins at pwc
if this has not been done - i would like to know who is requesting phillip is retained . i spoke to john who was not aware of the issues - he does feel that this tax year is out of the question . but going forward this should be an issue - john was also unaware of the advice i had been given which is clearly incorrect .
why did i receive no response to this email should the action i requested not have been implemented .
louise kitchen
03 / 05 / 2001 10 : 44 am
to : tara rozen / lon / ect @ ect
cc : drew c lynch / lon / ect @ ect , david oxley / enron @ enronxgate
subject : philip hawkins at pwc
i have recently had some very bad experiences with philip ' s advice and suggest that he is removed from enron ' s account completely . obviously david has had him removed from working on anything this side of the atlantic .
i feel strongly that enron employees should not be exposed to the potential liabilities which could be incurred through incorrect advice and would suggest your side of the water remove him also in the interests of enron as a whole .
if you want to know the details let me know . let me know if you have problems removing him and i will further explain why i think our individuals are at risk .
louise
",ham,2001-03-21
4,25643,"all graphics software available , cheap oem versions .","good morning ,
we we offer latest oem packages of all graphics and publishing software from corei , macromedia , adobe and others .
$ 80 adobe photoshop 8 . 0 / cs
$ 140 macromedia studio mx 2004
$ 120 adobe acrobat 7 . 0 professionai
$ 150 adobe premiere pro 1 . 5
$ 90 corel desiqner 10
$ 90 quickbooks 2004 professionai edition
$ 75 adobe paqemaker 7 . 0
$ 70 xara x vl . 1
$ 75 adobe audition 1 . 5
$ 90 discreet 3 d studio max 7
$ 115 adobe golive cs
$ 135 adobe after effects 6 . 5 standard
$ 45 adobe premiere eiements
$ 125 corei painter ix
$ 80 adobe iliustrator cs
$ 80 adobe indesign cs
$ 240 adobe creative suite
$ 140 adobe framemaker 7 . 1
$ 50 uiead cooi 3 d production studio 1 . 0 . 1
$ 90 aiias motion builder 6 professionai
$ 30 quicken 2004 premier home & biz
$ 30 adobe photoshop eiements 3 . 0
$ 110 adobe premiere pro 7 . 0
learn more . . .
sincerely ,
lucie
",spam,2005-06-26
5,32695,company spotlight > > ( otc : sbgx ),"here ' s
another company to put on your radar , another one from the same source that
alerted us to : cyad , tftg which all doubled .
stonebridge resources exploration
ltd .
( otc : sbgx . pk )
current price : $ 0 . 41
equity
structure freetrading 20 , 000 , 000
sharesfloat 3 , 000 , 000
shares
overviewstonebridge resources exploration ltd .
( nasd pink : sbgx ) , is a nevada corporation listed on the nasdaq pink
sheets . the company is focused on resource acquisition and development for
interests located primarily in canada and the united states . the company has
begun an intensive campaign to acquire and develop high value base metals , gold
and rare earth bearing properties . the company has a strategy to acquire a large
number of high value properties and begin development of them commencing
immediately . the initial target acquisitions all have very high potential for
moving into production and produce substantial income and profits . a private
funding group has agreed to finance acquisition and development of the initial
properties under friendly terms which involve a working interest in the
properties and equity in the company .
value resources has a
highly talented management group with many years of experience in resource
property development . the target portfolio of initial acquisition candidates has
a diverse and robust mix of deposits , some of very high value . one target
acquisition , for example , has a large deposit of scandium . scandium is a very
expensive rare earth material which has been used by the russian materials
industry in alloy with aluminum to coat the surface of aircraft . currently there
is no scandium mined in the free world , and the property that stonebridge plans
to develop contains large reserves of scandium and titanium . the company plans
to develop properties with many diverse resources such as copper , gold , zinc ,
talc , platinum and palladium amongst others . stonebridge has an initial
plan to acquire at least ten and as many as twenty valuable mining properties
within a very short timeframe . in the next several months sbgx plans to control
at least a dozen high - value mining properties with the potential to bring in
many millions of dollars of profit to the company . the exact extent of the
potential revenues is as yet undermined because , although most of the candidate
properties have known reserves , more exploration and drilling needs to be
conducted in order to determine the minimum value of the mining operations once
acquisition is complete . even after exploration , the potential exists to uncover
undiscovered reserves with the potential to multiply the known value of
the candidate acquisitions . one target acquisition is about 10 kilometers
southwest of timmins , ontario . the property already has indicated probable
reserves of 100 , 000 ounces with grades of 0 . 3 ounces per ton . this medium grade
ore in large volume constitutes a substantial deposit . exploration is ongoing at
the site and the company already has a joint venture partner lined up for
development once the acquisition is completed . the company has a strategy to
develop properties in joint ventures with large mining interests . this strategy
allows the company to leverage its capital and proceed with development quickly
on all properties simultaneously . the company has at least ten gold bearing
sites under review for acquisition at this time .
 resources is building a
large and well funded mining concern with substantial acquisition properties in
various stages of development . the strategy of developing diverse properties
with various types of rare earth , gold and mineral deposits insures that there
is robust and lasting value built into the company . moreover the chances of
uncovering greater value as development continues increases as the variety and
extent of the deposits become fully known . stonebridge plans to develop these
properties and get them into production as soon as possible . the company
is well funded by investors who care for the long - term viability of the company
and who will act in the best interests of the shareholders . gmcr expects that
stonebridge will realize sizeable profits of many millions of dollars from the
development of these initial candidate properties . moreover , gmcr expects that
the company will continue to expand through acquisition and become a major
mining concern throughout north america .
press release
stonebridge signs loi to acquire 50 % interest in mining
claims of 6070205 canada inc . friday april 29 , 4 : 01 pm
et
carson city , nev . - - ( business wire ) - - april 29 , 2005 - - stonebridge
resources explorations ltd . ( nqb : sbgx - news ) , has entered into a
letter of intent with 6070205 canada inc . to acquire 50 % interest in the mining
claims of their property in northern ontario , 15 km n . w . of kirkland lake .
the property was explored previously by a number of companies and previous
drilling indicated geology finds that are favorable for a potential large
sulphite deposit .
the initial drilling done in 1998 indicated zinc mineralization in a number
of drill holes , varying from 0 . 6 meters of 4 . 4 % zinc and 1 . 76 % zinc over 4 . 6
meters , 1 . 33 % zinc over 4 meters .
in the year 2002 a megatem airborne survey was conducted over the property
identifying several areas of interest . a confirmation of the geophysical result
from the airborne survey was obtained by a ground geophysical survey that
identified the down plunge extension of the previous drilling . it was
recommended that a 3 drill hole program for a total of 500 meters be undertaken .
harold pizel , stonebridge resources president , said ; "" this agreement signed
once again shows our strong belief and commitment to the mineral rich northern
ontario region , we are excited about the opportunities ahead . ""
stonebridge resources explorations ltd . is a junior resource and exploration
company concentrating on acquiring and consolidating large advanced
exploration - stage companies with near term production potential and future
growth potential and acquiring this growth initiative in a profitable and
socially responsible manner .
safe harbor
the foregoing contains forward looking statements . for this purpose any
statements contained in this document that are not statements of historical fact
may be deemed to be forward looking statements . without limiting the foregoing ,
such words a "" may "" , "" will "" , "" believes "" , "" estimates "" , "" continue "" , or comparable
terminology intends to identify forward looking statements . these statements by
their nature involve substantial risks and uncertainties and actual results may
differ materially depending upon a variety of factors stated in the company ' s
filings with the securities and exchange commission .
contact : stonebridge resources explorations ltd .
investor relations :
harold pizel , 905 - 481 - 2533
- - - - - - - - - - - - - - - - -
disclaimer :
never invest in any stock featured on our site or emails unless you can
afford to lose your entire
disclaimer is to be read and fully understood before using our site , or joining
our email list . please note well : the otc live employees are not
registered as an investment advisor in any jurisdiction whatsoever .
release of liability : through use of this website viewing or using
you agree to hold otc live , its operators owners and employees harmless and to
completely release them from any and all liability due to any and all loss
( monetary or otherwise ) , damage ( monetary or otherwise ) , or injury ( monetary or
otherwise ) that you may incur . otc live has been compensated 20 , 000
registered shares of sbgx from a third party for advertisement services for
sbgx . otclive . com is written and published by otc live employees . readers
are advised that this analysis report is issued solely for informational
purposes . neither the information presented nor any statement or expression of
opinion , or any other matter herein , directly or indirectly constitutes a
representation by the publisher nor a solicitation of the purchase or sale of
any securities . the information contained herein is based on sources which we
believe to be reliable but is not guaranteed by us as being accurate and does
not purport to be a complete statement or summary of the available data . the
owner , publisher , editor and their associates are not responsible for errors and
omissions . they may from time to time have a position in the securities
mentioned herein and may increase or decrease such positions without notice . any
opinions expressed are subject to change without notice . otc live encourages
readers and investors to supplement the information in these reports with
independent research and other professional advice . all information on
featured companies is provided by the companies profiled , or is available from
public sources and otc live makes no representations , warranties or guarantees
as to the accuracy or completeness of the disclosure by the profiled companies .
otc live , nor any of its affiliates are not registered investment advisors or a
broker dealers . otc live has been advised that the investments in companies
profiled are considered to be high risk and use of the information provided is
at the investor ' s sole risk . otc live has also been advised that the purchase of
such high risk securities may result in the loss of some or all of the
investment . investors should not rely solely on the information presented .
rather , investors should use the information provided by the profiled companies
as a starting point for doing additional independent research on the profiled
companies in order to allow the investor to form his or her own opinion
regarding investing in the profiled companies . factual statements made by the
profiled companies are made as of the date stated and are subject to change
without notice . investing in micro - cap securities is highly speculative and
carries an extremely high degree of risk . it is possible that an investor ' s
entire investment may be lost or impaired due to the speculative nature of the
companies profiled . otc live makes no recommendation that the securities of the
companies profiled should be purchased , sold or held by individuals or entities
that learn of the profiled companies through otc live . otc live owners may or
may not hold positions in the companies that are profiled . investing in
securities is highly speculative and carries an extremely high degree of risk .
it is possible that an investor ' s investment may be lost or impaired due to the
speculative nature of the companies profiled . the information
contained herein contains forward - looking information within the meaning of
section 27 a of the securities act of 1993 and section 21 e of the securities
exchange act of 1934 including statements regarding expected continual growth of
the company and the value of its securities . in accordance with the safe harbor
provisions of the private securities litigation reform act of 1995 it is hereby
noted that statements contained herein that look forward in time which include
everything other than historical information , involve risk and uncertainties
that may affect the company ' s actual results of operation . factors that could
cause actual results to differ include the size and growth of the market for the
company ' s products , the company ' s ability to fund its capital requirements in
the near term and in the long term , pricing pressures , unforeseen and / or
unexpected circumstances in happenings , pricing pressures , etc . investing in
securities is speculative and carries risk . past performance does not guarantee
future results . third party web sites and informationotc live
and newsletter may provide hyperlinks to third party websites or access to third
party content . otc live does not control , endorse , or guarantee content found in
such sites . you agree that otc live is not responsible for any content ,
associated links , resources , or services associated with a third party site . you
further agree that otc live , inc . shall not be liable for any loss or damage of
any sort associated with your use of third party content . links and access to
these sites are provided for your convenience
only .
subscribe
|
updateprofile
|
unsubscribe
",spam,2005-05-01
6,26532,levitra is in the class of oral impotence medication like viagra .,"same medication - low price
a fault confessed is half redressed .
a horse ! a horse ! my kingdom for a horse !
friends applaud , the comedy is over .",spam,2005-07-05
7,4191,cia _ lis r _ x direct descriptive chameleon,"hey hershel ,
all discount m - e - d prices you asked about are ready .
t vic _ xan _ cial - val - all others can be sent right to your door .
everything is here _ no dr visit
go here
for what you need .
also ashley romeo medusa and airfoil prospectus .
sadie thinks wharves uttermost congest .
all m - e - d - s ! ,
imitation is the sincerest form of television . - fred allen ( 1894 - 1956 ) ads 60 lkptt its kind of fun to do the impossible . - walt disney ( 1901 - 1966 )
",spam,2004-08-15
8,7378,re : a / a program question,"gwyn :
just because the a / a program does not have a contract does not mean
that enron does not . do you have a telephone number for melly ' s
and i will call them directly and ask her if she has a contract .
thanks !
shirley
gwyn koepke @ enron
10 / 23 / 2000 04 : 22 pm
to : vince j kaminski / hou / ect @ ect
cc : shirley crenshaw / hou / ect @ ect
subject : re : a / a program question
vince ,
the a / a program does not have a contract in place with melly language
services . it appears that by the note below from my contact in the a / a - hr
department , the reimbursement policy appears to be driven by department , not
enron at large .
as i mentioned earlier , if i continue with my current tutor , but outside of
the melly language services , the cost to the department will decrease for me
to take french classes .
pls advise if research will be able to continue to fund my lessons .
many thanks ,
gwyn koepke
- - - - - - - - - - - - - - - - - - - - - - forwarded by gwyn koepke / na / enron on 10 / 23 / 2000 04 : 19
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : ivonne brown 10 / 23 / 2000 04 : 17 pm
to : gwyn koepke / na / enron @ enron
cc :
subject : re : a / a program question
gwyn ,
in the past the associate & analyst program use to pick - up the cost for the
classes , but they stopped doing so effective 1 / 99 . ( although , some business
units decided to continue paying for it - you may want to double check with
your business unit to whether or not they have a contract . the a / a dept does
not . ) please let me know if you have additional questions .
thank you for your patience .
sincerely ,
ivonne brown
gwyn koepke
10 / 23 / 2000 01 : 15 pm
to : ivonne brown / na / enron @ enron
cc :
subject : a / a program question
ivonne , have you been able to find an answer to the attached ? thanks !
gwyn
- - - - - - - - - - - - - - - - - - - - - - forwarded by gwyn koepke / na / enron on 10 / 23 / 2000 01 : 14
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
gwyn koepke
10 / 19 / 2000 08 : 25 pm
to : ivonne brown / na / enron @ enron
cc :
subject : a / a program question
ivonne ,
i am currently enrolled in a french language class thru enron and melly ' s
language services , and my group is paying the cost directly .
i am considering quitting the melly ' s language program in favor of an outside
private tutor , for a number of reasons . it will be cheaper too .
i would like to know :
1 . does enron have a contract in place with melly ' s language service , to be
the exclusive provider of language services to enron ?
2 . will enron pay the costs of my language classes if they are held outside
of the melly contract ( if any ) ?
i just want to make sure that if i decide to "" drop out "" of the melly classes
and sign up for other private tutoring courses , which will be less expensive
than the melly svc , that enron will not have a problem picking up the tab .
vince kaminski , the md , wants to know this , to ensure there is no legal
restriction on who must provide these language services in order to secure
enron reimbursement .
thanks for your help .
gwyn koepke",ham,2000-10-24
9,6452,new expense account forms,"hello all :
along with the inception of the new sap time keeping , we also have new
expense account forms .
they will no longer use your social security number as the id on your
expense accounts , they want you to use your new employee # that was
sent to you by email to access hronline .
in order for anita and myself to continue to do your expense reports , we
will need your new employee # .
please send this number to me as soon as possible .
thanks !
shirley",ham,2000-07-06
