review,sentiment
"Great. Another foreign film that thinks it's Fellini. On top of that, we have to have more propaganda about murdering disabled people.<br /><br />I see no reason why we have to be inundated with these thinly disguised euthanasia commercials.<br /><br />I found nothing redeeming about this film. What can be redeeming about a man without the courage to carry on, in spite of some adversity. It does not take courage to commit suicide. That is the action of a coward. Sharing this ""wish"" with his woman simply inflicts her with the same illness he has. If this had been a film about a man's courage to go on, in spite of his problems, similar to the Jill Kinmont story, that would have made it a great film.<br /><br />If you're interested in seeing true courage, check out the movies about Jill Kinmont, the former skier who was disabled after a bad ski accident.",negative
"I enjoyed some of the older Doctor Who many years ago, so when the new one came out, I just had to check it out. I was SO pleased - with the characters, the story lines, the updated look, I became hooked! From Season 1 (27 for the old fans) through to season 2 (28), it just keeps on getting better. It ties in nicely with the old shows too, although you don't have to know the old shows to enjoy this newer version.<br /><br />Even though there has been a change of cast, I highly recommend Doctor Who - with Chris Eccleston AND with David Tennant.<br /><br />I like that they've given the characters so much depth. The Doctor seems more vulnerable in this series, maybe because he is the last TimeLord. The range of emotions which Chris and David show are truly remarkable, and I felt their pain, anger, and sense of adventure right along with them. <br /><br />Billie Piper (Rose) brings a very human element to each episode, although she is much braver than I would be. With her talent, Billie will go far in the industry.",positive
"A great look at the 60s through the eyes of four friends from their student days in 1960 to their reunion 10 years later - a Yugoslavian immigrant in love with the American dream and struggling to cope with the often violent reality; a prematurely balding undertaker's son; a soldier; and the crazy hippy girl they all love. Good direction and a strong cast do justice to Steve Tesich's brilliant script; the dialogue isn't as snappy as in ""Breaking Away"", but the themes of growing up and father-son conflict are dealt with just as well, and there are still a few wonderfully comic moments among the shocks and drama.",positive
"Watching this movie is like eating a banquet of nothing but meringue. It initially looks great but ultimately provides NO satisfaction--none.<br /><br />The plot is a muddled mess about a toy factory and the forces of evil. So, how is it possible that with this basic plot AND Robin Williams that the movie still turns out so badly?! It's because the picture is all appearance with no substance whatsoever--much like the terrible Popeye picture Williams did at the beginning of his film career. The film must have cost a fortune but perhaps there wasn't enough money left over to hire writers who had graduated grade school.<br /><br />The film is one unfunny joke that goes on and on and on and on. I really am unsure why it was made in the first place--it certainly wasn't made to provide any sort of entertainment.",negative
"""The Last Big Thing"" is a wonderful satirical film that sardonically whips pop culture to the point of humorous self-desctruction. The characters are so interesting and fun to laugh at/sympathize with. Which brings me to an introduction to the characters I liked best...<br /><br />Simon Geist is a man in his late 30s/early 40s who creates a pop-culture driven editorial magazine called ""The Next Big Thing"". Thing is, this magazine doesnt really exist, and it is only an excuse for Simon to get close to actors by interviewing them, only to bitch-slap them silly, insulting their way of buying into pop culture. His live-in female friend, Darla, is also writing a magazine (which is real), which mainly has to do with her and Simon, as well as her and her father. Darla is a genuinely loveable (or loathable) character, depending on how you view her muted neurotic behavior. Magda is a prostitute, the character i liked the best. Brent is a flat character with not much to him, as is Tedra, the music-video queen for a bunch of B-rated rock bands. Still, these characters weave a very interesting web together. And this movie questions all the motivations that people have for what they do and why they do it. Its a wonderful film and I suggest you see it if you're in the indie/art house crowd. Mark my words!<br /><br />",positive
"Well I'm blowed, a Woody Allen film that I walked out of after half an hour (I'm aware of the moral fragility of commenting on a film of which I've seen less than half, but I hope you'll understand why). Basically, it became apparent very early on that we were going to be patronised from the screen with: a script that set out its conceit as if with bullet points; a cast that were all trying to be characters from Hannah and Her Sisters (with the exception of Chloe Sevigny), and were badly directed into doing so; and a camera that sat around portentously, only for there to be nothing to film but chat and the actor delivering it. Drama? None; it's partially pre-narrated, but the action does nothing to develop a dramatic situation.<br /><br />Maybe I did leave too early in this case, but by then I'd decided against another hour and a half of one-liner-Allen clones. The script has its funny moments  I went almost entirely on the back of Will Ferrell's excerpts in the trailer (trailer-hooked again, doh!)  but there's little pace to let them fly off nonchalantly, as is best. Worse than this there's no fluidity. Saying this film's wooden makes a forest look like a jelly: the opening café-bound discussion being the most abject case-in-point. The only thing that should be done by numbers is potted reviewing  2/10.",negative
"A young girl becomes a war-time marine's pen-pal, and when he visits at war's end expecting someone a bit more ""available,"" comic complications ensue. All ultimately works out well, naturally, but not before everyone involved has thoroughly chewed the scenery. Errol Flynn's dead-on impression of Humphrey Bogart from ""Casablanca"" is a highlight, as are various send-ups of his own swashbuckling image (the ""jumping"" scene in the kitchen with Forrest Tucker is a riot). It is Tucker, though, who ""tucks"" the movie under his arm, lowers his head and barrels over the goal line. He demonstrates the comic flair more fully developed twenty years later in ""F-Troop"" and imparts a liveliness and energy that Flynn repeatedly plays off to raise his own performance. Eleanor Parker does a fine job as the woman being pursued, and little Patti Brady charms as Tucker's actual pen-pal friend. A fine, lightweight ""coming home"" comedy in a genteel setting that children and romantics of all ages should find entertaining.",positive
This sequel to Problem Child is just as bad as the first one. It still teaches kids that it's O.K. to be bad. It's impossible for me to recommend this movie to anyone.,negative
"This is the perfect example of how a great book is turned into a poor film. The direction just gives the impression that the film was made up as they went along and Patrick Swaze is so wooden you can almost see the puppet strings on his body.<br /><br />Spy Vs Spy films are not - or should not - be about car chases and shootings, the bad guys in this movies are really bad shots and miss the main characters even when at point blank range.<br /><br />Even the action shots are just a cliché with the usual mounting sidewalks and crashing through tables and chairs - yawn.<br /><br />I got half way through and switched off - completely bored.",negative
"This is the worst brain damaged, ultra cheap, super stupid, silly, pointless piece of trash I've ever seen, an unbelievable garbage of instant cult status among fans of the bizarre. If you think that Ed Wood's ""Plan 9"" is bad, well... let me tell you, looks like ""Citizen Kane"" compared to that one. ¿Special effects?...again, ""Plan 9"" is ""Star Wars"". ¿Acting?...Thor Johnson is Al Pacino... so it's beyond bad, really. But if you are looking for that kind of incredible movies, it's for you! I'm a fan of American International for so many glorious horror movies, the Price-Corman-Poe saga and some great blaxploitation stuff, but with ""Star Creatures"" they descend right down to the Z level. Of course, my 1 out of 10 works in reverse if you like to watch bad movies for fun (the guy playing an Indian chief is great) so have fun and enjoy... if you can.",negative
