title,director_name
Four Brothers,John Singleton
The Conjuring 2,James Wan
Insurgent,Robert Schwentke
Patch Adams,Tom Shadyac
Olympus Has Fallen,Antoine Fuqua
Welcome to Mooseport,Donald Petrie
The Bourne Identity,Doug Liman
Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg
Babe: Pig in the City,George Miller
Deconstructing Harry,Woody Allen
The November Man,Roger Donaldson
Another Year,Mike Leigh
No Reservations,Scott Hicks
Dragonfly,Tom Shadyac
Basic,John McTiernan
Last Action Hero,John McTiernan
Star Trek Beyond,Justin Lin
War Horse,Steven Spielberg
Battleship,Peter Berg
Million Dollar Baby,Clint Eastwood
Joe,David Gordon Green
Silverado,Lawrence Kasdan
The Cable Guy,Ben Stiller
Death Becomes Her,Robert Zemeckis
The Bridges of Madison County,Clint Eastwood
Texas Rangers,Steve Miner
Just Go with It,Dennis Dugan
Medicine Man,John McTiernan
Jane Got a Gun,Gavin O'Connor
Don't Say a Word,Gary Fleder
The Debt,John Madden
The Siege,Edward Zwick
The 40 Year Old Virgin,Judd Apatow
The Silence of the Lambs,Jonathan Demme
Gerry,Gus Van Sant
Because of Winn-Dixie,Wayne Wang
Epic Movie,Jason Friedberg
Scarface,Brian De Palma
Home Alone,Chris Columbus
The Number 23,Joel Schumacher
