player_name,country
Randy Livingston,USA
Gaylon Nickerson,USA
George Lynch,USA
George McCloud,USA
George Zidek,USA
Gerald Wilkins,USA
Gheorghe Muresan,USA
Glen Rice,USA
Glenn Robinson,USA
Grant Hill,USA
Gary Trent,USA
Grant Long,USA
Greg Anthony,USA
Greg Dreiling,USA
Greg Foster,USA
Greg Graham,USA
Greg Minor,USA
Greg Ostertag,USA
Hakeem Olajuwon,Nigeria
Harvey Grant,USA
Haywoode Workman,USA
Greg Anderson,USA
Gary Payton,USA
Gary Grant,USA
Fred Roberts,USA
Eldridge Recasner,USA
Elliot Perry,USA
Elmer Bennett,USA
Elmore Spencer,USA
Emanual Davis,USA
Ennis Whatley,USA
Eric Leckner,USA
Eric Mobley,USA
Eric Montross,USA
Eric Murdock,USA
Eric Piatkowski,USA
Eric Snow,USA
Eric Williams,USA
Erick Dampier,USA
Erick Strickland,USA
Ervin Johnson,USA
Evric Gray,USA
Felton Spencer,USA
Frank Brickowski,USA
Frankie King,USA
Fred Hoiberg,USA
Henry James,USA
Elden Campbell,USA
Herb Williams,USA
Horace Grant,USA
Jerome Williams,USA
Jerry Stackhouse,USA
Jim Jackson,USA
Jim McIlvaine,USA
Jimmy Carruth,USA
Jimmy King,USA
Jimmy Oliver,USA
Joe Courtney,USA
Joe Dumars,USA
Jerome Kersey,USA
Joe Kleine,USA
Joe Stephens,USA
Joe Wolf,USA
John Crotty,USA
John Long,USA
John Starks,USA
John Stockton,USA
John Wallace,USA
Johnny Newman,USA
Jon Barry,USA
Joe Smith,USA
Jerome Allen,USA
Jermaine O'Neal,USA
Jeff McInnis,USA
Horacio Llamas,USA
Hot Rod Williams,USA
Howard Eisley,USA
Hubert Davis,USA
Ike Austin,USA
Isaiah Rider,USA
Ivano Newbill,USA
Jack Haley,USA
Jalen Rose,USA
Jamal Mashburn,USA
James Robinson,USA
James Scott,USA
Jamie Feick,USA
Jamie Watson,USA
Jaren Jackson,USA
Jason Caffey,USA
Jason Kidd,USA
Jason Sasser,USA
Jayson Williams,USA
Jeff Grayer,USA
Jeff Hornacek,USA
Hersey Hawkins,USA
Eddie Jones,USA
Eddie Johnson,USA
Ed Pinckney,USA
Chris Jent,USA
