,season,player_name,age
0,2013-14,Manu Ginobili,36.0
1,2013-14,Paul Pierce,36.0
2,2013-14,Kobe Bryant,35.0
3,2013-14,Tim Duncan,38.0
4,2013-14,Kevin Garnett,38.0
5,2013-14,Steve Nash,40.0
6,2013-14,Chauncey Billups,37.0
7,2014-15,Manu Ginobili,37.0
8,2014-15,Paul Pierce,37.0
9,2014-15,Kobe Bryant,36.0
10,2014-15,Tim Duncan,39.0
11,2014-15,Kevin Garnett,39.0
12,2015-16,Manu Ginobili,38.0
13,2015-16,Paul Pierce,38.0
14,2015-16,Kobe Bryant,37.0
15,2015-16,Tim Duncan,40.0
16,2015-16,Kevin Garnett,40.0
17,2016-17,Manu Ginobili,39.0
18,2016-17,Paul Pierce,39.0
19,2017-18,Manu Ginobili,40.0
