sportsett_id,summary,player_name,team,points,assists,total_rebounds,points_gt_20,is_mentioned
4921,"The Philadelphia 76ers defeated the visiting Chicago Bulls, 127 - 108, at Wells Fargo Center on Thursday evening. Both teams came out strong in the first quarter but the Bulls held the advantage, leading 41 - 38, heading into the second. However, the Sixers bounced back in the second, where they outscored the Bulls, 27 - 17, to take a 65 - 58 lead heading into halftime. The Sixers came out in domination mode in the third and outscored the Bulls, 37 - 18, to take a 102 - 76 lead heading into the fourth. The Bulls put up a fight in the fourth but the 76ers were able to cruise to their first win of the season without a problem. Joel Embiid led the 76ers with 30 points on 9 - of - 14 shooting, in 33 minutes of action. Ben Simmons put up big numbers with 13 points, 13 rebounds, 11 assists, two blocks and one steal, in 34 minutes. Robert Covington finished with 20 points, five rebounds, two assists, two steals and a block, in 29 minutes. The Sixers shot 48 percent from the field, including 12 - of - 36 from long range. Meanwhile, Zach LaVine led the Bulls with 30 points on 11 - of - 20 shooting, six rebounds, three assists and one block, in 33 minutes of action. Bobby Portis followed up with 20 points, 10 rebounds, two assists and two steals, while Antonio Blakeney added 15 points, five rebounds and two assists. The Bulls shot 44 percent from the field, including 11 - of - 33 from long range. The Bulls (0 - 1) look to bounce back as they play host to the Pistons on Saturday. The Sixers (1 - 1) play host to the 76ers on Saturday.",Ben Simmons,76ers,13,11,13,False,True
4921,"The Philadelphia 76ers defeated the visiting Chicago Bulls, 127 - 108, at Wells Fargo Center on Thursday evening. Both teams came out strong in the first quarter but the Bulls held the advantage, leading 41 - 38, heading into the second. However, the Sixers bounced back in the second, where they outscored the Bulls, 27 - 17, to take a 65 - 58 lead heading into halftime. The Sixers came out in domination mode in the third and outscored the Bulls, 37 - 18, to take a 102 - 76 lead heading into the fourth. The Bulls put up a fight in the fourth but the 76ers were able to cruise to their first win of the season without a problem. Joel Embiid led the 76ers with 30 points on 9 - of - 14 shooting, in 33 minutes of action. Ben Simmons put up big numbers with 13 points, 13 rebounds, 11 assists, two blocks and one steal, in 34 minutes. Robert Covington finished with 20 points, five rebounds, two assists, two steals and a block, in 29 minutes. The Sixers shot 48 percent from the field, including 12 - of - 36 from long range. Meanwhile, Zach LaVine led the Bulls with 30 points on 11 - of - 20 shooting, six rebounds, three assists and one block, in 33 minutes of action. Bobby Portis followed up with 20 points, 10 rebounds, two assists and two steals, while Antonio Blakeney added 15 points, five rebounds and two assists. The Bulls shot 44 percent from the field, including 11 - of - 33 from long range. The Bulls (0 - 1) look to bounce back as they play host to the Pistons on Saturday. The Sixers (1 - 1) play host to the 76ers on Saturday.",Joel Embiid,76ers,30,3,12,True,True
4921,"The Philadelphia 76ers defeated the visiting Chicago Bulls, 127 - 108, at Wells Fargo Center on Thursday evening. Both teams came out strong in the first quarter but the Bulls held the advantage, leading 41 - 38, heading into the second. However, the Sixers bounced back in the second, where they outscored the Bulls, 27 - 17, to take a 65 - 58 lead heading into halftime. The Sixers came out in domination mode in the third and outscored the Bulls, 37 - 18, to take a 102 - 76 lead heading into the fourth. The Bulls put up a fight in the fourth but the 76ers were able to cruise to their first win of the season without a problem. Joel Embiid led the 76ers with 30 points on 9 - of - 14 shooting, in 33 minutes of action. Ben Simmons put up big numbers with 13 points, 13 rebounds, 11 assists, two blocks and one steal, in 34 minutes. Robert Covington finished with 20 points, five rebounds, two assists, two steals and a block, in 29 minutes. The Sixers shot 48 percent from the field, including 12 - of - 36 from long range. Meanwhile, Zach LaVine led the Bulls with 30 points on 11 - of - 20 shooting, six rebounds, three assists and one block, in 33 minutes of action. Bobby Portis followed up with 20 points, 10 rebounds, two assists and two steals, while Antonio Blakeney added 15 points, five rebounds and two assists. The Bulls shot 44 percent from the field, including 11 - of - 33 from long range. The Bulls (0 - 1) look to bounce back as they play host to the Pistons on Saturday. The Sixers (1 - 1) play host to the 76ers on Saturday.",Markelle Fultz,76ers,12,5,4,False,False
4921,"The Philadelphia 76ers defeated the visiting Chicago Bulls, 127 - 108, at Wells Fargo Center on Thursday evening. Both teams came out strong in the first quarter but the Bulls held the advantage, leading 41 - 38, heading into the second. However, the Sixers bounced back in the second, where they outscored the Bulls, 27 - 17, to take a 65 - 58 lead heading into halftime. The Sixers came out in domination mode in the third and outscored the Bulls, 37 - 18, to take a 102 - 76 lead heading into the fourth. The Bulls put up a fight in the fourth but the 76ers were able to cruise to their first win of the season without a problem. Joel Embiid led the 76ers with 30 points on 9 - of - 14 shooting, in 33 minutes of action. Ben Simmons put up big numbers with 13 points, 13 rebounds, 11 assists, two blocks and one steal, in 34 minutes. Robert Covington finished with 20 points, five rebounds, two assists, two steals and a block, in 29 minutes. The Sixers shot 48 percent from the field, including 12 - of - 36 from long range. Meanwhile, Zach LaVine led the Bulls with 30 points on 11 - of - 20 shooting, six rebounds, three assists and one block, in 33 minutes of action. Bobby Portis followed up with 20 points, 10 rebounds, two assists and two steals, while Antonio Blakeney added 15 points, five rebounds and two assists. The Bulls shot 44 percent from the field, including 11 - of - 33 from long range. The Bulls (0 - 1) look to bounce back as they play host to the Pistons on Saturday. The Sixers (1 - 1) play host to the 76ers on Saturday.",Robert Covington,76ers,20,2,5,False,True
4921,"The Philadelphia 76ers defeated the visiting Chicago Bulls, 127 - 108, at Wells Fargo Center on Thursday evening. Both teams came out strong in the first quarter but the Bulls held the advantage, leading 41 - 38, heading into the second. However, the Sixers bounced back in the second, where they outscored the Bulls, 27 - 17, to take a 65 - 58 lead heading into halftime. The Sixers came out in domination mode in the third and outscored the Bulls, 37 - 18, to take a 102 - 76 lead heading into the fourth. The Bulls put up a fight in the fourth but the 76ers were able to cruise to their first win of the season without a problem. Joel Embiid led the 76ers with 30 points on 9 - of - 14 shooting, in 33 minutes of action. Ben Simmons put up big numbers with 13 points, 13 rebounds, 11 assists, two blocks and one steal, in 34 minutes. Robert Covington finished with 20 points, five rebounds, two assists, two steals and a block, in 29 minutes. The Sixers shot 48 percent from the field, including 12 - of - 36 from long range. Meanwhile, Zach LaVine led the Bulls with 30 points on 11 - of - 20 shooting, six rebounds, three assists and one block, in 33 minutes of action. Bobby Portis followed up with 20 points, 10 rebounds, two assists and two steals, while Antonio Blakeney added 15 points, five rebounds and two assists. The Bulls shot 44 percent from the field, including 11 - of - 33 from long range. The Bulls (0 - 1) look to bounce back as they play host to the Pistons on Saturday. The Sixers (1 - 1) play host to the 76ers on Saturday.",Dario Šarić,76ers,13,3,10,False,False
4921,"The Philadelphia 76ers defeated the visiting Chicago Bulls, 127 - 108, at Wells Fargo Center on Thursday evening. Both teams came out strong in the first quarter but the Bulls held the advantage, leading 41 - 38, heading into the second. However, the Sixers bounced back in the second, where they outscored the Bulls, 27 - 17, to take a 65 - 58 lead heading into halftime. The Sixers came out in domination mode in the third and outscored the Bulls, 37 - 18, to take a 102 - 76 lead heading into the fourth. The Bulls put up a fight in the fourth but the 76ers were able to cruise to their first win of the season without a problem. Joel Embiid led the 76ers with 30 points on 9 - of - 14 shooting, in 33 minutes of action. Ben Simmons put up big numbers with 13 points, 13 rebounds, 11 assists, two blocks and one steal, in 34 minutes. Robert Covington finished with 20 points, five rebounds, two assists, two steals and a block, in 29 minutes. The Sixers shot 48 percent from the field, including 12 - of - 36 from long range. Meanwhile, Zach LaVine led the Bulls with 30 points on 11 - of - 20 shooting, six rebounds, three assists and one block, in 33 minutes of action. Bobby Portis followed up with 20 points, 10 rebounds, two assists and two steals, while Antonio Blakeney added 15 points, five rebounds and two assists. The Bulls shot 44 percent from the field, including 11 - of - 33 from long range. The Bulls (0 - 1) look to bounce back as they play host to the Pistons on Saturday. The Sixers (1 - 1) play host to the 76ers on Saturday.",Landry Shamet,76ers,12,1,4,False,False
4921,"The Philadelphia 76ers defeated the visiting Chicago Bulls, 127 - 108, at Wells Fargo Center on Thursday evening. Both teams came out strong in the first quarter but the Bulls held the advantage, leading 41 - 38, heading into the second. However, the Sixers bounced back in the second, where they outscored the Bulls, 27 - 17, to take a 65 - 58 lead heading into halftime. The Sixers came out in domination mode in the third and outscored the Bulls, 37 - 18, to take a 102 - 76 lead heading into the fourth. The Bulls put up a fight in the fourth but the 76ers were able to cruise to their first win of the season without a problem. Joel Embiid led the 76ers with 30 points on 9 - of - 14 shooting, in 33 minutes of action. Ben Simmons put up big numbers with 13 points, 13 rebounds, 11 assists, two blocks and one steal, in 34 minutes. Robert Covington finished with 20 points, five rebounds, two assists, two steals and a block, in 29 minutes. The Sixers shot 48 percent from the field, including 12 - of - 36 from long range. Meanwhile, Zach LaVine led the Bulls with 30 points on 11 - of - 20 shooting, six rebounds, three assists and one block, in 33 minutes of action. Bobby Portis followed up with 20 points, 10 rebounds, two assists and two steals, while Antonio Blakeney added 15 points, five rebounds and two assists. The Bulls shot 44 percent from the field, including 11 - of - 33 from long range. The Bulls (0 - 1) look to bounce back as they play host to the Pistons on Saturday. The Sixers (1 - 1) play host to the 76ers on Saturday.",J.J. Redick,76ers,10,1,3,False,False
4921,"The Philadelphia 76ers defeated the visiting Chicago Bulls, 127 - 108, at Wells Fargo Center on Thursday evening. Both teams came out strong in the first quarter but the Bulls held the advantage, leading 41 - 38, heading into the second. However, the Sixers bounced back in the second, where they outscored the Bulls, 27 - 17, to take a 65 - 58 lead heading into halftime. The Sixers came out in domination mode in the third and outscored the Bulls, 37 - 18, to take a 102 - 76 lead heading into the fourth. The Bulls put up a fight in the fourth but the 76ers were able to cruise to their first win of the season without a problem. Joel Embiid led the 76ers with 30 points on 9 - of - 14 shooting, in 33 minutes of action. Ben Simmons put up big numbers with 13 points, 13 rebounds, 11 assists, two blocks and one steal, in 34 minutes. Robert Covington finished with 20 points, five rebounds, two assists, two steals and a block, in 29 minutes. The Sixers shot 48 percent from the field, including 12 - of - 36 from long range. Meanwhile, Zach LaVine led the Bulls with 30 points on 11 - of - 20 shooting, six rebounds, three assists and one block, in 33 minutes of action. Bobby Portis followed up with 20 points, 10 rebounds, two assists and two steals, while Antonio Blakeney added 15 points, five rebounds and two assists. The Bulls shot 44 percent from the field, including 11 - of - 33 from long range. The Bulls (0 - 1) look to bounce back as they play host to the Pistons on Saturday. The Sixers (1 - 1) play host to the 76ers on Saturday.",Amir Johnson,76ers,13,1,3,False,False
4921,"The Philadelphia 76ers defeated the visiting Chicago Bulls, 127 - 108, at Wells Fargo Center on Thursday evening. Both teams came out strong in the first quarter but the Bulls held the advantage, leading 41 - 38, heading into the second. However, the Sixers bounced back in the second, where they outscored the Bulls, 27 - 17, to take a 65 - 58 lead heading into halftime. The Sixers came out in domination mode in the third and outscored the Bulls, 37 - 18, to take a 102 - 76 lead heading into the fourth. The Bulls put up a fight in the fourth but the 76ers were able to cruise to their first win of the season without a problem. Joel Embiid led the 76ers with 30 points on 9 - of - 14 shooting, in 33 minutes of action. Ben Simmons put up big numbers with 13 points, 13 rebounds, 11 assists, two blocks and one steal, in 34 minutes. Robert Covington finished with 20 points, five rebounds, two assists, two steals and a block, in 29 minutes. The Sixers shot 48 percent from the field, including 12 - of - 36 from long range. Meanwhile, Zach LaVine led the Bulls with 30 points on 11 - of - 20 shooting, six rebounds, three assists and one block, in 33 minutes of action. Bobby Portis followed up with 20 points, 10 rebounds, two assists and two steals, while Antonio Blakeney added 15 points, five rebounds and two assists. The Bulls shot 44 percent from the field, including 11 - of - 33 from long range. The Bulls (0 - 1) look to bounce back as they play host to the Pistons on Saturday. The Sixers (1 - 1) play host to the 76ers on Saturday.",Furkan Korkmaz,76ers,0,0,1,False,False
4921,"The Philadelphia 76ers defeated the visiting Chicago Bulls, 127 - 108, at Wells Fargo Center on Thursday evening. Both teams came out strong in the first quarter but the Bulls held the advantage, leading 41 - 38, heading into the second. However, the Sixers bounced back in the second, where they outscored the Bulls, 27 - 17, to take a 65 - 58 lead heading into halftime. The Sixers came out in domination mode in the third and outscored the Bulls, 37 - 18, to take a 102 - 76 lead heading into the fourth. The Bulls put up a fight in the fourth but the 76ers were able to cruise to their first win of the season without a problem. Joel Embiid led the 76ers with 30 points on 9 - of - 14 shooting, in 33 minutes of action. Ben Simmons put up big numbers with 13 points, 13 rebounds, 11 assists, two blocks and one steal, in 34 minutes. Robert Covington finished with 20 points, five rebounds, two assists, two steals and a block, in 29 minutes. The Sixers shot 48 percent from the field, including 12 - of - 36 from long range. Meanwhile, Zach LaVine led the Bulls with 30 points on 11 - of - 20 shooting, six rebounds, three assists and one block, in 33 minutes of action. Bobby Portis followed up with 20 points, 10 rebounds, two assists and two steals, while Antonio Blakeney added 15 points, five rebounds and two assists. The Bulls shot 44 percent from the field, including 11 - of - 33 from long range. The Bulls (0 - 1) look to bounce back as they play host to the Pistons on Saturday. The Sixers (1 - 1) play host to the 76ers on Saturday.",T.J. McConnell,76ers,4,3,0,False,False
