sportsett_id,summary,player_name,team,points,assists,total_rebounds,points_gt_20,is_mentioned
4921,"The Philadelphia 76ers defeated the visiting Chicago Bulls, 127 - 108, at Wells Fargo Center on Thursday evening. Both teams came out strong in the first quarter but the Bulls held the advantage, leading 41 - 38, heading into the second. However, the Sixers bounced back in the second, where they outscored the Bulls, 27 - 17, to take a 65 - 58 lead heading into halftime. The Sixers came out in domination mode in the third and outscored the Bulls, 37 - 18, to take a 102 - 76 lead heading into the fourth. The Bulls put up a fight in the fourth but the 76ers were able to cruise to their first win of the season without a problem. Joel Embiid led the 76ers with 30 points on 9 - of - 14 shooting, in 33 minutes of action. Ben Simmons put up big numbers with 13 points, 13 rebounds, 11 assists, two blocks and one steal, in 34 minutes. Robert Covington finished with 20 points, five rebounds, two assists, two steals and a block, in 29 minutes. The Sixers shot 48 percent from the field, including 12 - of - 36 from long range. Meanwhile, Zach LaVine led the Bulls with 30 points on 11 - of - 20 shooting, six rebounds, three assists and one block, in 33 minutes of action. Bobby Portis followed up with 20 points, 10 rebounds, two assists and two steals, while Antonio Blakeney added 15 points, five rebounds and two assists. The Bulls shot 44 percent from the field, including 11 - of - 33 from long range. The Bulls (0 - 1) look to bounce back as they play host to the Pistons on Saturday. The Sixers (1 - 1) play host to the 76ers on Saturday.",Ben Simmons,76ers,13,11,13,False,True
4922,"The Philadelphia 76ers defeated the visiting Orlando Magic, 116 - 115, at Wells Fargo Center on Saturday evening. The Magic jumped out to a quick 90 lead and went ahead to push it to a 26 - 10 advantage with 4:55 left in the first. However, the Sixers battled back and cut the gap to just two points, trailing, 32 - 30, after one. The 76ers pulled ahead in the second carried the lead for most of the quarter, before taking a 63 - 52 lead into halftime. The tides turned again in the third quarter, as the Magic outscored the 76ers by eight, to cut the deficit to three points, heading into the final frame. The Sixers maintained their edge and pushed the lead back to 10, with five minutes to go in the game, but the Magic used an 18 - 9 run to make it a one - point game with 5 seconds left and possession. The Magic were not able to convert on the final play and dropped their second game in as many nights. On the other hand, the Sixers earned their second straight win. Joel Embiid led Philadelphia with 32 points, 10 rebounds and three assists, in 33 minutes. J.J. Redick came up huge in 32 minutes off the bench, with 31 points, four rebounds and four assists. Dario Saric finished with 13 points, nine rebounds, five assists, one block and one steal, while Robert Covington added 12 points, four rebounds, two steals, one block and one assist. The Sixers shot 48 percent from the field, including 17 - of - 34 from long range. Meanwhile, Evan Fournier was the high - point man for the Magic with 31 points, four rebounds, three assists and one steal, in 33 minutes. Nikola Vucevic had a big night with 27 points, 13 rebounds, 12 assists and two steals, in 37 minutes of action, while Aaron Gordon finished with 20 points, 12 rebounds three assists, three blocks and one steal. The Magic shot 46 percent from the field, including 16 - of - 29 from distance. The Magic (1 - 2) take on the Celtics in Boston on Monday, while the 76ers, head to Detroit to challenge the Pistons on Tuesday.",Joel Embiid,76ers,32,3,10,True,True
4922,"The Philadelphia 76ers defeated the visiting Orlando Magic, 116 - 115, at Wells Fargo Center on Saturday evening. The Magic jumped out to a quick 90 lead and went ahead to push it to a 26 - 10 advantage with 4:55 left in the first. However, the Sixers battled back and cut the gap to just two points, trailing, 32 - 30, after one. The 76ers pulled ahead in the second carried the lead for most of the quarter, before taking a 63 - 52 lead into halftime. The tides turned again in the third quarter, as the Magic outscored the 76ers by eight, to cut the deficit to three points, heading into the final frame. The Sixers maintained their edge and pushed the lead back to 10, with five minutes to go in the game, but the Magic used an 18 - 9 run to make it a one - point game with 5 seconds left and possession. The Magic were not able to convert on the final play and dropped their second game in as many nights. On the other hand, the Sixers earned their second straight win. Joel Embiid led Philadelphia with 32 points, 10 rebounds and three assists, in 33 minutes. J.J. Redick came up huge in 32 minutes off the bench, with 31 points, four rebounds and four assists. Dario Saric finished with 13 points, nine rebounds, five assists, one block and one steal, while Robert Covington added 12 points, four rebounds, two steals, one block and one assist. The Sixers shot 48 percent from the field, including 17 - of - 34 from long range. Meanwhile, Evan Fournier was the high - point man for the Magic with 31 points, four rebounds, three assists and one steal, in 33 minutes. Nikola Vucevic had a big night with 27 points, 13 rebounds, 12 assists and two steals, in 37 minutes of action, while Aaron Gordon finished with 20 points, 12 rebounds three assists, three blocks and one steal. The Magic shot 46 percent from the field, including 16 - of - 29 from distance. The Magic (1 - 2) take on the Celtics in Boston on Monday, while the 76ers, head to Detroit to challenge the Pistons on Tuesday.",J.J. Redick,76ers,31,4,4,True,True
4923,"The Philadelphia 76ers defeated the Charlotte Hornets, 105 - 103, at Wells Fargo Center on Saturday evening. The battle of two evenly matched teams was as good as expected, as neither club gave an inch through four quarters. A see - saw first half saw the 76ers (3 - 3) enter halftime holding a slim 63 - 62 advantage. Ultimately, a standout defensive effort by Philadelphia that saw them limit the Hornets (3 - 4) to 18 points in the final period helped key the hard - fought win. Both teams scuffled from the field with Charlotte's 39 percent success rate only slightly exceeding the Sixers' 38 percent figure. However, the home squad enjoyed a strong rebounding advantage, winning the battle of the boards by a 56 - 48 margin. Kemba Walker paced the Hornets with a game - high 37 points, a total he supplemented with six rebounds, six assists, two blocks and one steal. Miles Bridges followed with a bench - leading 14 points, a total he supplemented with two rebounds and one steal. Cody Zeller produced 12 points, six boards and one steal, while Jeremy Lamb matched his point total and added three rebounds and one assist. Joel Embiid led the way for the Sixers with a 27 - point, 14 - rebound double - double that also included two assists and two blocks. Robert Covington generated an 18 - point, 10 - rebound double - double of his own. J.J. Redick poured in 15 point to lead the second unit. Ben Simmons supplied 14 points, 12 rebounds, three assists and one steal. Dario Saric contributed 11 points, seven rebounds and one assist. Markelle Fultz turned in 10 points, four rebounds, four assists and one steal. The Hornets head back home and await a visit from the Miami Heat on Tuesday night, while the 76ers remain home to take on the Atlanta Hawks on Monday evening.",Markelle Fultz,76ers,10,4,4,False,True
4923,"The Philadelphia 76ers defeated the Charlotte Hornets, 105 - 103, at Wells Fargo Center on Saturday evening. The battle of two evenly matched teams was as good as expected, as neither club gave an inch through four quarters. A see - saw first half saw the 76ers (3 - 3) enter halftime holding a slim 63 - 62 advantage. Ultimately, a standout defensive effort by Philadelphia that saw them limit the Hornets (3 - 4) to 18 points in the final period helped key the hard - fought win. Both teams scuffled from the field with Charlotte's 39 percent success rate only slightly exceeding the Sixers' 38 percent figure. However, the home squad enjoyed a strong rebounding advantage, winning the battle of the boards by a 56 - 48 margin. Kemba Walker paced the Hornets with a game - high 37 points, a total he supplemented with six rebounds, six assists, two blocks and one steal. Miles Bridges followed with a bench - leading 14 points, a total he supplemented with two rebounds and one steal. Cody Zeller produced 12 points, six boards and one steal, while Jeremy Lamb matched his point total and added three rebounds and one assist. Joel Embiid led the way for the Sixers with a 27 - point, 14 - rebound double - double that also included two assists and two blocks. Robert Covington generated an 18 - point, 10 - rebound double - double of his own. J.J. Redick poured in 15 point to lead the second unit. Ben Simmons supplied 14 points, 12 rebounds, three assists and one steal. Dario Saric contributed 11 points, seven rebounds and one assist. Markelle Fultz turned in 10 points, four rebounds, four assists and one steal. The Hornets head back home and await a visit from the Miami Heat on Tuesday night, while the 76ers remain home to take on the Atlanta Hawks on Monday evening.",Kemba Walker,Hornets,37,6,6,True,True
4924,"The Philadelphia 76ers defeated the Atlanta Hawks, 113 - 92, at Wells Fargo Center on Monday night. The 76ers (4 - 3) kept their undefeated run at home alive with a convincing win over the Hawks (2 - 4), as Atlanta fought hard but ultimately didn't have enough in them to battle with Philadelphia. In fact, Atlanta won the first quarter 25 - 20, but Philadelphia evened things up with a 27 - 22 second quarter that kept the score tied at 47 after the first two quarters. Philadelphia showed a bit of their playoff form last season with an impressive 31 - 13 third quarter, and they later closed things out with a 35 - 32 fourth quarter. Without a doubt, it was a strong showing from the Sixers and now they move up to 40 at home. Ben Simmons was the star of the game for Philadelphia and he came one assist short of a triple - double thanks to a 21 - point, 12 - rebound, nine - assist stat line, while Joel Embiid registered 10 points, six rebounds, six assists and two blocks. Markelle Fultz chipped in with 16 points and seven assists, Robert Covington added 11 points with six rebounds, and three bench players reached the 10 - point mark: J.J. Redick (14), Mike Muscala (14) and Landry Shamet (13). Kent Bazemore had 18 points to led all players for the Hawks, while rookie point guard Trae Young contributed with 11 points and eight assists. Dewayne Dedmon and Omari Spellman each chipped in with 11 points coming off the bench for the Hawks. All 13 Atlanta players scored, but only four reached the 10 - point mark.",Joel Embiid,76ers,10,6,6,False,True
4924,"The Philadelphia 76ers defeated the Atlanta Hawks, 113 - 92, at Wells Fargo Center on Monday night. The 76ers (4 - 3) kept their undefeated run at home alive with a convincing win over the Hawks (2 - 4), as Atlanta fought hard but ultimately didn't have enough in them to battle with Philadelphia. In fact, Atlanta won the first quarter 25 - 20, but Philadelphia evened things up with a 27 - 22 second quarter that kept the score tied at 47 after the first two quarters. Philadelphia showed a bit of their playoff form last season with an impressive 31 - 13 third quarter, and they later closed things out with a 35 - 32 fourth quarter. Without a doubt, it was a strong showing from the Sixers and now they move up to 40 at home. Ben Simmons was the star of the game for Philadelphia and he came one assist short of a triple - double thanks to a 21 - point, 12 - rebound, nine - assist stat line, while Joel Embiid registered 10 points, six rebounds, six assists and two blocks. Markelle Fultz chipped in with 16 points and seven assists, Robert Covington added 11 points with six rebounds, and three bench players reached the 10 - point mark: J.J. Redick (14), Mike Muscala (14) and Landry Shamet (13). Kent Bazemore had 18 points to led all players for the Hawks, while rookie point guard Trae Young contributed with 11 points and eight assists. Dewayne Dedmon and Omari Spellman each chipped in with 11 points coming off the bench for the Hawks. All 13 Atlanta players scored, but only four reached the 10 - point mark.",Ben Simmons,76ers,21,9,12,True,True
4925,"The Philadelphia 76ers defeated the visiting Los Angeles Clippers, 122 - 113, at Wells Fargo Center on Thursday evening. The Sixers got out to a solid start at home, as they held the upper hand for the entire first quarter, before taking a 34 - 30 lead into the second. They took off in the second, as they quickly pushed their lead to 10, and went on to outscore the Clippers by 11 in the quarter, to take a 72 - 57 lead into halftime. However, the Clippers came out strong in the third, as they kicked off the quarter with an 11 - 4 run, to cut the gap to eight. They kept battling and managed to trim the deficit to just four points, as they trailed 90 - 86 heading into the final frame. Despite the Clippers' strong push, the Sixers kept it together and managed to push their lead back to 11, less two minutes into the quarter. From there, the Clippers were only able to get within three points, as the 76ers went on to their fifth home win of the season. Joel Embiid led Philadelphia with 41 points, 13 rebounds, four blocks and one assist, in 33 minutes. J.J. Redick followed up with 18 points, in 34 minutes off the bench, while Ben Simmons tallied 14 points, 11 assists, three rebounds and one steal. The Sixers shot 47 percent from the field, including 13 - of - 27 from long range. Meanwhile, Lou Williams led the Clippers with 26 points on 9 - of - 19 shooting, in 24 minutes off the bench. Danilo Gallinari followed up with 25 points, eight rebounds and one assist, in 35 minutes, while Tobias Harris added 24 points, eight rebounds, three assists and one block. The Clippers shot 44 percent from the field, including 9 - of - 23 from long range. The Clippers (4 - 4) will be right back in action, as they take on the Magic in Orlando on Friday. The 76ers (5 - 4) play host to the Pistons on Saturday.",Ben Simmons,76ers,14,11,3,False,True
4926,"The Philadelphia 76ers defeated the visiting Detroit Pistons, 109 - 99, at Wells Fargo Center on Saturday. Wire-to-wire wins are rare in today's NBA but that's just what the Sixers did here. In fact, Philly led by 24 points at times, as a 22 - point halftime lead was too much for the Clippers to overcome. Three-point shooting was key to victory, with Philly hitting 9 - of - 29 of their three's while holding Detroit to just 5 - of - 30 from long range. The free - throw shooting was also critical, as the Pistons connected on just 28 - of - 41 while the Sixers hit 44 - of - 51. Defense really carried Philly too, as they forced 17 turnovers from Detroit while holding them to under 40 percent from the field. The Pistons (4 - 4) had just one starter reach double figures in scoring, as Blake Griffin continued his magical season. In fact, he finished with 38 points, 13 rebounds, six assists and two steals on 12 - of - 21 shooting. Andre Drummond totaled eight points and nine boards. Langston Galloway led the bench with 13 points. The Sixers (6 - 4) got a spectacular performance out of Joel Embiid, as he tallied 39 points, 17 rebounds and two blocks on 10 - of - 18 from the field. Ben Simmons was second among starters, collecting nine points, five rebounds, five assists and five steals. J.J. Redick led the bench with 16 points and four assists. On deck for Philly is a road matchup versus the Brooklyn Nets on Sunday. As for Detroit, they host the Miami Heat on Monday for their next outing.",Ben Simmons,76ers,9,5,5,False,True
4926,"The Philadelphia 76ers defeated the visiting Detroit Pistons, 109 - 99, at Wells Fargo Center on Saturday. Wire-to-wire wins are rare in today's NBA but that's just what the Sixers did here. In fact, Philly led by 24 points at times, as a 22 - point halftime lead was too much for the Clippers to overcome. Three-point shooting was key to victory, with Philly hitting 9 - of - 29 of their three's while holding Detroit to just 5 - of - 30 from long range. The free - throw shooting was also critical, as the Pistons connected on just 28 - of - 41 while the Sixers hit 44 - of - 51. Defense really carried Philly too, as they forced 17 turnovers from Detroit while holding them to under 40 percent from the field. The Pistons (4 - 4) had just one starter reach double figures in scoring, as Blake Griffin continued his magical season. In fact, he finished with 38 points, 13 rebounds, six assists and two steals on 12 - of - 21 shooting. Andre Drummond totaled eight points and nine boards. Langston Galloway led the bench with 13 points. The Sixers (6 - 4) got a spectacular performance out of Joel Embiid, as he tallied 39 points, 17 rebounds and two blocks on 10 - of - 18 from the field. Ben Simmons was second among starters, collecting nine points, five rebounds, five assists and five steals. J.J. Redick led the bench with 16 points and four assists. On deck for Philly is a road matchup versus the Brooklyn Nets on Sunday. As for Detroit, they host the Miami Heat on Monday for their next outing.",Blake Griffin,Pistons,38,6,13,True,True
