,college,player_name
0,Duke,Vernon Carey Jr.
1,Duke,Tyus Jones
2,Duke,Wendell Carter Jr.
3,Duke,Frank Jackson
4,Duke,Gary Trent Jr.
5,Duke,Vernon Carey Jr.
6,Duke,Tyus Jones
7,Duke,Wendell Carter Jr.
8,Duke,Frank Jackson
9,Duke,Gary Trent Jr.
10,Duke,Vernon Carey Jr.
11,Duke,Tyus Jones
12,Duke,Wendell Carter Jr.
13,Duke,Frank Jackson
14,Duke,Gary Trent Jr.
15,Duke,Vernon Carey Jr.
16,Duke,Tyus Jones
17,Duke,Wendell Carter Jr.
18,Duke,Frank Jackson
19,Duke,Gary Trent Jr.
20,Duke,Vernon Carey Jr.
21,Duke,Tyus Jones
22,Duke,Wendell Carter Jr.
23,Duke,Frank Jackson
24,Duke,Gary Trent Jr.
25,Kentucky,Tyrese Maxey
26,Kentucky,Tyler Herro
27,Kentucky,Willie Cauley-Stein
28,Kentucky,Eric Bledsoe
29,Kentucky,Devin Booker
30,Kentucky,Tyrese Maxey
31,Kentucky,Tyler Herro
32,Kentucky,Willie Cauley-Stein
33,Kentucky,Eric Bledsoe
34,Kentucky,Devin Booker
35,Kentucky,Tyrese Maxey
36,Kentucky,Tyler Herro
37,Kentucky,Willie Cauley-Stein
38,Kentucky,Eric Bledsoe
39,Kentucky,Devin Booker
40,Kentucky,Tyrese Maxey
41,Kentucky,Tyler Herro
42,Kentucky,Willie Cauley-Stein
43,Kentucky,Eric Bledsoe
44,Kentucky,Devin Booker
45,Kentucky,Tyrese Maxey
46,Kentucky,Tyler Herro
47,Kentucky,Willie Cauley-Stein
48,Kentucky,Eric Bledsoe
49,Kentucky,Devin Booker
