,sportsett_id,summary
0,4921,"The Philadelphia 76ers defeated the visiting Chicago Bulls, 127 - 108, at Wells Fargo Center on Thursday evening. Both teams came out strong in the first quarter but the Bulls held the advantage, leading 41 - 38, heading into the second. However, the Sixers bounced back in the second, where they outscored the Bulls, 27 - 17, to take a 65 - 58 lead heading into halftime. The Sixers came out in domination mode in the third and outscored the Bulls, 37 - 18, to take a 102 - 76 lead heading into the fourth. The Bulls put up a fight in the fourth but the 76ers were able to cruise to their first win of the season without a problem. Joel Embiid led the 76ers with 30 points on 9 - of - 14 shooting, in 33 minutes of action. Ben Simmons put up big numbers with 13 points, 13 rebounds, 11 assists, two blocks and one steal, in 34 minutes. Robert Covington finished with 20 points, five rebounds, two assists, two steals and a block, in 29 minutes. The Sixers shot 48 percent from the field, including 12 - of - 36 from long range. Meanwhile, Zach LaVine led the Bulls with 30 points on 11 - of - 20 shooting, six rebounds, three assists and one block, in 33 minutes of action. Bobby Portis followed up with 20 points, 10 rebounds, two assists and two steals, while Antonio Blakeney added 15 points, five rebounds and two assists. The Bulls shot 44 percent from the field, including 11 - of - 33 from long range. The Bulls (0 - 1) look to bounce back as they play host to the Pistons on Saturday. The Sixers (1 - 1) play host to the 76ers on Saturday."
1,4922,"The Philadelphia 76ers defeated the visiting Orlando Magic, 116 - 115, at Wells Fargo Center on Saturday evening. The Magic jumped out to a quick 90 lead and went ahead to push it to a 26 - 10 advantage with 4:55 left in the first. However, the Sixers battled back and cut the gap to just two points, trailing, 32 - 30, after one. The 76ers pulled ahead in the second carried the lead for most of the quarter, before taking a 63 - 52 lead into halftime. The tides turned again in the third quarter, as the Magic outscored the 76ers by eight, to cut the deficit to three points, heading into the final frame. The Sixers maintained their edge and pushed the lead back to 10, with five minutes to go in the game, but the Magic used an 18 - 9 run to make it a one - point game with 5 seconds left and possession. The Magic were not able to convert on the final play and dropped their second game in as many nights. On the other hand, the Sixers earned their second straight win. Joel Embiid led Philadelphia with 32 points, 10 rebounds and three assists, in 33 minutes. J.J. Redick came up huge in 32 minutes off the bench, with 31 points, four rebounds and four assists. Dario Saric finished with 13 points, nine rebounds, five assists, one block and one steal, while Robert Covington added 12 points, four rebounds, two steals, one block and one assist. The Sixers shot 48 percent from the field, including 17 - of - 34 from long range. Meanwhile, Evan Fournier was the high - point man for the Magic with 31 points, four rebounds, three assists and one steal, in 33 minutes. Nikola Vucevic had a big night with 27 points, 13 rebounds, 12 assists and two steals, in 37 minutes of action, while Aaron Gordon finished with 20 points, 12 rebounds three assists, three blocks and one steal. The Magic shot 46 percent from the field, including 16 - of - 29 from distance. The Magic (1 - 2) take on the Celtics in Boston on Monday, while the 76ers, head to Detroit to challenge the Pistons on Tuesday."
2,4923,"The Philadelphia 76ers defeated the Charlotte Hornets, 105 - 103, at Wells Fargo Center on Saturday evening. The battle of two evenly matched teams was as good as expected, as neither club gave an inch through four quarters. A see - saw first half saw the 76ers (3 - 3) enter halftime holding a slim 63 - 62 advantage. Ultimately, a standout defensive effort by Philadelphia that saw them limit the Hornets (3 - 4) to 18 points in the final period helped key the hard - fought win. Both teams scuffled from the field with Charlotte's 39 percent success rate only slightly exceeding the Sixers' 38 percent figure. However, the home squad enjoyed a strong rebounding advantage, winning the battle of the boards by a 56 - 48 margin. Kemba Walker paced the Hornets with a game - high 37 points, a total he supplemented with six rebounds, six assists, two blocks and one steal. Miles Bridges followed with a bench - leading 14 points, a total he supplemented with two rebounds and one steal. Cody Zeller produced 12 points, six boards and one steal, while Jeremy Lamb matched his point total and added three rebounds and one assist. Joel Embiid led the way for the Sixers with a 27 - point, 14 - rebound double - double that also included two assists and two blocks. Robert Covington generated an 18 - point, 10 - rebound double - double of his own. J.J. Redick poured in 15 point to lead the second unit. Ben Simmons supplied 14 points, 12 rebounds, three assists and one steal. Dario Saric contributed 11 points, seven rebounds and one assist. Markelle Fultz turned in 10 points, four rebounds, four assists and one steal. The Hornets head back home and await a visit from the Miami Heat on Tuesday night, while the 76ers remain home to take on the Atlanta Hawks on Monday evening."
3,4924,"The Philadelphia 76ers defeated the Atlanta Hawks, 113 - 92, at Wells Fargo Center on Monday night. The 76ers (4 - 3) kept their undefeated run at home alive with a convincing win over the Hawks (2 - 4), as Atlanta fought hard but ultimately didn't have enough in them to battle with Philadelphia. In fact, Atlanta won the first quarter 25 - 20, but Philadelphia evened things up with a 27 - 22 second quarter that kept the score tied at 47 after the first two quarters. Philadelphia showed a bit of their playoff form last season with an impressive 31 - 13 third quarter, and they later closed things out with a 35 - 32 fourth quarter. Without a doubt, it was a strong showing from the Sixers and now they move up to 40 at home. Ben Simmons was the star of the game for Philadelphia and he came one assist short of a triple - double thanks to a 21 - point, 12 - rebound, nine - assist stat line, while Joel Embiid registered 10 points, six rebounds, six assists and two blocks. Markelle Fultz chipped in with 16 points and seven assists, Robert Covington added 11 points with six rebounds, and three bench players reached the 10 - point mark: J.J. Redick (14), Mike Muscala (14) and Landry Shamet (13). Kent Bazemore had 18 points to led all players for the Hawks, while rookie point guard Trae Young contributed with 11 points and eight assists. Dewayne Dedmon and Omari Spellman each chipped in with 11 points coming off the bench for the Hawks. All 13 Atlanta players scored, but only four reached the 10 - point mark."
4,4928,"The Philadelphia 76ers defeated the Utah Jazz, 113 - 107, at Wells Fargo Center on Friday evening. It was a tale of two quarters in the first half for the 76ers (10 - 7), which exploded out of the gates for a 38 - point haul over the first 12 minutes. However, as prolific as Philadelphia was in the first quarter, they had as much trouble finding the net in the second. posting only 16 points. That was the extent of their scoring drought, though, as the home squad was able to outpace the Jazz (7 - 8) by a 59 - 55 margin in the second half. The game was not won without several scares in the final period, as Utah held a 107 - 105 lead as late as the 1:37 mark of the fourth quarter before the Big Three of Ben Simmons, Jimmy Butler and Joel Embiid notched the final six points to seal the win. Donovan Mitchell paced the Jazz with 31 points, a total he supplemented with two rebounds, four steals and one block. Joe Ingles provided 14 points, two rebounds, two assists, three steals and one block. Ricky Rubio and Derrick Favors generated matching 13 - point efforts. Rudy Gobert contributed a 12 - point, 10 - rebound double - double. Butler paced the Sixers with 28 points, a total he supplemented with seven assists, three rebounds and two steals. Embiid delivered 23 points, seven rebounds, two assists, three blocks and two steals. J.J. Redick poured in 16 points. Simmons pitched in a full stat line of 10 points, eight rebounds, eight assists, one steal and one block. Amir Johnson led the second unit with 11 points. The Jazz remain on the road and pay a visit to the Boston Celtics on Saturday evening. The Sixers also hit the road and tangle with the Charlotte Hornets on Saturday night as well."
5,4929,"The Philadelphia 76ers defeated the Phoenix Suns, 119 - 114, at Wells Fargo Center on Monday evening. The 76ers (12 - 7) likely walked into Monday's home game feeling pretty good about themselves, and more specifically, their chances of cruising through an interconference contest against the struggling Suns (3 - 13), which had failed to win a road game in six tries. Philadelphia got an early wake - up call, as Phoenix jumped out to a 36 - 26 first - quarter lead. The visitors still held an advantage at halftime, albeit by just five points. The Sixers were able to eradicate their deficit in convincing fashion in the third and entered the final 12 minutes with a 92 - 86 edge. That would prove to be enough, although the Suns got as close 117 - 114 with 6 seconds remaining after a Mikal Bridges three - pointer. Phoenix kept the pressure on their hosts with a 51 percent success rate from the field, but they were outrebounded by a 53 - 31 margin. Devin Booker paced the Suns with 37 points, a total he supplemented with eight assists and three rebounds. T.J. Warren followed with 21 points, four rebounds, four assists and one block. Deandre Ayton posted 17 points, nine rebounds, one assist and one steal. Bridges finished with 13 points, while Trevor Ariza filled out the stat sheet with 10 points, seven rebounds, five assists, three steals and one block. Richaun Holmes matched Ariza's point total while leading the bench. Joel Embiid led the 76ers with a 33 - point, 17 - rebound double - double that also included one assist, three steals and one block. Ben Simmons had a near triple - double with 19 points, 11 rebounds, nine assists and one steal. Mike Muscala matched Simmons' point total to lead the second unit. J.J. Redick poured in 17 points and added four rebounds and three assists. Jimmy Butler contributed 16 points, three rebounds, one assist and two steals. The Suns remain on the road and visit the Chicago Bulls on Wednesday'night, while the Sixers remain home and face the New Orleans Pelicans on that same evening."
6,4931,"The Cleveland Cavaliers defeated the host Philadelphia 76ers, 121 - 112, at Wells Fargo Center on Friday evening. The Cavs got down to business right away, as they outscored the home team, 31 - 23, in the first quarter. The 76ers picked up the slack in the second and outscored the Cavs, 31 - 23, in the quarter, to tie the game at 54 heading into halftime. However, the Cavaliers would not back down, as they came out tough in the third and matched the Sixers bucket for bucket, before they emerged with a one - point lead heading into the final frame. The Cavs continued to play one step ahead of the home team 76ers, and managed to build an 11 - point lead with 4:37 left in the game. The Cavs held on from there to earn their first road win of the season, and hand the 76ers their first home loss of the season. Rodney Hood led the Cavs with 25 points on 10 - of - 20 shooting, four rebounds and one assist, in 39 minutes. Collin Sexton followed up with 23 points, five rebounds, three assists, one steal and one block, while Tristan Thompson added 18 points, 13 rebounds and two steals, in 35 minutes. The Cavs shot 53 percent from the field, including 11 - of - 22 from long range. Meanwhile, Joel Embiid led the 76ers with 24 points, 12 rebounds and three assists, in 32 minutes. J.J. Redick tallied 23 points of his own, on 5 - of - 11 shooting, while Ben Simmons and Jimmy Butler tallied 22 points each. The Sixers shot 53 percent from the field, including 13 - of - 33 from long range. The 76ers (13 - 8) will look to bounce back as they take on the Nets in Brooklyn on Sunday. The Cavs (3 - 14) play host to the Rockets on Saturday."
7,4932,"The Philadelphia 76ers defeated the visiting New York Knicks, 117 - 91, at Wells Fargo Center on Wednesday. Philly came into this game as a sizable favorite and a wire - to - wire victory vindicates that notion. In fact, the Sixers rode a 41 - 27 first quarter to victory, as they held a double - digit lead from there. In addition, they led by at least 19 points for the entirety of the second half. Philadelphia dominated through shooting, as they connected on 54 percent from the field and 45 percent from three - point range while holding New York to just 35 percent from the field and 21 percent from long range. Much of that was attributed to the ball movement, with the Sixers out - assisting the Knicks, 34 - 14. The Knicks (7 - 16) had just three players reach double figures in scoring, as Enes Kanter led the way with 17 points and six boards. Mario Hezonja matched those 17 points, adding five rebounds and four steals to his tally. Damyean Dotson led the bench with 16 points, four rebounds and three steals. Tim Hardaway Jr. had a game to forget, as he scored five points on 1 - of - 11 shooting, as that one made shot was a layup. The Sixers (15 - 8) got another sparkling performance from Joel Embiid, as he collected 26 points, 14 rebounds and seven assists/. J.J. Redick accrued 24 points, two rebounds and two assists on 10 - of - 14 from the field. Ben Simmons tallied 14 points, eight rebounds and seven assists. Mike Muscala and Furknan Korkmaz both reached double figures in scoring off of the bench. On deck for Philadelphia is a home matchup versus the Washington Wizards on Friday. As for New York, they're off until Saturday when they welcome the Milwaukee Bucks to The Garden."
8,4935,"The Philadelphia 76ers defeated the visiting Detroit Pistons, 116 - 102, at Wells Fargo Center on Monday evening. The Pistons jumped to an early, 7 - 4, lead but the 76ers came back to tie it at 11, four minutes into the first quarter. The Sixers did not look back from there, as they used a quick, 90, run to create some separation, and held on to take a, 38 - 29, lead into the second quarter. The game slowed down in the second, as the Sixers and Pistons matched each other with 18 points in the quarter. Things picked up again in the third, where the Sixers held their nine - point lead for most of the quarter, until the Pistons finally made a run to cut the deficit to three, with under two minutes remaining. However, the 76ers charged back with a, 11 - 3, run to bring a, 87 - 76, lead into the final frame. The Pistons kept fighting and cut the gap to six early in the quarter, but the home team responded one final time, pushing the lead to 17 points with three minutes left in the contest. The 76ers cruised from there to their second win in a row, while the Pistons dropped their fifth in a row. Joel Embiid led Philadelphia with 24 points, eight rebounds, three assists, two steals and two blocks, in 32 minutes. Ben Simmons followed up with 18 points, 10 rebounds, seven assists, two steals and one block, while T.J. McConnell added 14 points, six assists, four rebounds and two steals, in 28 minutes off the bench. Luke Kennard had a big night for the Pistons, with 28 points, eight rebounds and three assists, in 36 minutes. Blake Griffin (rest) did not suit up, but Andre Drummond finished with 21 points, 17 rebounds, three blocks, two assists and one steal. The Pistons (13 - 12) will look to bounce back as they take on the Hornets in Charlotte on Wednesday. The 76ers (19 - 9) play host to the Nets on Wednesday."
9,4939,"The Philadelphia 76ers defeated the visiting Toronto Raptors, 126 - 101, at Wells Fargo Center on Saturday. While there were 13 ties and 13 lead changes in the first half, Philadelphia held the lead for the entirety of the second half. In fact, the Sixers outscored the Raptors, 97 - 71, across the final three quarters to take control. The shooting disparity was key, with Philadelphia hitting 54 percent from the field and 33 percent from three - point range while holding Toronto to 39 percent from the field and 25 percent from long range. Ball movement played a huge factor in that, with the Sixers out - assisting the Raptors, 33 - 17. Defensive rebounding was also decisive, with Philly winning that battle, 49 - 33 The Raptors (25 - 10) decided to rest Kawhi Leonard for this game and it clearly hampered them in this defeat. Pascal Siakam was their best player, as he led the way with 26 points, six rebounds and two assists. Kyle Lowry accumulated 20 points, six rebounds and five assists. Norman Powell led their bench with 13 points and four boards. The Sixers (22 - 12) got a spectacular performance from Joel Embiid, as he collected 27 points and 11 rebounds on 10 - of - 15 from the field. Ben Simmons was just as good, tallying 26 points, 12 rebounds and eight assists on 11 - of - 13 shooting. J.J. Redick amassed 22 points, three rebounds and five assists while Jimmy Butler finished with 12 points, seven rebounds, seven assists and three steals. On deck for Philly is a Christmas Day showdown against the Boston Celtics on Tuesday. As for Toronto, they travel to face the Miami Heat on Wednesday for their next fixture."
