,season,player_name,age
0,2013-14,LeBron James,29.0
1,2013-14,Stephen Curry,26.0
2,2013-14,Chris Paul,29.0
3,2013-14,DeMar DeRozan,24.0
4,2013-14,Paul Pierce,36.0
5,2013-14,Kobe Bryant,35.0
6,2013-14,Tim Duncan,38.0
7,2014-15,LeBron James,30.0
8,2014-15,Stephen Curry,27.0
9,2014-15,Chris Paul,30.0
10,2014-15,DeMar DeRozan,25.0
11,2014-15,Paul Pierce,37.0
12,2014-15,Kobe Bryant,36.0
13,2014-15,Tim Duncan,39.0
14,2015-16,LeBron James,31.0
15,2015-16,Stephen Curry,28.0
16,2015-16,Chris Paul,31.0
17,2015-16,DeMar DeRozan,26.0
18,2015-16,Paul Pierce,38.0
19,2015-16,Kobe Bryant,37.0
20,2015-16,Tim Duncan,40.0
21,2016-17,LeBron James,32.0
22,2016-17,Stephen Curry,29.0
23,2016-17,Chris Paul,32.0
24,2016-17,DeMar DeRozan,27.0
25,2016-17,Paul Pierce,39.0
26,2017-18,LeBron James,33.0
27,2017-18,Stephen Curry,30.0
28,2017-18,Chris Paul,33.0
29,2017-18,DeMar DeRozan,28.0
30,2018-19,LeBron James,34.0
31,2018-19,Stephen Curry,31.0
32,2018-19,Chris Paul,34.0
33,2018-19,DeMar DeRozan,29.0
34,2019-20,LeBron James,35.0
35,2019-20,Stephen Curry,32.0
36,2019-20,Chris Paul,35.0
37,2019-20,DeMar DeRozan,30.0
38,2020-21,LeBron James,36.0
39,2020-21,Stephen Curry,33.0
40,2020-21,Chris Paul,36.0
41,2020-21,DeMar DeRozan,31.0
42,2021-22,LeBron James,37.0
43,2021-22,Stephen Curry,34.0
44,2021-22,Chris Paul,37.0
45,2021-22,DeMar DeRozan,32.0
46,2022-23,LeBron James,38.0
47,2022-23,Stephen Curry,35.0
48,2022-23,Chris Paul,38.0
49,2022-23,DeMar DeRozan,33.0
