,sportsett_id,summary
0,4921,"The Philadelphia 76ers defeated the visiting Chicago Bulls, 127 - 108, at Wells Fargo Center on Thursday evening. Both teams came out strong in the first quarter but the Bulls held the advantage, leading 41 - 38, heading into the second. However, the Sixers bounced back in the second, where they outscored the Bulls, 27 - 17, to take a 65 - 58 lead heading into halftime. The Sixers came out in domination mode in the third and outscored the Bulls, 37 - 18, to take a 102 - 76 lead heading into the fourth. The Bulls put up a fight in the fourth but the 76ers were able to cruise to their first win of the season without a problem. Joel Embiid led the 76ers with 30 points on 9 - of - 14 shooting, in 33 minutes of action. Ben Simmons put up big numbers with 13 points, 13 rebounds, 11 assists, two blocks and one steal, in 34 minutes. Robert Covington finished with 20 points, five rebounds, two assists, two steals and a block, in 29 minutes. The Sixers shot 48 percent from the field, including 12 - of - 36 from long range. Meanwhile, Zach LaVine led the Bulls with 30 points on 11 - of - 20 shooting, six rebounds, three assists and one block, in 33 minutes of action. Bobby Portis followed up with 20 points, 10 rebounds, two assists and two steals, while Antonio Blakeney added 15 points, five rebounds and two assists. The Bulls shot 44 percent from the field, including 11 - of - 33 from long range. The Bulls (0 - 1) look to bounce back as they play host to the Pistons on Saturday. The Sixers (1 - 1) play host to the 76ers on Saturday."
1,4922,"The Philadelphia 76ers defeated the visiting Orlando Magic, 116 - 115, at Wells Fargo Center on Saturday evening. The Magic jumped out to a quick 90 lead and went ahead to push it to a 26 - 10 advantage with 4:55 left in the first. However, the Sixers battled back and cut the gap to just two points, trailing, 32 - 30, after one. The 76ers pulled ahead in the second carried the lead for most of the quarter, before taking a 63 - 52 lead into halftime. The tides turned again in the third quarter, as the Magic outscored the 76ers by eight, to cut the deficit to three points, heading into the final frame. The Sixers maintained their edge and pushed the lead back to 10, with five minutes to go in the game, but the Magic used an 18 - 9 run to make it a one - point game with 5 seconds left and possession. The Magic were not able to convert on the final play and dropped their second game in as many nights. On the other hand, the Sixers earned their second straight win. Joel Embiid led Philadelphia with 32 points, 10 rebounds and three assists, in 33 minutes. J.J. Redick came up huge in 32 minutes off the bench, with 31 points, four rebounds and four assists. Dario Saric finished with 13 points, nine rebounds, five assists, one block and one steal, while Robert Covington added 12 points, four rebounds, two steals, one block and one assist. The Sixers shot 48 percent from the field, including 17 - of - 34 from long range. Meanwhile, Evan Fournier was the high - point man for the Magic with 31 points, four rebounds, three assists and one steal, in 33 minutes. Nikola Vucevic had a big night with 27 points, 13 rebounds, 12 assists and two steals, in 37 minutes of action, while Aaron Gordon finished with 20 points, 12 rebounds three assists, three blocks and one steal. The Magic shot 46 percent from the field, including 16 - of - 29 from distance. The Magic (1 - 2) take on the Celtics in Boston on Monday, while the 76ers, head to Detroit to challenge the Pistons on Tuesday."
2,4923,"The Philadelphia 76ers defeated the Charlotte Hornets, 105 - 103, at Wells Fargo Center on Saturday evening. The battle of two evenly matched teams was as good as expected, as neither club gave an inch through four quarters. A see - saw first half saw the 76ers (3 - 3) enter halftime holding a slim 63 - 62 advantage. Ultimately, a standout defensive effort by Philadelphia that saw them limit the Hornets (3 - 4) to 18 points in the final period helped key the hard - fought win. Both teams scuffled from the field with Charlotte's 39 percent success rate only slightly exceeding the Sixers' 38 percent figure. However, the home squad enjoyed a strong rebounding advantage, winning the battle of the boards by a 56 - 48 margin. Kemba Walker paced the Hornets with a game - high 37 points, a total he supplemented with six rebounds, six assists, two blocks and one steal. Miles Bridges followed with a bench - leading 14 points, a total he supplemented with two rebounds and one steal. Cody Zeller produced 12 points, six boards and one steal, while Jeremy Lamb matched his point total and added three rebounds and one assist. Joel Embiid led the way for the Sixers with a 27 - point, 14 - rebound double - double that also included two assists and two blocks. Robert Covington generated an 18 - point, 10 - rebound double - double of his own. J.J. Redick poured in 15 point to lead the second unit. Ben Simmons supplied 14 points, 12 rebounds, three assists and one steal. Dario Saric contributed 11 points, seven rebounds and one assist. Markelle Fultz turned in 10 points, four rebounds, four assists and one steal. The Hornets head back home and await a visit from the Miami Heat on Tuesday night, while the 76ers remain home to take on the Atlanta Hawks on Monday evening."
3,4924,"The Philadelphia 76ers defeated the Atlanta Hawks, 113 - 92, at Wells Fargo Center on Monday night. The 76ers (4 - 3) kept their undefeated run at home alive with a convincing win over the Hawks (2 - 4), as Atlanta fought hard but ultimately didn't have enough in them to battle with Philadelphia. In fact, Atlanta won the first quarter 25 - 20, but Philadelphia evened things up with a 27 - 22 second quarter that kept the score tied at 47 after the first two quarters. Philadelphia showed a bit of their playoff form last season with an impressive 31 - 13 third quarter, and they later closed things out with a 35 - 32 fourth quarter. Without a doubt, it was a strong showing from the Sixers and now they move up to 40 at home. Ben Simmons was the star of the game for Philadelphia and he came one assist short of a triple - double thanks to a 21 - point, 12 - rebound, nine - assist stat line, while Joel Embiid registered 10 points, six rebounds, six assists and two blocks. Markelle Fultz chipped in with 16 points and seven assists, Robert Covington added 11 points with six rebounds, and three bench players reached the 10 - point mark: J.J. Redick (14), Mike Muscala (14) and Landry Shamet (13). Kent Bazemore had 18 points to led all players for the Hawks, while rookie point guard Trae Young contributed with 11 points and eight assists. Dewayne Dedmon and Omari Spellman each chipped in with 11 points coming off the bench for the Hawks. All 13 Atlanta players scored, but only four reached the 10 - point mark."
4,4925,"The Philadelphia 76ers defeated the visiting Los Angeles Clippers, 122 - 113, at Wells Fargo Center on Thursday evening. The Sixers got out to a solid start at home, as they held the upper hand for the entire first quarter, before taking a 34 - 30 lead into the second. They took off in the second, as they quickly pushed their lead to 10, and went on to outscore the Clippers by 11 in the quarter, to take a 72 - 57 lead into halftime. However, the Clippers came out strong in the third, as they kicked off the quarter with an 11 - 4 run, to cut the gap to eight. They kept battling and managed to trim the deficit to just four points, as they trailed 90 - 86 heading into the final frame. Despite the Clippers' strong push, the Sixers kept it together and managed to push their lead back to 11, less two minutes into the quarter. From there, the Clippers were only able to get within three points, as the 76ers went on to their fifth home win of the season. Joel Embiid led Philadelphia with 41 points, 13 rebounds, four blocks and one assist, in 33 minutes. J.J. Redick followed up with 18 points, in 34 minutes off the bench, while Ben Simmons tallied 14 points, 11 assists, three rebounds and one steal. The Sixers shot 47 percent from the field, including 13 - of - 27 from long range. Meanwhile, Lou Williams led the Clippers with 26 points on 9 - of - 19 shooting, in 24 minutes off the bench. Danilo Gallinari followed up with 25 points, eight rebounds and one assist, in 35 minutes, while Tobias Harris added 24 points, eight rebounds, three assists and one block. The Clippers shot 44 percent from the field, including 9 - of - 23 from long range. The Clippers (4 - 4) will be right back in action, as they take on the Magic in Orlando on Friday. The 76ers (5 - 4) play host to the Pistons on Saturday."
5,4931,"The Cleveland Cavaliers defeated the host Philadelphia 76ers, 121 - 112, at Wells Fargo Center on Friday evening. The Cavs got down to business right away, as they outscored the home team, 31 - 23, in the first quarter. The 76ers picked up the slack in the second and outscored the Cavs, 31 - 23, in the quarter, to tie the game at 54 heading into halftime. However, the Cavaliers would not back down, as they came out tough in the third and matched the Sixers bucket for bucket, before they emerged with a one - point lead heading into the final frame. The Cavs continued to play one step ahead of the home team 76ers, and managed to build an 11 - point lead with 4:37 left in the game. The Cavs held on from there to earn their first road win of the season, and hand the 76ers their first home loss of the season. Rodney Hood led the Cavs with 25 points on 10 - of - 20 shooting, four rebounds and one assist, in 39 minutes. Collin Sexton followed up with 23 points, five rebounds, three assists, one steal and one block, while Tristan Thompson added 18 points, 13 rebounds and two steals, in 35 minutes. The Cavs shot 53 percent from the field, including 11 - of - 22 from long range. Meanwhile, Joel Embiid led the 76ers with 24 points, 12 rebounds and three assists, in 32 minutes. J.J. Redick tallied 23 points of his own, on 5 - of - 11 shooting, while Ben Simmons and Jimmy Butler tallied 22 points each. The Sixers shot 53 percent from the field, including 13 - of - 33 from long range. The 76ers (13 - 8) will look to bounce back as they take on the Nets in Brooklyn on Sunday. The Cavs (3 - 14) play host to the Rockets on Saturday."
6,4936,"The Brooklyn Nets defeated the Philadelphia 76ers, 127 - 124, at Wells Fargo Center on Wednesday. The game was certainly not as close as the final score suggests, as the Nets were in control for nearly all of Wednesday's contest before the 76ers' second unit, led by rookie Landry Shamet scoring 10 points in the final minute of the game, made a late push but ultimately just ran out of time. The main reason Brooklyn found itself in full control of the outing was the stellar play of Spencer Dinwiddie, who scored a career - high 39 points in just 30 minutes off the bench. The point guard shot 4 - of - 6 from three and a11 - of - 18 from the field overall, but he did most of his damage from the free throw line, where he was 13 - of - 14. It was the fifth time this season the breakout 25 - year - old scored at least 25 points in a game. As for the rest of the Nets, Allen Crabbe was the high scorer out of the starters, posting 20 points while shooting 50 percent from the field. Joe Harris was 2 - of - 3 from behind the arc en route to scoring 14 points, while rookie Rodions Kurucs scored 13 points off the bench. As a team, the Nets were on fire from behind the arc, going 14 - of - 28 from deep. The 76ers had to play Wednesday's game without star guard Jimmy Butler (groin), and their star players certainly picked up some of the slack. Joel Embiid was a force down low, postig another massive double - double of 33 points and 17 rebounds in 38 minutes, while Ben Simmons had a terrific all - around performance with 22 points, eight rebounds, seven assists, four steals and two blocks. Lastly, Furkan Korkmaz, who started in Butler's absence, scored 18 points for the second straight night. Offensive production, however, wasn't the problem, as the 127 points the team gave up was the most Philadelphia allowed in nearly a month."
7,4937,"The Indiana Pacers defeated the Philadelphia 76ers, 113 - 101, at Wells Fargo Center on Friday evening. The Pacers (19 - 10) fell behind by 10 points at the end of the first quarter, and given that the 76ers (19 - 11) had lost only twice all season on their home floor, things looked bleak for Indiana early. The visitors still trailed by 10 at halftime, but a prolific third quarter where they outscored Philadelphia by a 31 - 18 margin. The Pacers then kept the heat on in the fourth by adding nine points to their advantage and sealing a hard - fought road victory. Thaddeus Young led the Pacers by touching up one of his old squads for a 26 - point, 10 - rebound double - double that also included five assists and one block. Bojan Bogdanovic provided 18 points, five rebounds and two assists. Victor Oladipo, Domantas Sabonis and Cory Joseph generated matching 14 - point tallies. Oladipo added nine assists and three steals, Sabonis also pulled down 16 rebounds, Darren Collison mustered eight points but also dished out 10 assists. Joel Embiid paced the Sixers with a 40 - point, 21 - rebound double - double that also included three assists, one steal and one block. J.J. Redick contributed 22 points. Ben Simmons managed 18 points, nine rebounds, four assists, two steals and one block. Furkan Korkmaz started for Jimmy Butler (groin) once again but only totaled six points and two rebounds. The Pacers head back home to face the New York Knicks on Sunday afternoon, while the Sixers pay a visit to the Cleveland Cavaliers on Sunday afternoon as well."
8,4942,"The Atlanta Hawks defeated the Philadelphia 76ers, 123 - 121, at Wells Fargo Center on Friday evening. The Hawks (13 - 29) knew they were facing an uphill battle coming into the contest, given both their futile road record and the quality of their opponent. However, their chances received a boost shortly before tip - off when it was revealed that Joel Embiid (ankle) would miss the contest for the 76ers (27 - 16). Atlanta did come out of the gates hot and trailed just 56 - 54 at the half. The Hawks would then hold the lead for substantial portions of the second half, and they made an impressive comeback from a 121 - 118 deficit with under a minute remaining. Kevin Huerter knotted the game at 121 with 54 seconds remaining, a basket John Collins followed up with a 13 - footer with 10 seconds left. Jimmy Butler then missed two free throws and both Ben Simmons and Wilson Chandler misfired on tip shots in the closing seconds to seal the wild win for the visitors. Huerter led the way for the Hawks with 29 points, adding three rebounds, three assists and two steals. Collins contributed 25 points, nine rebounds, two assists and one steal. Dewayne Dedmon produced 19 points, eight rebounds, seven assists and one steal. Trae Young supplied 18 points, five assists, four rebounds and two steals. De'Andre Bembry delivered 14 points, six boards, five assists and one steal. Alex Len and Jeremy Lin co - led the bench with nine points apiece. Butler paced the 76ers with 30 points and supplemented them with five assists, four rebounds and three steals. Simmons finished with 23 points, 15 assists, 10 rebounds, two steals and one block. J.J. Redick poured in 20 points while also tallying two assists, one rebound and one steal. Mike Muscala started for Embiid and offered 16 points and three rebounds among his contributions. T.J. McConnell matched Muscala's scoring and also dished out six assists, pulled down three rebounds and recorded two steals. The Hawks head back home and face the Milwaukee Bucks on Sunday afternoon, while the 76ers pay a visit to the New York Knicks on Sunday afternoon as well."
9,4944,"The Oklahoma City Thunder defeated the host Philadelphia 76ers, 117 - 115, at Wells Fargo Center on Saturday. Oklahoma City has miraculously won 18 - straight games over Philly heading into this matchup, as this win solidifies their ownership and makes it 19 in a row. It took quite the effort to get them there though, as Paul George capitalized on a four - point play with six seconds left to take the lead and grab the win. While the Thunder led for over 40 minutes of this game, there were still five ties and nine lead changes in total. Philadelphia really killed themselves by not taking care of the ball, as they lost the turnover differential, 17 - 10. Free-throw shooting was also critical, with the Thunder hitting 23 - of - 26 and the Sixers connecting on just 28 - of - 39. The Thunder (27 - 18) were led by Paul George, as he tallied 31 points, six rebounds, five assists and three steals. Russell Westbrook accumulated 21 points, 10 rebounds and six assists. Steven Adams totaled 16 points, nine rebounds, three assists and two blocks while Dennis Schroder led the bench with 21 points, four rebounds and two assists. The Sixers (30 - 17) were led by Joel Embiid, as he collected 31 points, eight rebounds and six assists. Ben Simmons accrued 20 points, 15 rebounds and nine assists. J.J. Redick amassed 22 points and two rebounds while Jimmy Butler generated 18 points, three rebounds, four assists, two steals and two blocks. Both teams return to action on Monday, with Oklahoma City traveling to face the struggling New York Knicks and Philly playing host to the Houston Rockets."
