player_name,team_name,player_height,country,draft_year,draft_round,college,age,season,country_continent,born_in_america,height_lt_200,first_round_drafted
Usman Garuba,Houston Rockets,203.2,Spain,2021,1,,20.0,2021-22,Europe,False,False,True
Vlatko Cancar,Denver Nuggets,203.2,Slovenia,2017,2,,25.0,2021-22,Europe,False,False,False
Vit Krejci,Oklahoma City Thunder,203.2,Czech Republic,2020,2,,22.0,2021-22,Europe,False,False,False
Victor Oladipo,Miami Heat,193.04,USA,2013,1,Indiana,30.0,2021-22,America,True,True,True
Vernon Carey Jr.,Washington Wizards,205.74,USA,2020,2,Duke,21.0,2021-22,America,True,False,False
Wayne Ellington,Los Angeles Lakers,193.04,USA,2009,1,North Carolina,34.0,2021-22,America,True,True,True
Tyus Jones,Memphis Grizzlies,182.88,USA,2015,1,Duke,26.0,2021-22,America,True,True,True
Tyrone Wallace,New Orleans Pelicans,195.58,USA,2016,2,California,28.0,2021-22,America,True,True,False
Tyrese Maxey,Philadelphia 76ers,187.96,USA,2020,1,Kentucky,21.0,2021-22,America,True,True,True
Tyrese Haliburton,Indiana Pacers,195.58,USA,2020,1,Iowa State,22.0,2021-22,America,True,True,True
Tyrell Terry,Memphis Grizzlies,187.96,USA,2020,2,Stanford,21.0,2021-22,America,True,True,False
Tyler Herro,Miami Heat,195.58,USA,2019,1,Kentucky,22.0,2021-22,America,True,True,True
Udoka Azubuike,Utah Jazz,213.36,Nigeria,2020,1,Kansas,22.0,2021-22,Africa,False,False,True
Wendell Carter Jr.,Orlando Magic,208.28,USA,2018,1,Duke,23.0,2021-22,America,True,False,True
Ziaire Williams,Memphis Grizzlies,205.74,USA,2021,1,Stanford,20.0,2021-22,America,True,False,True
Wes Iwundu,Atlanta Hawks,198.12,USA,2017,2,Kansas State,27.0,2021-22,America,True,True,False
Zeke Nnaji,Denver Nuggets,205.74,USA,2020,1,Arizona,21.0,2021-22,America,True,False,True
Zach LaVine,Chicago Bulls,195.58,USA,2014,1,UCLA,27.0,2021-22,America,True,True,True
Zach Collins,San Antonio Spurs,210.82,USA,2017,1,Gonzaga,24.0,2021-22,America,True,False,True
Xavier Tillman Sr.,Memphis Grizzlies,203.2,USA,2020,2,Michigan State,23.0,2021-22,America,True,False,False
Willy Hernangomez,New Orleans Pelicans,210.82,Spain,2015,2,,28.0,2021-22,Europe,False,False,False
Willie Cauley-Stein,Philadelphia 76ers,213.36,USA,2015,1,Kentucky,28.0,2021-22,America,True,False,True
Will Barton,Denver Nuggets,195.58,USA,2012,2,Memphis,31.0,2021-22,America,True,True,False
Darius Bazley,Oklahoma City Thunder,203.2,USA,2019,1,,22.0,2021-22,America,True,False,True
Troy Brown Jr.,Chicago Bulls,198.12,USA,2018,1,Oregon,22.0,2021-22,America,True,True,True
Evan Fournier,New York Knicks,198.12,France,2012,1,,29.0,2021-22,Europe,False,True,True
Evan Mobley,Cleveland Cavaliers,210.82,USA,2021,1,Southern California,21.0,2021-22,America,True,False,True
Frank Jackson,Detroit Pistons,190.5,USA,2017,2,Duke,24.0,2021-22,America,True,True,False
Frank Kaminsky,Phoenix Suns,213.36,USA,2015,1,Wisconsin,29.0,2021-22,America,True,False,True
Frank Ntilikina,Dallas Mavericks,193.04,France,2017,1,,23.0,2021-22,Europe,False,True,True
Franz Wagner,Orlando Magic,208.28,Germany,2021,1,Michigan,20.0,2021-22,Europe,False,False,True
Furkan Korkmaz,Philadelphia 76ers,200.66,Turkey,2016,1,,24.0,2021-22,Asia/Europe,False,False,True
Gorgui Dieng,Atlanta Hawks,208.28,Senegal,2013,1,Louisville,32.0,2021-22,Africa,False,False,True
