sportsett_id,summary
4921,"The Philadelphia 76ers defeated the visiting Chicago Bulls, 127 - 108, at Wells Fargo Center on Thursday evening. Both teams came out strong in the first quarter but the Bulls held the advantage, leading 41 - 38, heading into the second. However, the Sixers bounced back in the second, where they outscored the Bulls, 27 - 17, to take a 65 - 58 lead heading into halftime. The Sixers came out in domination mode in the third and outscored the Bulls, 37 - 18, to take a 102 - 76 lead heading into the fourth. The Bulls put up a fight in the fourth but the 76ers were able to cruise to their first win of the season without a problem. Joel Embiid led the 76ers with 30 points on 9 - of - 14 shooting, in 33 minutes of action. Ben Simmons put up big numbers with 13 points, 13 rebounds, 11 assists, two blocks and one steal, in 34 minutes. Robert Covington finished with 20 points, five rebounds, two assists, two steals and a block, in 29 minutes. The Sixers shot 48 percent from the field, including 12 - of - 36 from long range. Meanwhile, Zach LaVine led the Bulls with 30 points on 11 - of - 20 shooting, six rebounds, three assists and one block, in 33 minutes of action. Bobby Portis followed up with 20 points, 10 rebounds, two assists and two steals, while Antonio Blakeney added 15 points, five rebounds and two assists. The Bulls shot 44 percent from the field, including 11 - of - 33 from long range. The Bulls (0 - 1) look to bounce back as they play host to the Pistons on Saturday. The Sixers (1 - 1) play host to the 76ers on Saturday."
4922,"The Philadelphia 76ers defeated the visiting Orlando Magic, 116 - 115, at Wells Fargo Center on Saturday evening. The Magic jumped out to a quick 90 lead and went ahead to push it to a 26 - 10 advantage with 4:55 left in the first. However, the Sixers battled back and cut the gap to just two points, trailing, 32 - 30, after one. The 76ers pulled ahead in the second carried the lead for most of the quarter, before taking a 63 - 52 lead into halftime. The tides turned again in the third quarter, as the Magic outscored the 76ers by eight, to cut the deficit to three points, heading into the final frame. The Sixers maintained their edge and pushed the lead back to 10, with five minutes to go in the game, but the Magic used an 18 - 9 run to make it a one - point game with 5 seconds left and possession. The Magic were not able to convert on the final play and dropped their second game in as many nights. On the other hand, the Sixers earned their second straight win. Joel Embiid led Philadelphia with 32 points, 10 rebounds and three assists, in 33 minutes. J.J. Redick came up huge in 32 minutes off the bench, with 31 points, four rebounds and four assists. Dario Saric finished with 13 points, nine rebounds, five assists, one block and one steal, while Robert Covington added 12 points, four rebounds, two steals, one block and one assist. The Sixers shot 48 percent from the field, including 17 - of - 34 from long range. Meanwhile, Evan Fournier was the high - point man for the Magic with 31 points, four rebounds, three assists and one steal, in 33 minutes. Nikola Vucevic had a big night with 27 points, 13 rebounds, 12 assists and two steals, in 37 minutes of action, while Aaron Gordon finished with 20 points, 12 rebounds three assists, three blocks and one steal. The Magic shot 46 percent from the field, including 16 - of - 29 from distance. The Magic (1 - 2) take on the Celtics in Boston on Monday, while the 76ers, head to Detroit to challenge the Pistons on Tuesday."
4923,"The Philadelphia 76ers defeated the Charlotte Hornets, 105 - 103, at Wells Fargo Center on Saturday evening. The battle of two evenly matched teams was as good as expected, as neither club gave an inch through four quarters. A see - saw first half saw the 76ers (3 - 3) enter halftime holding a slim 63 - 62 advantage. Ultimately, a standout defensive effort by Philadelphia that saw them limit the Hornets (3 - 4) to 18 points in the final period helped key the hard - fought win. Both teams scuffled from the field with Charlotte's 39 percent success rate only slightly exceeding the Sixers' 38 percent figure. However, the home squad enjoyed a strong rebounding advantage, winning the battle of the boards by a 56 - 48 margin. Kemba Walker paced the Hornets with a game - high 37 points, a total he supplemented with six rebounds, six assists, two blocks and one steal. Miles Bridges followed with a bench - leading 14 points, a total he supplemented with two rebounds and one steal. Cody Zeller produced 12 points, six boards and one steal, while Jeremy Lamb matched his point total and added three rebounds and one assist. Joel Embiid led the way for the Sixers with a 27 - point, 14 - rebound double - double that also included two assists and two blocks. Robert Covington generated an 18 - point, 10 - rebound double - double of his own. J.J. Redick poured in 15 point to lead the second unit. Ben Simmons supplied 14 points, 12 rebounds, three assists and one steal. Dario Saric contributed 11 points, seven rebounds and one assist. Markelle Fultz turned in 10 points, four rebounds, four assists and one steal. The Hornets head back home and await a visit from the Miami Heat on Tuesday night, while the 76ers remain home to take on the Atlanta Hawks on Monday evening."
4924,"The Philadelphia 76ers defeated the Atlanta Hawks, 113 - 92, at Wells Fargo Center on Monday night. The 76ers (4 - 3) kept their undefeated run at home alive with a convincing win over the Hawks (2 - 4), as Atlanta fought hard but ultimately didn't have enough in them to battle with Philadelphia. In fact, Atlanta won the first quarter 25 - 20, but Philadelphia evened things up with a 27 - 22 second quarter that kept the score tied at 47 after the first two quarters. Philadelphia showed a bit of their playoff form last season with an impressive 31 - 13 third quarter, and they later closed things out with a 35 - 32 fourth quarter. Without a doubt, it was a strong showing from the Sixers and now they move up to 40 at home. Ben Simmons was the star of the game for Philadelphia and he came one assist short of a triple - double thanks to a 21 - point, 12 - rebound, nine - assist stat line, while Joel Embiid registered 10 points, six rebounds, six assists and two blocks. Markelle Fultz chipped in with 16 points and seven assists, Robert Covington added 11 points with six rebounds, and three bench players reached the 10 - point mark: J.J. Redick (14), Mike Muscala (14) and Landry Shamet (13). Kent Bazemore had 18 points to led all players for the Hawks, while rookie point guard Trae Young contributed with 11 points and eight assists. Dewayne Dedmon and Omari Spellman each chipped in with 11 points coming off the bench for the Hawks. All 13 Atlanta players scored, but only four reached the 10 - point mark."
4925,"The Philadelphia 76ers defeated the visiting Los Angeles Clippers, 122 - 113, at Wells Fargo Center on Thursday evening. The Sixers got out to a solid start at home, as they held the upper hand for the entire first quarter, before taking a 34 - 30 lead into the second. They took off in the second, as they quickly pushed their lead to 10, and went on to outscore the Clippers by 11 in the quarter, to take a 72 - 57 lead into halftime. However, the Clippers came out strong in the third, as they kicked off the quarter with an 11 - 4 run, to cut the gap to eight. They kept battling and managed to trim the deficit to just four points, as they trailed 90 - 86 heading into the final frame. Despite the Clippers' strong push, the Sixers kept it together and managed to push their lead back to 11, less two minutes into the quarter. From there, the Clippers were only able to get within three points, as the 76ers went on to their fifth home win of the season. Joel Embiid led Philadelphia with 41 points, 13 rebounds, four blocks and one assist, in 33 minutes. J.J. Redick followed up with 18 points, in 34 minutes off the bench, while Ben Simmons tallied 14 points, 11 assists, three rebounds and one steal. The Sixers shot 47 percent from the field, including 13 - of - 27 from long range. Meanwhile, Lou Williams led the Clippers with 26 points on 9 - of - 19 shooting, in 24 minutes off the bench. Danilo Gallinari followed up with 25 points, eight rebounds and one assist, in 35 minutes, while Tobias Harris added 24 points, eight rebounds, three assists and one block. The Clippers shot 44 percent from the field, including 9 - of - 23 from long range. The Clippers (4 - 4) will be right back in action, as they take on the Magic in Orlando on Friday. The 76ers (5 - 4) play host to the Pistons on Saturday."
4926,"The Philadelphia 76ers defeated the visiting Detroit Pistons, 109 - 99, at Wells Fargo Center on Saturday. Wire-to-wire wins are rare in today's NBA but that's just what the Sixers did here. In fact, Philly led by 24 points at times, as a 22 - point halftime lead was too much for the Clippers to overcome. Three-point shooting was key to victory, with Philly hitting 9 - of - 29 of their three's while holding Detroit to just 5 - of - 30 from long range. The free - throw shooting was also critical, as the Pistons connected on just 28 - of - 41 while the Sixers hit 44 - of - 51. Defense really carried Philly too, as they forced 17 turnovers from Detroit while holding them to under 40 percent from the field. The Pistons (4 - 4) had just one starter reach double figures in scoring, as Blake Griffin continued his magical season. In fact, he finished with 38 points, 13 rebounds, six assists and two steals on 12 - of - 21 shooting. Andre Drummond totaled eight points and nine boards. Langston Galloway led the bench with 13 points. The Sixers (6 - 4) got a spectacular performance out of Joel Embiid, as he tallied 39 points, 17 rebounds and two blocks on 10 - of - 18 from the field. Ben Simmons was second among starters, collecting nine points, five rebounds, five assists and five steals. J.J. Redick led the bench with 16 points and four assists. On deck for Philly is a road matchup versus the Brooklyn Nets on Sunday. As for Detroit, they host the Miami Heat on Monday for their next outing."
4927,"The Philadelphia 76ers defeated the Charlotte Hornets, 133 - 132, in overtime at Wells Fargo Center on Friday evening. The 76ers (8 - 5) found themselves at the scene of the majority of their successes Friday, as they'd come into the contest with a perfect 60 record at home. After a nip - and - tuck first quarter, Philadelphia seemingly turned the game in their favor with a 32 - 17 advantage in the second period. To their credit, the Hornets (6 - 6) wouldn't go away, chipping away at their deficit until overcoming it in the fourth quarter. However after holding a five - point lead as late as the 1:18 mark of the final period, Charlotte allowed Philadelphia a 7 - 2 run at the end of regulation to force overtime. In a tightly contested extra period, a free throw apiece from Ben Simmons and Joel Embiid in the closing seconds helped create just enough cushion for the win. Kemba Walker paced the Hornets with 30 points and added nine assists, seven rebounds and one steal. Jeremy Lamb provided 17 points, three rebounds, one assist, two steals and one block. Dwayne Bacon supplied 15 points, one rebound, one assist and one steal. Willy Hernangomez delivered 14 points and four boards. Cody Zeller matched Hernangomez's scoring and rebounding totals, while Michael Kidd-Gilchrist generated a 12 - point, 12 - rebound double - double off the bench. Embiid led the Sixers with a 42 - point, 18 - rebound double - double that also included four assists and four blocks. Ben Simmons tallied a 22 - point, 13 - assist double - double that also included eight boards, three blocks and two steals. Dario Saric contributed 18 points, nine rebounds, two assists and one block. J.J. Redick finished with 17 points, four assists and two rebounds. Markelle Fultz and Robert Covington started but only had seven points each. The Hornets remain on the road and take on the Pistons on Sunday afternoon, while the 76ers pay a visit to the Memphis Grizzlies on Saturday night."
4928,"The Philadelphia 76ers defeated the Utah Jazz, 113 - 107, at Wells Fargo Center on Friday evening. It was a tale of two quarters in the first half for the 76ers (10 - 7), which exploded out of the gates for a 38 - point haul over the first 12 minutes. However, as prolific as Philadelphia was in the first quarter, they had as much trouble finding the net in the second. posting only 16 points. That was the extent of their scoring drought, though, as the home squad was able to outpace the Jazz (7 - 8) by a 59 - 55 margin in the second half. The game was not won without several scares in the final period, as Utah held a 107 - 105 lead as late as the 1:37 mark of the fourth quarter before the Big Three of Ben Simmons, Jimmy Butler and Joel Embiid notched the final six points to seal the win. Donovan Mitchell paced the Jazz with 31 points, a total he supplemented with two rebounds, four steals and one block. Joe Ingles provided 14 points, two rebounds, two assists, three steals and one block. Ricky Rubio and Derrick Favors generated matching 13 - point efforts. Rudy Gobert contributed a 12 - point, 10 - rebound double - double. Butler paced the Sixers with 28 points, a total he supplemented with seven assists, three rebounds and two steals. Embiid delivered 23 points, seven rebounds, two assists, three blocks and two steals. J.J. Redick poured in 16 points. Simmons pitched in a full stat line of 10 points, eight rebounds, eight assists, one steal and one block. Amir Johnson led the second unit with 11 points. The Jazz remain on the road and pay a visit to the Boston Celtics on Saturday evening. The Sixers also hit the road and tangle with the Charlotte Hornets on Saturday night as well."
4929,"The Philadelphia 76ers defeated the Phoenix Suns, 119 - 114, at Wells Fargo Center on Monday evening. The 76ers (12 - 7) likely walked into Monday's home game feeling pretty good about themselves, and more specifically, their chances of cruising through an interconference contest against the struggling Suns (3 - 13), which had failed to win a road game in six tries. Philadelphia got an early wake - up call, as Phoenix jumped out to a 36 - 26 first - quarter lead. The visitors still held an advantage at halftime, albeit by just five points. The Sixers were able to eradicate their deficit in convincing fashion in the third and entered the final 12 minutes with a 92 - 86 edge. That would prove to be enough, although the Suns got as close 117 - 114 with 6 seconds remaining after a Mikal Bridges three - pointer. Phoenix kept the pressure on their hosts with a 51 percent success rate from the field, but they were outrebounded by a 53 - 31 margin. Devin Booker paced the Suns with 37 points, a total he supplemented with eight assists and three rebounds. T.J. Warren followed with 21 points, four rebounds, four assists and one block. Deandre Ayton posted 17 points, nine rebounds, one assist and one steal. Bridges finished with 13 points, while Trevor Ariza filled out the stat sheet with 10 points, seven rebounds, five assists, three steals and one block. Richaun Holmes matched Ariza's point total while leading the bench. Joel Embiid led the 76ers with a 33 - point, 17 - rebound double - double that also included one assist, three steals and one block. Ben Simmons had a near triple - double with 19 points, 11 rebounds, nine assists and one steal. Mike Muscala matched Simmons' point total to lead the second unit. J.J. Redick poured in 17 points and added four rebounds and three assists. Jimmy Butler contributed 16 points, three rebounds, one assist and two steals. The Suns remain on the road and visit the Chicago Bulls on Wednesday'night, while the Sixers remain home and face the New Orleans Pelicans on that same evening."
4930,"The Philadelphia 76ers defeated the visiting New Orleans Pelicans, 121 - 120, at Wells Fargo Center on Wednesday evening. The 76ers got out to a great start at home, as they outscored the Pelicans, 38 - 23, in the first quarter. The Pelicans made a push to start the second and quickly cut the gap to just three points. However, the home team was able to withstand, as the Sixers built their lead back up to double digits, and took a 67 - 57 lead into halftime. The third quarter was evenly matched, as neither team gave up any ground. The Pelicans led 96 - 87 heading into the final frame. The 76ers pushed their lead to 15 early in the fourth, but the Pelicans did not break, as the rallied back to make it a one - point game, with one minute remaining. Despite the visitor's best effort, the 76ers managed to stay one step ahead in crunch time, to pull off the impressive, 121 - 120, home win. This marks the fourth straight win for Philly. Joel Embiid led the 76ers with 31 points, 19 rebounds, two assists and two blocks, in 32 minutes. Ben Simmons followed up with 22 points, eight rebounds, seven assists, two blocks and one steal, in 35 minutes. Jimmy Butler and J.J. Redick chipped in 13 points each. The Sixers shot 45 percent from the field, including 10 - of - 29 from long range. Meanwhile, Jrue Holiday and E'Twaun Moore poured in 30 points each for the Pelicans. Julius Randle came up large as well, with 22 points, 10 rebounds, three assists and one block, in 28 minutes off the bench. The Pelicans (10 - 8) will look to bounce back as they take on the Knicks in New York on Friday. The 76ers (13 - 7) play host to the Cavs on Friday."
