player_name,team_name,player_height,country,draft_year,draft_round,college,age,season
Randy Livingston,Houston Rockets,193.04,USA,1996,2,Louisiana State,22.0,1996-97
Gaylon Nickerson,Washington Wizards,190.5,USA,1994,2,Northwestern Oklahoma,28.0,1996-97
George Lynch,Vancouver Grizzlies,203.2,USA,1993,1,North Carolina,26.0,1996-97
George McCloud,Los Angeles Lakers,203.2,USA,1989,1,Florida State,30.0,1996-97
George Zidek,Denver Nuggets,213.36,USA,1995,1,UCLA,23.0,1996-97
Gerald Wilkins,Orlando Magic,198.12,USA,1985,2,Tennessee-Chattanooga,33.0,1996-97
Gheorghe Muresan,Washington Wizards,231.14,USA,1993,2,,26.0,1996-97
Glen Rice,Charlotte Hornets,203.2,USA,1989,1,Michigan,30.0,1996-97
Glenn Robinson,Milwaukee Bucks,200.66,USA,1994,1,Purdue,24.0,1996-97
Grant Hill,Detroit Pistons,203.2,USA,1994,1,Duke,24.0,1996-97
Gary Trent,Portland Trail Blazers,203.2,USA,1995,1,Ohio,22.0,1996-97
Grant Long,Detroit Pistons,205.74,USA,1988,2,Eastern Michigan,31.0,1996-97
Greg Anthony,Vancouver Grizzlies,185.42,USA,1991,1,Nevada-Las Vegas,29.0,1996-97
Greg Dreiling,Dallas Mavericks,215.9,USA,1986,2,Kansas,33.0,1996-97
Greg Foster,Utah Jazz,210.82,USA,1990,2,Texas-El Paso,28.0,1996-97
Greg Graham,Seattle SuperSonics,193.04,USA,1993,1,Indiana,26.0,1996-97
Greg Minor,Boston Celtics,198.12,USA,1994,1,Louisville,25.0,1996-97
Greg Ostertag,Utah Jazz,218.44,USA,1995,1,Kansas,24.0,1996-97
Hakeem Olajuwon,Houston Rockets,213.36,Nigeria,1984,1,Houston,34.0,1996-97
Harvey Grant,Washington Wizards,205.74,USA,1988,1,Oklahoma,31.0,1996-97
Haywoode Workman,Indiana Pacers,187.96,USA,1989,2,Oral Roberts,31.0,1996-97
Greg Anderson,San Antonio Spurs,208.28,USA,1987,1,Houston,33.0,1996-97
Gary Payton,Seattle SuperSonics,193.04,USA,1990,1,Oregon State,28.0,1996-97
Gary Grant,Miami Heat,190.5,USA,1988,1,Michigan,32.0,1996-97
Fred Roberts,Dallas Mavericks,208.28,USA,1982,2,Brigham Young,36.0,1996-97
Eldridge Recasner,Atlanta Hawks,193.04,USA,1992,Undrafted,Washington,29.0,1996-97
Elliot Perry,Milwaukee Bucks,182.88,USA,1991,2,Memphis,28.0,1996-97
Elmer Bennett,Denver Nuggets,182.88,USA,1992,2,Notre Dame,27.0,1996-97
Elmore Spencer,Seattle SuperSonics,213.36,USA,1992,1,Nevada-Las Vegas,27.0,1996-97
Emanual Davis,Houston Rockets,195.58,USA,Undrafted,Undrafted,Delaware State,28.0,1996-97
Ennis Whatley,Portland Trail Blazers,190.5,USA,1983,1,Alabama,34.0,1996-97
Eric Leckner,Vancouver Grizzlies,210.82,USA,1988,1,Wyoming,31.0,1996-97
Eric Mobley,Vancouver Grizzlies,210.82,USA,1994,1,Pittsburgh,27.0,1996-97
Eric Montross,New Jersey Nets,213.36,USA,1994,1,North Carolina,25.0,1996-97
Eric Murdock,Denver Nuggets,185.42,USA,1991,1,Providence,29.0,1996-97
Eric Piatkowski,Los Angeles Clippers,200.66,USA,1994,1,Nebraska,26.0,1996-97
Eric Snow,Seattle SuperSonics,190.5,USA,1995,2,Michigan State,24.0,1996-97
Eric Williams,Boston Celtics,203.2,USA,1995,1,Providence,24.0,1996-97
Erick Dampier,Indiana Pacers,210.82,USA,1996,1,Mississippi State,21.0,1996-97
Erick Strickland,Dallas Mavericks,190.5,USA,Undrafted,Undrafted,Nebraska,23.0,1996-97
Ervin Johnson,Denver Nuggets,210.82,USA,1993,1,New Orleans,29.0,1996-97
Evric Gray,New Jersey Nets,200.66,USA,Undrafted,Undrafted,Nevada-Las Vegas,27.0,1996-97
