Team Name,Losses,Total points,Points in 4th quarter,Wins,Game ID,Percentage of field goals,Rebounds,Number of team assists,Points in 3rd quarter,Turnovers,Percentage of 3 points,Points in 1st quarter,Points in 2nd quarter
Hawks,12.0,95.0,,46.0,0,,,,,,,,
Magic,41.0,88.0,21.0,19.0,0,,,,,,,,
Knicks,31.0,82.0,,5.0,1,41.0,36.0,,,,,,
Bucks,17.0,95.0,,18.0,1,46.0,48.0,,,,,,
Suns,2.0,91.0,20.0,3.0,2,,35.0,13.0,19.0,,,,
Grizzlies,,102.0,26.0,,2,50.0,37.0,25.0,30.0,,,,
Raptors,15.0,114.0,25.0,29.0,3,53.0,,,,8.0,,,
Pistons,28.0,110.0,31.0,17.0,3,46.0,,,,14.0,,,
Bucks,35.0,91.0,,24.0,4,,,,,21.0,58.0,,
Pistons,29.0,102.0,22.0,30.0,4,,,,,,40.0,,
Bucks,8.0,118.0,,8.0,5,54.0,,,34.0,,,,
Cavaliers,3.0,101.0,,13.0,5,,,,20.0,,,,
Celtics,4.0,93.0,,0.0,6,,,,25.0,,,,
Cavaliers,,101.0,,,6,40.0,,,13.0,,,,
Thunder,13.0,114.0,,8.0,7,50.0,54.0,,,20.0,,,
Bucks,12.0,101.0,,11.0,7,41.0,31.0,,,,,,
Clippers,,,,,9,50.0,,,,,,,
Warriors,7.0,,,,9,,,38.0,,,,,
Lakers,53.0,87.0,,14.0,10,,,,,,19.0,,
Knicks,40.0,90.0,,28.0,10,,,,,,,,
Raptors,,,,,11,,,,,,56.0,,
Bucks,,,,,11,,,,,,17.0,,
Grizzlies,,105.0,,,12,,,,,17.0,,,
Timberwolves,1.0,101.0,,0.0,12,,,,,23.0,,,
Nets,42.0,117.0,42.0,37.0,13,,,,,,,31.0,
Wizards,34.0,80.0,18.0,45.0,13,,,,,,,14.0,
Lakers,58.0,88.0,,15.0,14,,,,,,,,
Wizards,37.0,101.0,,36.0,14,,,,,,,,26.0
Cavaliers,29.0,113.0,,53.0,15,,,,,,,,
Wizards,36.0,108.0,,46.0,15,,,,,,,,
Nuggets,17.0,107.0,,11.0,16,,,,16.0,,,,
Lakers,23.0,111.0,,5.0,16,,,,32.0,,,,
Trail Blazers,29.0,104.0,,22.0,17,,,,,,,,
Mavericks,30.0,108.0,,20.0,17,,,,,,,,
Heat,,107.0,,,18,,,22.0,,,,,
Raptors,1.0,102.0,,2.0,18,,,,,10.0,,,
Clippers,,133.0,,,19,,,,,,,,
Pacers,,,,,20,,,,,,32.0,,
Magic,,69.0,,,20,32.0,,,,,20.0,,
Grizzlies,7.0,110.0,,8.0,21,,,,,,,,
Mavericks,6.0,96.0,,9.0,21,,48.0,,,,,,
Rockets,,123.0,,,22,,,,,,,,
Timberwolves,28.0,101.0,,5.0,23,,,,,12.0,,,
Nuggets,20.0,110.0,,15.0,23,,,,,,,,
Pelicans,30.0,85.0,,37.0,24,,,,,,,,
Bucks,33.0,84.0,,34.0,24,,,,,10.0,,,
Clippers,5.0,120.0,,14.0,25,55.0,,,,7.0,53.0,,
Pelicans,10.0,100.0,,8.0,25,,,,,,,,
Pacers,18.0,104.0,,22.0,26,,,,,,,,
Wizards,19.0,118.0,,19.0,26,52.0,54.0,,,,44.0,,
Grizzlies,24.0,94.0,,37.0,27,,,,18.0,,,19.0,30.0
Jazz,33.0,88.0,,28.0,27,,,,33.0,17.0,,,11.0
Wizards,21.0,98.0,,19.0,28,,,,19.0,,,17.0,40.0
Trail Blazers,25.0,108.0,,19.0,28,51.0,,,35.0,,,32.0,
Thunder,25.0,116.0,,32.0,29,,,,,,,,
Knicks,34.0,105.0,,23.0,29,,,,,,,,
Jazz,33.0,102.0,,18.0,30,,,,,,,,
Kings,32.0,90.0,,17.0,30,,,,,,,,
Hornets,22.0,124.0,22.0,19.0,31,,,,,,,,
Jazz,23.0,119.0,31.0,18.0,31,,,,,,,,
Warriors,1.0,89.0,,28.0,32,41.0,49.0,,,,28.0,,
Cavaliers,8.0,83.0,,19.0,32,32.0,55.0,,,,17.0,,
Grizzlies,12.0,101.0,,31.0,33,,,,,,,,
76ers,36.0,83.0,,8.0,33,,,,,,,,
Mavericks,,87.0,,,34,43.0,,,,,,,
Spurs,,,,,34,47.0,,,,,58.0,,
Heat,1.0,91.0,14.0,3.0,35,,,,,,,,
Rockets,,108.0,25.0,,35,,,,,,,30.0,
Kings,9.0,116.0,,6.0,36,,46.0,,36.0,,,,
Thunder,8.0,101.0,,8.0,36,,38.0,,,,28.0,,
Suns,32.0,106.0,,34.0,37,50.0,,,,,25.0,25.0,
Timberwolves,49.0,97.0,,14.0,37,44.0,,,,,8.0,18.0,
76ers,2.0,71.0,18.0,0.0,38,30.0,,,,18.0,,19.0,
Jazz,1.0,99.0,,1.0,38,41.0,,,,7.0,,28.0,
Raptors,2.0,91.0,,4.0,40,,,,,,,,
Kings,,96.0,,,40,,,,,,,,
Nets,56.0,126.0,,15.0,41,,,,,,,22.0,30.0
Suns,50.0,98.0,,22.0,41,37.0,,,,19.0,,32.0,18.0
Suns,,,,,42,,,,,,41.0,,
