author
Nicole Holofcener
Blake Edwards
Reginald Rose
Earl Felton
Halsted Welles
Tom Topor
Ranald MacDougall
Mary McGuckian
Susan Shadburne
Dudley Nichols
John Schultz
Dean Georgaris
Vincent Sassone
Wayne Kramer
Kurt Wimmer
Paola di Florio
Stevan Mena
Ben Hecht
Michael McGowan
Michael Showalter
Ronald Harwood
James Edward Grant
Robert Rossen
Bill Naughton
Joshua Michael Stern
Carel Donck
James Cameron
Sebastian Gutierrez
Joseph L. Mankiewicz
David Vernon
Paul Monash
Marshall Curry
Larry Kramer
Michael Kang
Bernd Lange
Kurt Voelker
Steven Knight
Wendell Steavenson
Sterlin Harjo
John Boorman
Geoff Deane
Anthony Hopkins
Tom DiCillo
M. Night Shyamalan
Aleksandr Sokurov
Robert Zemeckis
Mike Reilly
Dennis Lee (III)
Jeffrey Reddick
J.T. Petty
Jeff Buhler
Ray McKinnon
Brad Gann
Lucy Dahl
Ted Braun
Rekha Nigam
Micky Levy
Rob Green
Joseph Greco
Jaideep Sahni
Dana Fox
Robert Knott
John Wrathall
Francesco Lucente
Andrew Bergman
Abdel Kechiche
Adam Rifkin
R.J. Stewart
Richard Kelly
Michael Schroeder
Chris Chan Lee
Nic Balthazar
William Monahan
Ronnie Christensen
Luke Dawson
Sean Ellis (II)
Carlos Brooks
Stephen Susco
Joe Penhall
Diane English
Hong Sang-soo
James Edward Grant
Steven Conrad
Chris McKenna (II)
James Westby
Cary Joji Fukunaga
Kari Skogland
Bart Freundlich
Philippe Caland
Harald Rosenløw-Eeg
David Bourla
Ric Roman Waugh
Zack Ford
David S. Goyer
David Pliler
Tarun Mansukhani
Scott Hamilton Kennedy
Tim Blake Nelson
Aditya Chopra
Johnny O'Hara
Mark Tonderai
David Leslie Johnson-McGoldrick
Kundo Koyama
Bertrand Normand
Edward Anderson
Alex Metcalf
Paul Solet
Paula Milne
Nikolai Muellerschoen
Mitchell Lichtenstein
Noah Buschel
Lukas Moodysson
Joel Anderson
Bohdan Sláma
Daniel Adams
Kirby Dick
Ka-Fai Wai
Danilo Bach
Thomas Moffett
Mac Gudgeon
Steve Allrich
Reginald Harkema
Dagen Merrill
Rob Stefaniuk
Mark L. Smith
Lee Macdougall
John Krueger
Dagur Kári
Joshua Goldin
Matthew Newton
Thomas Balmès
Abdul Williams
Geoff LaTulippe
Jason Kabolati
Adam Green
Kimberly Reed
Glenn Taranto
Mark Young
Peter Bratt
David Heilbroner
Steve Gordon
John Carpenter
Mark Hanna
Marc Norman
Bill Lancaster
John Lee Mahin
Mark Harris
Robert Pirosh
Jean Cocteau
Bent Hamer
Ron Shelton
Joe Eszterhas
Robert Clouse
Sydney Boehm
Michael Winner
Pierre Gendron
Albert Mannheimer
Edward Anhalt
Heywood Gould
William Blinn
