director
Chris Columbus
Nicole Holofcener
Blake Edwards
Sidney Lumet
Richard Fleischer
Roland Emmerich
Alfred Hitchcock
Delmer Daves
Adam Thomas Anderegg
D.W. Griffith
Hideo Nakata
Jonathan Kaplan
Andy Garcia
Michael Curtiz
George Cukor
Mary McGuckian
Joseph Losey
Will Vinton
Fritz Lang
John Schultz
María Lidón
Kevin Reynolds
Sébastien Lifshitz
Vincent Sassone
Wayne Kramer
Mark Griffiths
Kurt Wimmer
Paola di Florio
Luc Besson
Stevan Mena
Richard Fleischer
Claire Denis
Michael McGowan
Michael Showalter
Roman Polanski
John Wayne
Christopher Scott Cherot
Robert Rossen
Lewis Gilbert
Joshua Michael Stern
Steve Taylor
Paula Van der Oest
James Cameron
Sebastian Gutierrez
Joseph L. Mankiewicz
Salvador Litvak
George Bamber
Chris Fisher
William Brent Bell
Carl Reiner
Delbert Mann
Jason Matzner
Robert Rossen
Marshall Curry
Charles Jarrott
Michael Kang
Hans-Christian Schmid
Chao-Bin Su
Kurt Voelker
Eric Canuel
Michael Apted
Cate Shortland
Billy Corben
Ringan Ledwidge
Philip Haas
Christopher J. Scott
Sterlin Harjo
John Boorman
Nick Hurran
Anthony Hopkins
Tom DiCillo
Steve Buscemi
Albert Magnoli
David Wain
M. Night Shyamalan
Dan Reed
Zev Berman
Aleksandr Sokurov
Isidore Rosmarin
Morgan Neville
Robert Zemeckis
Mike Reilly
Raja Gosnell
Dennis Lee (III)
Steve Miner
Howard Deutch
J.T. Petty
Ryuhei Kitamura
Neil Burger
David Schwimmer
Dominic Sena
Ray McKinnon
Brad Gann
Timothy Linh Bui
Barbet Schroeder
Ted Braun
Pradeep Sarkar
Alison Eastwood
Marc Levin
Robby Henson
Joseph Greco
Sanjay Leela Bhansali
Anil Mehta
Michael Radford
Tom Vaughan
Ed Harris
Vicente Amorim
Ira Sachs
Francesco Lucente
Álex de la Iglesia
Gregory Hoblit
Gregor Jordan
Andrew Bergman
Shin-yeon Won
Clayton Jacobson
Peter Cattaneo
Lance Rivera
Abdel Kechiche
Adam Rifkin
Roger Vadim
Richard Kelly
Michael Schroeder
Chris Chan Lee
Robert Luketic
Jacques Rivette
Nic Balthazar
Ridley Scott
Rodrigo García
Zak Penn
Charles Herman-Wurmfeld
Masayuki Ochiai
Scott Stewart
Sean Ellis (II)
Rupert Wyatt
Carlos Brooks
Amy Redford
John Hillcoat
Richard Eyre
Saul Dibb
Diane English
Michael Mann
Hong Sang-soo
Erick Zonca
James Edward Grant
Oliver Parker
Alan Parker
Jonathan Mostow
Steven Conrad
George Tillman Jr.
Malcolm D. Lee
James Westby
Richard Ledes
Cary Joji Fukunaga
Vadim Glowna
Kari Skogland
Betty Thomas
Arnaud Desplechin
Bart Freundlich
Philippe Caland
Erik Poppe
T. Sean Shannon
Paul McGuigan
Ric Roman Waugh
Jed Weintrob
David S. Goyer
Rick Jacobson
Ryan Little
Prachya Pinkaew
Alex Kendrick
Scott Hamilton Kennedy
Toby Wilkins
Tim Blake Nelson
Aditya Chopra
Anne Fletcher
Matt Aselton
Mark Tonderai
Clarence Brown
Jaume Collet-Serra
Todd Phillips
Nelson McCormick
Yojiro Takita
Radu Muntean
Laurent Gentot
Dominic Sena
Edward Anderson
Paul Solet
Pete Travis
Nikolai Muellerschoen
Daniel Myrick
Mitchell Lichtenstein
Noah Buschel
Damian Chapa
Lukas Moodysson
Joe Berlinger
Oren Moverman
Joel Anderson
Bohdan Sláma
Billy Wilder
Daniel Adams
William Nigh
Kevin Tancharoen
Kirby Dick
Anthony Fabian
Park Chan-wook
Johnnie To
Fred Walton
Chris Nahon
Jonas Pate
Fredrik Gertten
Glendyn Ivin
Joseph Kosinski
Richard Harrah
Reginald Harkema
Dagen Merrill
Alejandro Chomski
Rob Stefaniuk
Atom Egoyan
Mark L. Lester
Joe Dante
Niko von Glasow
Gary Yates
Michael Anderson
John Krueger
Dagur Kári
Joshua Goldin
Chris Smith
Matthew Newton
Julie Ann Robinson
Erik White
Nanette Burstein
Joey Stewart
Adam Green
Kimberly Reed
Miguel Sapochnik
Daniel Grou
Anil Sharma
Debra Granik
Lisa Cholodenko
Jeffrey Blitz
Anders Anderson
Mark Young
Peter Bratt
Nimród Antal
Laura Poitras
Alexandre Franchi
Steve Gordon
Madeleine Sackler
John Carpenter
Peter Robinson
Nathan Juran
Robert Vincent O'Neil
George T. Miller
Mike Newell
Jack Donohue
Robert Benton
Michael Ritchie
Mervyn LeRoy
William Wellman
Jean Cocteau
Frank Launder
Bent Hamer
Roger Spottiswoode
Robert Clouse
Jim Abrahams
Fritz Lang
Howard Hawks
Michael Winner
Peter Ustinov
Alfred Hitchcock
Bob Clark
Gary Nelson
Albert Parker
Ridley Scott
John Frankenheimer
Bob Rafelson
Alfred Hitchcock
Blake Edwards
Rouben Mamoulian
Herschell Gordon Lewis
Josef von Sternberg
Edgar G. Ulmer
Tony Richardson
George Cukor
Richard Fleischer
Roger Donaldson
Franklin J. Schaffner
Douglas Trumbull
Tom Gries
Walter Hill
Buzz Kulik
David Lean
Delmer Daves
D.W. Griffith
Martin Ritt
Jeannot Szwarc
Hugh Wilson
Joshua Logan
George Roy Hill
George Sidney
David Butler
George Cukor
J. Lee Thompson
Michael Curtiz
Victor Fleming
Herk Harvey
Robert Kaylor
Brian DePalma
Michael Curtiz
Paul Leni
Richard Brooks
Jacques Tourneur
Paul Schrader
Max Ophüls
Franco Zeffirelli
Mark Robson
Stanley Donen
Arthur Penn
David Leland
Fritz Kiersch
Jeremy Kagan
Edwin L. Marin
Peter Godfrey
Bob Clark
Wesley Ruggles
Joseph L. Mankiewicz
James W. Horne
Dennis Hopper
Michael Crichton
Mark L. Lester
Sam Peckinpah
Robert Altman
George Seaton
Charles Vidor
Jack Arnold
Walter Hill
Rospo Pallenberg
Alfred E. Green
Stephen Frears
Robert Siodmak
John Schlesinger
George A. Romero
Robert Wise
Blake Edwards
Mark Goldblatt
John Cromwell
Luchino Visconti
Lamberto Bava
William Wyler
Tod Browning
John Milius
George Cukor
Rick Rosenthal
David Lean
Michael Curtiz
Stuart Gordon
Rouben Mamoulian
Tod Browning
Dan Curtis
John Badham
Tom Mankiewicz
Howard Zieff
Brian DePalma
Steven Spielberg
David Lynch
John Sturges
Elia Kazan
James Signorelli
Tobe Hooper
Pier Paolo Pasolini
David Lynch
John Carpenter
Otto Preminger
Peter Yates
François Truffaut
Edward Bianchi
Kevin Reynolds
John Schlesinger
Adrian Lyne
Vincente Minnelli
Ralph Bakshi
Mike Hodges
Franco Amurri
Paul Verhoeven
Robert Aldrich
James B. Clark
Kurt Neumann
David Cronenberg
David Miller
Herbert Ross
Zoltan Korda
Roman Polanski
Gary Nelson
Tom Holland
Fred Zinnemann
John Ford
Ted Kotcheff
George Roy Hill
Brian DePalma
Peter Weir
Karel Reisz
Robert Clouse
Sam Peckinpah
Norman Taurog
John Cassavetes
Edward Zwick
Edward Buzzell
H.B. Halicki
Herbert Ross
Sam Wood
Jack Clayton
Blake Edwards
William Girdler
Sidney Lumet
Dave Fleischer
Henry King
Ron Howard
Mervyn LeRoy
John Waters
John Carpenter
Laurence Olivier
Oliver Stone
Walter Hill
Paul Schrader
Mark Robson
Robert Wise
George Roy Hill
R.M. Richards
Diane Keaton
Allan Dwan
Akira Kurosawa
Wes Craven
Stephen Frears
Frank Capra
Steven Lisberger
Michael Davis
Jim O'Hanlon
Sidney Lanfield
Terence Fisher
Steve Miner
André De Toth
William Castle
Martin Ritt
Otto Preminger
William Dieterle
Buzz Kulik
Robert Aldrich
Richard T. Heffron
Douglas Sirk
Anthony Asquith
Sondra Locke
Richard Brooks
John Hough
Stanley Donen
John Ford
Stanley Kramer
D.W. Griffith
William Cameron Menzies
Tobe Hooper
Don Siegel
Philip Kaufman
James Whale
Michael Ritchie
Don Taylor
Franklin J. Schaffner
Larry Cohen
Richard Thorpe
Jean Yarbrough
Alfred Hitchcock
Don Chaffey
Alan Crosland
Richard Fleischer
Norman Jewison
Jean Negulesco
Georges Franju
Joseph L. Mankiewicz
Stuart Burge
Zoltan Korda
David Stevens
Phil Karlson
Sam Peckinpah
Walter Lang
John Guillermin
Martin Scorsese
Nicholas Ray
Alfred Hitchcock
Alexander Mackendrick
Otto Preminger
Ridley Scott
Richard Boleslawski
William Wyler
Ralph Nelson
Anthony Harvey
John Cromwell
George Roy Hill
Roger Corman
Frank Oz
George Cukor
Mervyn LeRoy
Stanley Kubrick
Sidney Lumet
Martin Ritt
Robert Aldrich
Tony Richardson
John Ford
Robert Stevenson
Marshall Brickman
Vincente Minnelli
Fritz Lang
David Lowell Rich
Alan Rudolph
Ingmar Bergman
Orson Welles
John Sturges
Howard Zieff
John Huston
Fred Zinnemann
John Frankenheimer
Marshall Brickman
Michael Mann
Michael Gottlieb
Fred Niblo
Delbert Mann
Bob Swaim
Michael Winner
Fred Zinnemann
Ronald Neame
Fritz Lang
Ernest B. Schoedsack
Arthur Penn
Joseph Zito
Roland Joffé
John Huston
Howard Hawks
Lewis Gilbert
Lowell Sherman
John Huston
Alfred Hitchcock
Gillian Armstrong
Karl W. Freund
Terence Fisher
Alfred Hitchcock
Morton DaCosta
Frank Lloyd
Gregory La Cava
Kathryn Bigelow
John G. Avildsen
John Irvin
Franklin J. Schaffner
Michael Curtiz
Sam Wood
George A. Romero
Roy Ward Baker
Bruce Malmuth
Peter Werner
Richard Pearce
Roger Donaldson
Jerry Lewis
Brian DePalma
Gene Saks
Carol Reed
Ronald Neame
Richard Donner
Stanley Kramer
Sam Wood
Michael Schroeder
Arthur Hiller
David Swift
Blake Edwards
Herbert Ross
Albert Lewin
Blake Edwards
Joe Dante
Wilford Leach
Roger Corman
Franklin J. Schaffner
John Boorman
David Swift
Tobe Hooper
Robert Altman
Kirk Douglas
Tay Garnett
Bob Rafelson
Sidney Lumet
Robert Z. Leonard
William Keighley
Peter Glenville
Mel Brooks
Jonathan Kaplan
Paul Lynch
Gus Van Sant
John Frankenheimer
James Glickenhaus
Joseph Zito
William Wellman
Paul Golding
Mervyn LeRoy
Daniel Petrie Sr.
John Irvin
Edmund Goulding
John Byrum
Alfred Hitchcock
James Foley
John Milius
Walter Hill
Richard Fleischer
Tenghiz Abuladze
Walter Murch
Tony Scott
George Cukor
Paul Brickman
Rowdy Herrington
Wolfgang Reitherman
Paul Verhoeven
Allan Arkush
John G. Avildsen
Jose Quintero
Franco Zeffirelli
Michael Crichton
Peter Hyams
Alfred Hitchcock
Billy Wilder
Zoltan Korda
Cecil B. DeMille
David Cronenberg
Jerry Schatzberg
Howard Hawks
Ronald Neame
Michael Curtiz
Joel Zwick
Richard Fleischer
Delbert Mann
Alfred Hitchcock
Gordon Parks
Charles Barton
James Glickenhaus
Mark Sandrich
Monte Hellman
John Badham
Blake Edwards
George Sidney
Charles E. Sellier Jr
Daryl Duke
Arthur Hiller
Marshall Brickman
Richard Wallace
Blake Edwards
Victor Schertzinger
William Friedkin
Sam O'Steen
Stanley Kubrick
Ron Howard
Roger Young
Roger Corman
John Ford
Alfred Hitchcock
John Badham
George Cukor
Frank R. Pierson
George Roy Hill
Orson Welles
Elia Kazan
Lewis Allen
Carl Reiner
Fred Zinnemann
Herbert Ross
Peter Yates
Alfred Hitchcock
Archie Mayo
Richard Brooks
George Stevens
Ken Annakin
Jack Conway
Arthur Penn
John Derek
Paul Mazursky
Cecil B. DeMille
Cecil B. DeMille
Roger Corman
Jason Miller
Gordon Douglas
David Cronenberg
Raoul Walsh
Michael Mann
Christian Nyby
John Carpenter
Rod Hardy
Frank Tuttle
John Landis
Francesco Rosi
George Sidney
Richard Lester
George Pal
Ken Russell
Dennis Donnelly
Sergio Martino
Orson Welles
Jeff Kanew
Victor Fleming
Byron Haskin
Orson Welles
Roger Corman
Henry King
Ivan Reitman
Ted Kotcheff
Andrew V. McLaglen
Preston Sturges
John Huston
Martha Coolidge
Piers Haggard
Brian Gilbert
John Huston
Wolf Rilla
Phil Karlson
Walter Hill
Dick Clement
Neil Jordan
John Hughes
Fred Walton
Michael Curtiz
Daniel Mann
Anthony Mann
Peter Weir
George Cukor
George Cukor
Alfred Hitchcock
William Wyler
Michael Cimino
Clarence Brown
Melville Shavelson
Kathryn Bigelow
John Boorman
William Friedkin
Jim Jarmusch
Hugh Hudson
Kenneth Branagh
Henry Hathaway
Clarence Brown
Herbert Ross
Walter Lang
Warren Beatty
Victor Fleming
Lewis Teague
Herbert Ross
Kevin Lima
King Vidor
Peter Hyams
Victor Fleming
Michael Cimino
Jerry Zucker
Michael Caton-Jones
F.W. Murnau
Joseph H. Lewis
Wolfgang Reitherman
Robert Altman
George Marshall
Barry Levinson
Clint Eastwood
Richard Pearce
Anatole Litvak
Robert Stevenson
Stuart Gordon
Martin Scorsese
Martin Scorsese
Randal Kleiser
Leos Carax
George Fitzmaurice
Woody Allen
Ken Loach
Shirley Clarke
Tony Richardson
Anatole Litvak
Penny Marshall
Henri-Georges Clouzot
Herbert Ross
Blake Edwards
