movie_title_1,movie_title_2,movie_info_1,movie_info_2
Please Give,Your Highness,"Kate (Catherine Keener) and her husband Alex (Oliver Platt) are wealthy New Yorkers who prowl estate sales and make a tidy profit reselling items they bought cheaply. They buy the apartment next door and plan to remodel just as soon as its current occupant, a cranky old woman, dies. Kate is troubled by the way she and her husband earn a living, and tries to assuage her guilt by befriending her tenant and the woman's granddaughters, but her overtures lead to unexpected consequences.","Prince Thadeous (Danny McBride) has always lived his life in the shadow of his brother, the heir apparent, Prince Fabious (James Franco). Tired of always being passed over, Thadeous is now content to slack off, drink mead and enjoy the company of a maiden or two, while Fabious has fabulous adventures. But when an evil wizard kidnaps Fabious' fiancee (Zooey Deschanel), Thadeous has no choice but to find his inner hero and join his brother's quest to save her."
The Lost City,You Can Count On Me,"Fico Fellove (Andy Garcia), an apolitical Havana club owner, gets caught in the middle when Fidel Castro's Communist Revolution sweeps through Cuba. He tries to keep the strife outside the walls of his popular establishment, but his family becomes divided when his brothers (Nestor Carbonell, Enrique Murciano) join the fight against Batista.",Sammy is a single mother who is extremely protective of her 8-year old son. She is satisfied with living in the small town she grew up in and working in a local bank. When her brother Terry visits he fits the void in the life of both her and her son. Temporarily free of the constraints of single motherhood she begins to break free of her normal routine. In a string of traumatic events Sammy is torn between helping her brother and her maternal instinct to protect her son from getting hurt.
The Lost City,You Will Be My Son,"Fico Fellove (Andy Garcia), an apolitical Havana club owner, gets caught in the middle when Fidel Castro's Communist Revolution sweeps through Cuba. He tries to keep the strife outside the walls of his popular establishment, but his family becomes divided when his brothers (Nestor Carbonell, Enrique Murciano) join the fight against Batista.",A French winemaker's (Niels Arestrup) contentious relationship with his son (Lorànt Deutsch) comes to a head when he asks the young man's childhood friend to become a partner in the winery.
The Lost City,You're Not You,"Fico Fellove (Andy Garcia), an apolitical Havana club owner, gets caught in the middle when Fidel Castro's Communist Revolution sweeps through Cuba. He tries to keep the strife outside the walls of his popular establishment, but his family becomes divided when his brothers (Nestor Carbonell, Enrique Murciano) join the fight against Batista.",A life-changing bond develops between a woman (Hilary Swank) with ALS whose marriage is on the rocks and the brash collegian (Emmy Rossum) hired to be her assistant.
The Lost City,Zandalee,"Fico Fellove (Andy Garcia), an apolitical Havana club owner, gets caught in the middle when Fidel Castro's Communist Revolution sweeps through Cuba. He tries to keep the strife outside the walls of his popular establishment, but his family becomes divided when his brothers (Nestor Carbonell, Enrique Murciano) join the fight against Batista.",An artist (Nicolas Cage) drifts to New Orleans and explores the theme of lust with his poet buddy's (Judge Reinhold) wife (Erika Anderson).
The Lost City,Zero Dark Thirty,"Fico Fellove (Andy Garcia), an apolitical Havana club owner, gets caught in the middle when Fidel Castro's Communist Revolution sweeps through Cuba. He tries to keep the strife outside the walls of his popular establishment, but his family becomes divided when his brothers (Nestor Carbonell, Enrique Murciano) join the fight against Batista.","Following the terrorist attacks of Sept. 11, 2001, Osama bin Laden becomes one of the most-wanted men on the planet. The worldwide manhunt for the terrorist leader occupies the resources and attention of two U.S. presidential administrations. Ultimately, it is the work of a dedicated female operative (Jessica Chastain) that proves instrumental in finally locating bin Laden. In May 2011, Navy SEALs launch a nighttime strike, killing bin Laden in his compound in Abbottabad, Pakistan."
Bandwagon,Your Highness,"When Tony (Lee Holmes) loses his job, he decides to focus on singing and writing songs. He then starts a band with his friends: Wynn (Kevin Corrigan) plays guitar, Eric (Steve Parlavecchio) is on bass and Charlie (Matthew Hennessey) mans the drums. Though an encounter with a loan shark almost ends the group's career before it starts, they soon team up with manager Chester (Doug MacMillan) and hit the road, where they learn that the rock 'n' roll lifestyle isn't everything it's cracked up to be.","Prince Thadeous (Danny McBride) has always lived his life in the shadow of his brother, the heir apparent, Prince Fabious (James Franco). Tired of always being passed over, Thadeous is now content to slack off, drink mead and enjoy the company of a maiden or two, while Fabious has fabulous adventures. But when an evil wizard kidnaps Fabious' fiancee (Zooey Deschanel), Thadeous has no choice but to find his inner hero and join his brother's quest to save her."
A Tale of Two Pizzas,You Again,"The offspring of rival pizzeria owners (Vincent Pastore, Frank Vincent) fall in love as their fathers battle over who makes the best pie.","High school was hell for Marni (Kristen Bell), so she is horrified to learn that her brother's fiancee is Joanna, the nemesis of her teen years. Marni intends to expose Joanna's evil side to her family, but the situation really explodes with the arrival of Joanna's Aunt Ramona (Sigourney Weaver), who was the high-school rival of Marni's mother (Jamie Lee Curtis). When both older women revert to their teenage personas, the result is extreme wedding turmoil."
A Tale of Two Pizzas,Young Einstein,"The offspring of rival pizzeria owners (Vincent Pastore, Frank Vincent) fall in love as their fathers battle over who makes the best pie.","Growing up on an apple farm in Tasmania, youthful Albert Einstein (Yahoo Serious) makes various scientific discoveries and winds up in plenty of unusual circumstances, even rescuing kittens from being cooked in a pie. The goofy, shock-haired Albert also develops the theory of relativity and subsequently promotes his revelation in Sydney, where he falls for the lovely Marie Curie (Odile Le Clezio) and somehow manages to invent rock 'n' roll along the way."
Going the Distance,Your Highness,"Nick (Christopher Jacot) is a successful young man whose comfortable West Coast life couldn't be better. However, when his girlfriend falls under the influence of lecherous music producer Lenny Swackhammer (Jason Priestley), Nick impulsively decides to travel to Toronto to intervene. Nick's buddies Tyler (Shawn Roberts) and Dime (Ryan Belleville) opt to turn the quest into a cross-country road trip that's complete with wacky antics and encounters with beautiful women.","Prince Thadeous (Danny McBride) has always lived his life in the shadow of his brother, the heir apparent, Prince Fabious (James Franco). Tired of always being passed over, Thadeous is now content to slack off, drink mead and enjoy the company of a maiden or two, while Fabious has fabulous adventures. But when an evil wizard kidnaps Fabious' fiancee (Zooey Deschanel), Thadeous has no choice but to find his inner hero and join his brother's quest to save her."
Malevolence,Zombie (Zombi 2),"Bank robbers (Brandon Johnson, Heather Magee) take two hostages to a rural farmhouse where a serial killer lurks.",A New York reporter (Ian McCulloch) follows a woman (Tisa Farrow) to an island where a doctor (Richard Johnson) faces an epidemic of the undead.
When Do We Eat?,Your Highness,"Members of the Stuckman family gather for Seder with patriarch Ira (Michael Lerner), an old-fashioned man who pushes his sons as hard as his own father (Jack Klugman) pushed him. Chaos erupts when one of Ira's sons slips him a hit of Ecstasy, turning him into a modern Moses.","Prince Thadeous (Danny McBride) has always lived his life in the shadow of his brother, the heir apparent, Prince Fabious (James Franco). Tired of always being passed over, Thadeous is now content to slack off, drink mead and enjoy the company of a maiden or two, while Fabious has fabulous adventures. But when an evil wizard kidnaps Fabious' fiancee (Zooey Deschanel), Thadeous has no choice but to find his inner hero and join his brother's quest to save her."
