rotten_tomatoes_link,movie_title_2,movie_info_2
m/you_again,You Again,"High school was hell for Marni (Kristen Bell), so she is horrified to learn that her brother's fiancee is Joanna, the nemesis of her teen years. Marni intends to expose Joanna's evil side to her family, but the situation really explodes with the arrival of Joanna's Aunt Ramona (Sigourney Weaver), who was the high-school rival of Marni's mother (Jamie Lee Curtis). When both older women revert to their teenage personas, the result is extreme wedding turmoil."
m/you_can_count_on_me,You Can Count On Me,Sammy is a single mother who is extremely protective of her 8-year old son. She is satisfied with living in the small town she grew up in and working in a local bank. When her brother Terry visits he fits the void in the life of both her and her son. Temporarily free of the constraints of single motherhood she begins to break free of her normal routine. In a string of traumatic events Sammy is torn between helping her brother and her maternal instinct to protect her son from getting hurt.
m/you_will_be_my_son,You Will Be My Son,A French winemaker's (Niels Arestrup) contentious relationship with his son (Lorànt Deutsch) comes to a head when he asks the young man's childhood friend to become a partner in the winery.
m/young_einstein,Young Einstein,"Growing up on an apple farm in Tasmania, youthful Albert Einstein (Yahoo Serious) makes various scientific discoveries and winds up in plenty of unusual circumstances, even rescuing kittens from being cooked in a pie. The goofy, shock-haired Albert also develops the theory of relativity and subsequently promotes his revelation in Sydney, where he falls for the lovely Marie Curie (Odile Le Clezio) and somehow manages to invent rock 'n' roll along the way."
m/young_victoria,The Young Victoria,"As the only legitimate heir of England's King William, teenage Victoria (Emily Blunt) gets caught up in the political machinations of her own family. Victoria's mother (Miranda Richardson) wants her to sign a regency order, while her Belgian uncle schemes to arrange a marriage between the future monarch and Prince Albert (Rupert Friend), the man who will become the love of her life."
m/your_highness,Your Highness,"Prince Thadeous (Danny McBride) has always lived his life in the shadow of his brother, the heir apparent, Prince Fabious (James Franco). Tired of always being passed over, Thadeous is now content to slack off, drink mead and enjoy the company of a maiden or two, while Fabious has fabulous adventures. But when an evil wizard kidnaps Fabious' fiancee (Zooey Deschanel), Thadeous has no choice but to find his inner hero and join his brother's quest to save her."
m/youre_not_you,You're Not You,A life-changing bond develops between a woman (Hilary Swank) with ALS whose marriage is on the rocks and the brash collegian (Emmy Rossum) hired to be her assistant.
m/zandalee,Zandalee,An artist (Nicolas Cage) drifts to New Orleans and explores the theme of lust with his poet buddy's (Judge Reinhold) wife (Erika Anderson).
m/zero_dark_thirty,Zero Dark Thirty,"Following the terrorist attacks of Sept. 11, 2001, Osama bin Laden becomes one of the most-wanted men on the planet. The worldwide manhunt for the terrorist leader occupies the resources and attention of two U.S. presidential administrations. Ultimately, it is the work of a dedicated female operative (Jessica Chastain) that proves instrumental in finally locating bin Laden. In May 2011, Navy SEALs launch a nighttime strike, killing bin Laden in his compound in Abbottabad, Pakistan."
m/zombi_2_1979,Zombie (Zombi 2),A New York reporter (Ian McCulloch) follows a woman (Tisa Farrow) to an island where a doctor (Richard Johnson) faces an epidemic of the undead.
