rotten_tomatoes_link,movie_title,review_content,title_in_review
m/0814255,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & the Olympians: The Lightning Thief proves to be a satisfying beginning to what is sure to be a promising film franchise.,True
m/0878835,Please Give,"Like Holofcener's previous pictures, Please Give derives its narrative energy less from a series of plotted incidents than from its keenly observed interplay of clashing personality tics and worldviews.",True
m/10,10,"10 (1979) is known for its numerical rating system for beautiful women. It described itself as ""a temptingly tasteful comedy for adults",True
m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea","As fabulous and fantastic as anything he has ever done in cartoons is Walt Disney's 'live action' movie made from Jules Verne's 20,000 Leagues Under the Sea.",True
m/10000_bc,"10,000 B.C.","In an age where ... audiences reward blood-and-thunder films ... at the box office, greenlighting 10,000 B.C. must have seemed logical. I can imagine someone pitching the film ...by saying ""It's like 300 .... + 9,700!""",True
m/1000121-39_steps,The 39 Steps,"For those who love a grand spy mystery, a wild chase, and a harrowing portrait of an innocent man struggling to prove his innocence while the world turns inexplicably against him, The 39 Steps is ideal.",True
m/1000123-310_to_yuma,3:10 to Yuma,The new 3:10 to Yuma will have to be quite a film to stand up to the original.,True
m/1000204-abraham_lincoln,Abraham Lincoln,Abraham Lincoln is a startlingly superlative accomplishment.,True
m/10002114-dark_water,Dark Water,"...while Dark Water isn't a complete wash (no pun intended), watched side-by-side with Ringu, it ultimately comes off as a pale successor.",True
m/1000224-accused,The Accused,The Accused demonstrates that rape victims often are suspects in their own cases.,True
m/10002516-lost_city,The Lost City,"Despite the strong emotional connection many Miamians will feel toward the movie, The Lost City falls far short of the sweep, complexity and passion it strives for.",True
m/10002519-breaking_point,The Breaking Point,"The Breaking Point adapts Hemingway's book and wrings out some genuine notes of solid tragedy, as well as a more nuanced performance from its lead actor.",True
m/1000253-adams_rib,Adam's Rib,"Adam's Rib gives us writers, performers and a director all operating at peak levels of performance; it's a classic comedy.",True
m/10002635-bridge_of_san_luis_rey,The Bridge of San Luis Rey,"Visually sumptuous but dramatically muddled and confusing, The Bridge of San Luis Rey ultimately comes across as a soporific costume drama featuring a gallery of miscast stars.",True
m/10003276-criminal,Criminal,"Produced by Soderbergh, Criminal bears an uncanny resemblance to the master's films.",True
m/10003437-deep_blue,Deep Blue,"...if you want to have a majestically scored, beautiful, often haunting look into an unknown world, and only have 90 minutes to spare, go see ""Deep Blue.""",True
m/1000355-adventures_of_robin_hood,The Adventures of Robin Hood,"The Adventures of Robin Hood (1938) is one of the greatest, most colorful costume dramas, swashbucklers, and romantically-tinged adventure films in film history.",True
m/10003876-man_hunt,Man Hunt,"Man Hunt is a very tightly constructed, endlessly surprising, and expertly played bit of cat-and-mouse.",True
