,rotten_tomatoes_link,movie_title,movie_info,genres,secondary_genre
0,m/0814255,Percy Jackson & the Olympians: The Lightning Thief,"Always trouble-prone, the life of teenager Percy Jackson (Logan Lerman) gets a lot more complicated when he learns he's the son of the Greek god Poseidon. At a training ground for the children of deities, Percy learns to harness his divine powers and prepare for the adventure of a lifetime: he must prevent a feud among the Olympians from erupting into a devastating war on Earth, and rescue his mother from the clutches of Hades, god of the underworld.","Action & Adventure, Comedy, Drama, Science Fiction & Fantasy", Comedy
2,m/10,10,"A successful, middle-aged Hollywood songwriter falls hopelessly in love with the woman of his dreams, and even follows the girl and her new husband to their Mexican honeymoon resort. While his behavior seems sure to land him in trouble, out of the blue fate plays into his hands.","Comedy, Romance", Romance
3,m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),"Following the closing arguments in a murder trial, the 12 members of the jury must deliberate, with a guilty verdict meaning death for the accused, an inner-city teen. As the dozen men try to reach a unanimous decision while sequestered in a room, one juror (Henry Fonda) casts considerable doubt on elements of the case. Personal issues soon rise to the surface, and conflict threatens to derail the delicate process that will decide one boy's fate.","Classics, Drama", Drama
4,m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea","In 1866, Professor Pierre M. Aronnax (Paul Lukas) and his assistant Conseil (Peter Lorre), stranded in San Francisco by reports of a giant sea monster attacking ships in the Pacific Ocean, are invited to join an expedition to search for the creature. During the search, they and harpooner Ned Land (Kirk Douglas) are thrown overboard during an attack, eventually discovering that the supposed monster is actually a submarine piloted by the brilliant but haunted Captain Nemo (James Mason).","Action & Adventure, Drama, Kids & Family", Drama
5,m/10000_bc,"10,000 B.C.","Mammoth hunter D'Leh (Steven Strait) has long been in love with a beautiful, blue-eyed tribeswoman named Evolet (Camilla Belle). After horseback-riding raiders kidnap most of his D'Leh's fellow tribesmen as well as Evolet, he sets out on a dangerous trek to rescue her from her captors.","Action & Adventure, Classics, Drama", Classics
6,m/1000121-39_steps,The 39 Steps,"While on vacation in London, Canadian Richard Hannay (Robert Donat) becomes embroiled in an international spy ring related to the mysterious ""39 steps."" Then he meets agent Annabella Smith (Lucie Mannheim), who is soon killed in his apartment. He must elude the police, who are hunting him for murder, while he tries to stop Professor Jordan (Godfrey Tearle) from sending secrets out of the country. Hannay is assisted by Pamela (Madeleine Carroll), an unwilling accomplice who discovers the truth.","Action & Adventure, Classics, Mystery & Suspense", Classics
7,m/1000123-310_to_yuma,3:10 to Yuma,"Dan Evans (Van Heflin), a drought-plagued Arizona rancher, volunteers to take captured stagecoach robber and murderer Ben Wade (Glenn Ford) from Bisbee to Contention City, where the criminal will be put aboard the 3:10 train to Yuma for his trial. Accompanied only by the town drunk, Alex Potter (Henry Jones), Dan battles Wade's henchman (Richard Jaeckel), the murder victim's revenge-minded brother, and the temptation of the large bribe Wade offers in exchange for his freedom.","Classics, Drama, Western", Drama
8,m/10002008-charly,Charly (A Heartbeat Away),"Cultural differences, past loves and personal crises threaten the emerging romance between a free spirit (Heather Beers) and her conventional beau (Jeremy Elliott).","Comedy, Drama, Romance", Drama
9,m/1000204-abraham_lincoln,Abraham Lincoln,"The 16th U.S. president (Walter Huston) is portrayed as a lawyer, orator, husband and Civil War commander.","Classics, Drama", Drama
10,m/10002114-dark_water,Dark Water,"In this moody Japanese horror film, newly-single mom Yoshimi Matsubara (Hitomi Kuroki) is enduring a bitter divorce and struggling to keep custody of her young daughter, Ikuko (Rio Kanno). As the unstable Yoshimi tries to make a fresh start in a new apartment, strange occurrences in the building gradually begin to take their toll. When Yoshimi and Ikuko both start seeing unsettling visions of a ghostly little girl, it's clear that they're being drawn toward the supernatural.","Art House & International, Horror, Mystery & Suspense", Horror
11,m/1000224-accused,The Accused,"Out drinking one night after a fight with her boyfriend, Sarah Tobias (Jodie Foster) is brutally raped by three men in a bar while people watch and cheer. District Attorney Kathryn Murphy (Kelly McGillis) takes the case, however allows the rapists to receive a mild sentence. A distraught Sarah decides to seek punishment for the men who witnessed and encouraged the rape. To get justice, Sarah must take the stand and revisit the night of her attack in this drama based on true events.","Drama, Mystery & Suspense", Mystery & Suspense
