Player Name,Assists,Points,Total rebounds,Steals,Game ID,Defensive rebounds,3-pointers attempted,3-pointers made,Field goals attempted,Field goals made,Free throws attempted,Free throws made,Minutes played,Personal fouls,Turnovers,Blocks,Offensive rebounds,Field goal percentage,Free throw percentage,3-pointer percentage
Nikola Vucevic,,21.0,15.0,,0,,,,,,,,,,,,,,,
Al Horford,4.0,17.0,13.0,2.0,0,,,,,,,,,,,,,,,
Jeff Teague,7.0,17.0,,2.0,0,,,,,,,,,,,,,,,
Giannis Antetokounmpo,,16.0,12.0,,1,,1.0,1.0,9.0,6.0,6.0,3.0,,,,,,,,
Zaza Pachulia,,16.0,14.0,,1,,,,12.0,6.0,4.0,4.0,,,,,,,,
Brandon Knight,5.0,17.0,,,1,,3.0,1.0,14.0,6.0,,,,,3.0,,,,,
Kendall Marshall,,15.0,,,1,,,,8.0,6.0,3.0,3.0,,,,,,,,
JR Smith,,15.0,7.0,,1,,,,,,,,37.0,2.0,2.0,,,,,
Cole Aldrich,,12.0,7.0,,1,,,,10.0,6.0,,,,,,,,,,
Tim Hardaway Jr.,4.0,17.0,3.0,,1,3.0,5.0,3.0,13.0,6.0,4.0,,,3.0,,,,,,
Jason Smith,,10.0,,,1,,,,11.0,3.0,4.0,4.0,,,,,,,,
Marc Gasol,6.0,18.0,5.0,,2,,,,,,,,,,,,,,,
Courtney Lee,,22.0,,,2,,5.0,4.0,14.0,9.0,,,,,,,,,,
Mike Conley,11.0,24.0,,,2,,4.0,3.0,14.0,9.0,,,,,,,,,,
Markieff Morris,,20.0,5.0,,2,,,,,,,,,,,,,,,
Goran Dragic,,6.0,,,2,,,,,,,,26.0,,,,,,,
Eric Bledsoe,4.0,23.0,5.0,,2,,,,12.0,9.0,,,,,,,,,,
Isaiah Thomas,2.0,15.0,,,2,,,,,,,,,,,,,,,
Greg Monroe,4.0,21.0,16.0,,3,,,,17.0,9.0,5.0,3.0,,5.0,,,,,,
Andre Drummond,,14.0,8.0,,3,,,,11.0,7.0,1.0,0.0,,,,,,,,
Kentavious Caldwell-Pope,,16.0,3.0,2.0,3,,9.0,3.0,17.0,6.0,2.0,1.0,,,,,,,,
D.J. Augustin,8.0,35.0,,,3,,9.0,5.0,20.0,12.0,,,,,,,,,,
DeMar DeRozan,4.0,25.0,6.0,,3,6.0,2.0,1.0,14.0,8.0,10.0,8.0,,,,,,,,
Amir Johnson,,17.0,2.0,,3,,,,9.0,7.0,4.0,3.0,28.0,,,,,,,
Greivis Vasquez,,13.0,,,3,,,,,,,,,,,,,,,
Lou Williams,,12.0,,,3,,,,,,,,,,,,,,,
Tobias Harris,,15.0,,,4,,,,,,,,,,,,,,,
Marcus Morris,2.0,20.0,8.0,,4,,,,,,,,,,,,,,,
Andre Drummond,,15.0,,,4,,,,,,,,,,,,,,,
Reggie Jackson,8.0,22.0,2.0,2.0,4,,,,,,,,,,,,,,,
Jabari Parker,3.0,13.0,5.0,,4,,,,,,,,,,,,,,,
Miles Plumlee,,10.0,6.0,1.0,4,,,,,,,,,,,2.0,,,,
Khris Middleton,2.0,26.0,7.0,1.0,4,,,,,,,,,,,1.0,,,,
Greg Monroe,3.0,10.0,7.0,1.0,4,,,,,,,,,,,1.0,,,,
LeBron James,4.0,22.0,4.0,,5,,,,,,,,,,,,,,,
Kevin Love,,13.0,13.0,,5,,,,,,,,,,,,,,,
Kyrie Irving,,20.0,,,5,,,,,,,,,,,,,,,
Jabari Parker,1.0,18.0,,,5,,,1.0,,,,,,1.0,,,1.0,,,
