"Game ID","name","Points","Assists","Steals","Total rebounds","Blocks"
"0","al horford","17","four","two","13","null"
"0","jeff teague","17","seven","two","null","null"
"0","nikola vucevic","null","null","two","15","null"
"1","brandon knight","17","five","null","null","null"
"1","cole aldrich","12","null","null","seven","null"
"1","giannis antetokounmpo","16","null","null","12","null"
"1","j. r. smith","15","null","null","seven","null"
"1","jason smith","10","null","null","seven","null"
"1","tim hardaway","17","four","null","null","null"
"1","zaza pachulia","16","null","null","14","null"
"2","courtney lee","22","null","null","null","null"
"2","eric bledsoe","23","four","null","five","null"
"2","goran drag","six","null","null","five","null"
"2","isaiah thomas","15","two","null","null","null"
"2","marc gasol","18","six","null","five","null"
"2","markieff morris","20","two","null","five","null"
"2","mike conley","null","11","null","null","null"
"3","amir johnson","17","null","null","two","null"
"3","andre drummond","14","null","null","eight","null"
"3","d. j. augustin","35","eight","null","null","null"
"3","demar derozan","25","four","null","six","null"
"3","gr","35","null","null","null","null"
"3","kentavious caldwell - pope","16","null","two","three","null"
"3","monroe","21","null","null","16","null"
"3","valnciunas","20","null","null","11","three"
"4","andre drummond","15","four","null","null","a"
"4","jabari parker","13","three","null","five","a"
"4","khris middleton","26","two","a","seven","a"
"4","marcus morris","20","two","null","eight","a"
"4","miles plumlee","10","three","a","six","a"
"4","monroe","10","three","a","seven","a"
"4","reggie jackson","22","eight","two","two","a"
"4","tobias harris","15","two","null","17","a"
"5","giannis antetokounmpo","34","five","five","12","two"
"5","kevin love","13","null","null","13","null"
"5","kyrie irving","20","four","null","null","null"
"5","lebron","22","four","null","four","null"
"5","michael beasley","17","null","null","null","null"
"7","durant","23","seven","null","null","null"
"7","giannis antetokounmpo","17","null","null","seven","null"
"7","o. j. mayo","18","null","null","null","null"
"7","reggie jackson","18","null","null","seven","null"
"7","russell westbrook","28","seven","null","null","null"
"8","17","null","null","null","null","null"
"8","carmelo anthony","45","null","null","null","null"
"8","courtney lee","17","null","null","nine","null"
"8","dennis schroder","23","null","null","null","null"
"8","dunleavy","12","null","null","null","null"
"8","dwight howard","19","null","null","null","null"
"8","joakim noah","null","null","null","26","null"
"8","kent bazemore","24","null","null","null","null"
"8","kristaps porzingis","15","null","null","null","null"
"8","kyle","null","null","null","null","null"
"8","mindau","null","null","null","null","null"
"8","paul millsap","37","null","null","19","null"
"8","tim hardaway","19","null","null","13","null"
"9","griffin","31","null","three","null","null"
"9","thompson","null","null","null","seven","null"
"10","carmelo anthony","26","four","null","null","a"
"10","jordan","12","two","three","three","null"
"10","jose calderon","null","null","null","null","null"
"10","porzing","eight","null","null","null","a"
"10","robin lopez","16","two","null","eight","two"
"10","williams","15","five","a","a","a"
"11","dellavedova","two","null","null","null","null"
"11","demarre carroll","13","null","null","null","null"
"11","giannis antetokounmpo","27","null","null","null","null"
"11","henson","seven","null","null","null","null"
"11","kyle lowry","18","null","null","null","null"
"11","terrence ross","null","null","null","null","null"
"11","valanciunas","11","null","null","13","null"
"12","andrew wiggins","six","an","two","three","null"
"12","courtney lee","14","null","null","null","null"
"12","marc gasol","32","three","two","nine","two"
"12","mike conley","16","six","a","one","null"
"12","mo williams","18","four","a","null","null"
"12","thaddeus young","26","four","two","four","null"
"12","zach randolph","25","an","null","13","a"
"13","bogdon","22","null","null","null","null"
"13","bogdonavic","22","null","null","null","null"
"13","bradley beal","24","null","null","null","null"
"13","brook lopez","26","null","null","10","null"
"13","deron williams","nine","nine","null","seven","null"
"13","jarrett jack","14","nine","null","null","null"
"13","john wall","null","10","null","seven","null"
"13","marcin gortat","21","null","null","16","null"
"13","ramon sessions","null","10","null","seven","null"
"13","thaddeus young","null","null","null","seven","null"
"14","d ’ angelo russell","22","null","null","null","null"
"14","gortat","16","null","null","10","null"
"14","john wall","22","13","null","five","null"
"14","kobe bryant","17","two","null","one","null"
"14","marc","null","null","null","10","null"
"15","butler","8","null","two","3","null"
"15","kevin love","19","null","null","three","null"
"15","kevin seraphin","14","six","null","12","three"
"15","martell webster","20","null","null","three","null"
"15","matthew dellavedova","18","12","two","null","null"
"15","ramon sessions","14","six","null","null","three"
"15","shump","18","null","two","six","null"
"15","tristan thompson","12","null","null","eight","null"
"16","jordan clarkson","null","null","null","null","null"
"16","kobe bryant","31","null","null","null","null"
"16","lou williams","36","null","null","null","null"
"16","will barton","25","null","null","null","null"
"17","evan turner","24","null","null","null","null"
"17","wesley matthews","27","null","null","six","null"
"17","yogi ferrell","32","null","null","null","null"
"18","chalmers","12","null","null","null","null"
"18","chris bosh","18","four","a","11","null"
"18","demar derozan","30","one","four","three","null"
"18","dwyane wade","19","seven","null","11","two"
"18","greivis va","12","two","a","two","null"
"18","jonas valanciunas","14","null","null","eight","null"
"18","kyle lowry","22","three","null","two","null"
"18","luol deng","18","three","a","four","a"
"18","shawne williams","16","null","null","null","null"
"18","vasquez","12","two","a","two","null"
"19","chris paul","20","20","three","null","null"
"19","crawford","22","null","null","null","null"
"19","marreese speights","17","null","null","null","null"
"20","aaron gordon","11","null","null","null","null"
"20","c. j. miles","16","null","null","null","null"
"20","elfrid payton","12","null","null","12","null"
"20","evan","14","null","null","null","null"
"20","fournier","14","null","null","null","null"
"20","jeff teague","11","null","null","null","null"
"20","monta ellis","13","null","null","null","null"
"20","nikola vucevic","null","null","null","12","null"
"20","paul george","13","null","null","null","null"
"20","thaddeus young","11","null","null","null","null"
"21","deron williams","10","null","null","null","null"
"21","dirk nowitzki","14","three","a","10","a"
"21","jamychal green","13","null","null","null","null"
"21","marc gasol","21","six","null","10","null"
"21","mario chalmers","14","null","null","null","null"
"21","matt barnes","14","three","pair","seven","null"
"21","mike conley","21","six","null","four","null"
"21","raymond felton","16","null","null","null","null"
"21","wesley matthews","11","null","null","null","null"
"21","zaza pachulia","null","null","null","10","null"
"22","dirk nowitz","seven","null","null","null","null"
"22","harden","123","11","null","null","null"
"22","harrison barnes","21","null","null","null","null"
"22","ryan anderson","22","null","null","null","null"
"23",". hickson","16","null","null","11","null"
"23","andrew wiggins","20","null","null","seven","null"
"23","arron afflalo","34","null","null","null","null"
"23","gorgui dieng","22","null","null","12","null"
"23","j.","16","null","null","11","null"
"23","jusuf nurkic","14","null","null","null","null"
"23","kenneth faried","15","12","null","seven","null"
"23","nate robinson","12","six","null","null","null"
"23","shabazz muhammad","19","null","null","null","null"
"23","ty lawson","eight","12","null","null","null"
"24","anthony davis","20","six","one","12","three"
"24","jerryd bayless","14","five","null","eight","null"
"24","quincy pondexter","18","null","null","null","null"
"24","tyreke evans","null","six","one","10","null"
"25","anthony davis","26","null","null","three","null"
"25","blake griffin","30","null","null","null","null"
"25","chris paul","18","16","null","null","null"
"25","gal mekel","null","six","null","null","null"
"26","allen","null","null","null","null","null"
"26","beal","22","an","null","five","null"
"26","dejuan blair","12","three","null","null","null"
"26","garrett temple","22","five","null","six","null"
"26","gary neal","null","three","null","null","null"
"26","george hill","19","an","a","eight","a"
"26","john wall","28","two","a","seven","null"
"26","monta ellis","17","three","a","three","a"
"26","nene hilario","null","null","a","null","null"
"26","paul george","21","seven","three","five","a"
"26","ramon sessions","10","five","two","three","null"
"27","gordon hayward","18","two","two","six","five"
"27","lance stephenson","16","null","null","five","null"
"27","mario chalmers","11","five","null","six","null"
"27","mike conley","13","four","null","null","null"
"27","rudy gobert","18","null","null","18","five"
"27","shelvin mack","12","eight","two","five","null"
"27","zach randolph","25","null","null","five","null"
"28","bradley beal","16","five","null","null","null"
"28","c. j. mccollum","16","five","null","two","null"
"28","damian lillard","16","five","null","two","null"
"28","garrett temple","16","five","null","null","null"
"28","good","16","null","null","null","null"
"28","marcin gortat","16","five","null","13","two"
"28","mason plumlee","16","five","null","11","null"
"29","oklahoma","null","12","null","null","null"
"29","russell westbrook","38","12","null","14","null"
"29","victor oladipo","21","null","null","null","null"
"30","ben mclemore","15","null","null","null","null"
"30","cousins","27","two","null","10","two"
"30","darren collison","11","five","null","null","null"
"30","enes kanter","17","null","null","13","null"
"30","ramon sessions","11","five","null","four","null"
"30","reggie evans","null","five","null","11","null"
"30","rudy gay","four","two","null","null","two"
"31","cody zeller","14","an","null","six","a"
"31","frank kaminsky","17","null","null","seven","a"
"31","gordon hayward","36","nine","null","five","a"
"31","kemba walker","52","eight","null","nine","null"
"31","marvin williams","19","an","a","seven","null"
"31","nicolas batum","10","four","a","nine","null"
"31","rudy gobert","14","three","null","14","two"
"31","trevor booker","12","an","a","eight","a"
"32","14","25","null","null","null","pair"
"32","draymond green","22","seven","null","15","pair"
"32","j.","14","two","null","null","pair"
"32","k","25","null","null","null","pair"
"32","kevin love","10","null","null","18","pair"
"32","kyrie","13","two","a","three","pair"
"32","le","25","two","a","nine","pair"
"32","matthew delladedova","10","null","null","null","pair"
"32","smith","14","null","null","null","null"
"32","thompson","18","an","null","six","a"
"33","jeff green","18","null","null","null","null"
"33","jerami grant","10","six","null","three","null"
"33","larry drew ii","nine","four","null","null","null"
"33","vince carter","13","null","null","null","null"
"33","zach randolph","17","four","null","14","null"
"34","aldridge","five","null","null","null","null"
"34","dwight powell","10","null","null","null","null"
"34","harrison barnes","17","null","null","null","null"
"34","kawhi leonard","21","null","null","null","null"
"34","leonard","21","null","null","null","null"
"34","manu ginobili","null","null","null","null","null"
"34","patty mills","23","null","null","null","null"
"34","pau gasol","null","null","null","null","null"
"34","seth curry","null","null","null","null","null"
"34","wesley mathews","26","null","null","null","null"
"35","chris bosh","null","null","null","11","null"
"35","donatas motiejunas","null","null","null","null","null"
"35","dwight howard","25","null","null","11","null"
"35","dwyane wade","19","null","null","null","null"
"35","harden","25","10","null","nine","null"
"35","mario chalmers","12","null","null","null","null"
