,Game ID,player_name,points,assists,rebounds,steals,blocks
0,0,Al Horford,17,4,13,2,-1
1,0,Kyle Korver,9,4,13,2,-1
2,0,Jeff Teague,17,7,-1,2,-1
3,0,Nikola Vucevic,21,0,15,0,0
4,0,Aaron Gordon,17,4,13,2,-1
5,0,Evan Fournier,17,4,13,2,-1
6,1,Brandon Knight,17,5,14,-1,-1
7,1,Zaza Pachulia,16,4,14,-1,-1
8,1,Giannis Antetokounmpo,16,12,12,-1,-1
9,1,Kendall Marshall,15,3,-1,-1,-1
10,1,Tim Hardaway Jr,17,4,-1,-1,-1
11,1,J.R. Smith,15,4,7,-1,-1
12,1,Cole Aldrich,-1,-1,7,-1,-1
13,1,Jason Smith,-1,-1,-1,-1,-1
14,2,Courtney Lee,22,-1,-1,-1,-1
15,2,Mike Conley,24,11,5,-1,-1
16,2,Marc Gasol,18,6,5,-1,-1
17,2,Eric Bledsoe,-1,4,5,-1,-1
18,2,Goran Dragic,-1,-1,-1,-1,-1
19,2,Isaiah Thomas,15,2,-1,-1,-1
20,2,Markieff Morris,20,5,-1,-1,-1
21,3,DeMar DeRozan,25,4,6,-1,-1
22,3,Jonas Valanciunas,20,4,11,3,3
23,3,Amir Johnson,25,4,11,0,3
24,3,Greivis Vasquez,13,-1,-1,-1,-1
25,3,Louis Williams,12,-1,-1,-1,-1
26,3,D.J. Augustin,35,8,0,0,0
27,3,Greg Monroe,21,8,16,-1,-1
28,3,Andre Drummond,-1,8,8,-1,-1
29,3,Kentavious Caldwell-Pope,16,2,-1,2,-1
30,4,Reggie Jackson,22,8,2,2,-1
31,4,Andre Drummond,15,2,17,4,2
32,4,Marcus Morris,20,2,8,1,0
33,4,Tobias Harris,15,4,4,1,0
34,4,Khris Middleton,-1,-1,-1,-1,-1
35,4,Jabari Parker,-1,-1,-1,1,1
36,4,Miles Plumlee,-1,-1,10,1,2
37,4,Greg Monroe,-1,-1,-1,-1,-1
38,5,Giannis Antetokounmpo,34,,12,,
39,5,Jabari Parker,18,0,0,0,0
40,5,Michael Beasley,17,-1,-1,-1,-1
41,5,LeBron James,22,4,4,-1,-1
42,5,Kyrie Irving,20,4,13,-1,-1
43,5,Kevin Love,13,4,13,-1,-1
44,6,LeBron James,46,-1,-1,-1,-1
45,6,Kyrie Irving,-1,-1,-1,-1,-1
46,6,Kevin Love,-1,-1,-1,-1,-1
47,6,Kelly Olynyk,-1,-1,-1,-1,-1
48,6,Kendrick Perkins,-1,-1,-1,-1,-1
49,6,Jae Crowder,-1,-1,-1,1,1
50,6,J.R. Smith,-1,-1,-1,-1,-1
51,7,Kevin Durant,28,7,9,-1,-1
52,7,Russell Westbrook,28,7,9,-1,-1
53,7,Serge Ibaka,15,0,9,0,0
54,7,Reggie Jackson,18,7,7,-1,-1
55,7,O.J. Mayo,18,-1,7,-1,-1
56,7,Giannis Antetokounmpo,17,7,7,-1,-1
57,7,Jabari Parker,15,7,7,-1,-1
58,7,Jarryd Bayless,11,7,9,-1,-1
59,8,Carmelo Anthony,45,0,0,-1,-1
60,8,Brandon Jennings,-1,11,-1,-1,-1
61,8,Courtney Lee,17,-1,9,-1,-1
62,8,Kristaps Porzingis,15,-1,9,-1,-1
63,8,Justin Holiday,-1,-1,9,-1,-1
64,8,Mindaugas Kuzminskas,13,-1,-1,-1,-1
65,8,Kyle O'Quinn,-1,-1,26,-1,-1
66,8,Joakim Noah,-1,-1,26,-1,-1
67,8,Paul Millsap,37,19,19,-1,-1
68,8,Kent Bazemore,-1,-1,-1,-1,-1
69,8,Dennis Schroder,-1,15,-1,-1,-1
70,8,Dwight Howard,-1,-1,13,-1,-1
71,8,Tim Hardaway,-1,-1,13,-1,-1
72,8,Mike Dunleavy,-1,-1,-1,-1,-1
73,9,Steph Curry,29,11,-1,-1,-1
74,9,Kevin Durant,26,10,8,-1,-1
75,9,Klay Thompson,21,7,7,-1,-1
76,9,Blake Griffin,-1,-1,-1,3,-1
77,9,Jamal Crawford,21,-1,-1,3,-1
78,9,Draymond Green,29,11,8,-1,-1
79,9,Chris Paul,29,11,8,-1,-1
