,Game ID,team_name,wins,losses,total_points
0,0,Atlanta Hawks,46,19,95
1,0,Orlando Magic,-1,41,-1
2,0,Miami Heat,46,12,95
3,0,Charlotte Hornets,3,-1,-1
4,0,Toronto Raptors,46,12,95
5,0,Charlotte Hornets,3,-1,-1
6,0,Atlanta Hawks,46,19,95
7,0,Orlando Magic,-1,41,-1
8,0,Miami Heat,46,19,95
9,0,Charlotte Hornets,3,-1,-1
10,0,Atlanta Hawks,46,19,95
11,0,Miami Heat,46,12,95
12,0,Toronto Raptors,46,12,95
13,1,Milwaukee Bucks,18,5,95
14,1,New York Knicks,-31,5,82
15,2,"Grizzlies,Suns",50,3,102
16,3,Toronto Raptors,29,17,114
17,3,Detroit Pistons,17,28,-1
18,4,Detroit Pistons,30,29,102
19,4,Milwaukee Bucks,-1,-1,-1
20,5,Milwaukee Bucks,8,13,-1
21,5,Cleveland Cavaliers,8,13,-1
22,6,Cleveland Cavaliers,40,0,101
23,6,Boston Celtics,0,4,101
24,7,Oklahoma City Thunder,8,13,114
25,7,Milwaukee Bucks,-1,-1,-1
26,8,New York,1,-1,-1
27,8,Atlanta,1,0,45
28,9,Warriors,1,-1,-1
29,9,Clippers,-1,0,-1
30,10,New York Knicks,28,40,90
31,10,Los Angeles Lakers,-1,-1,-1
32,11,"Raptors,Bucks",55,None,None
33,12,Memphis Grizzlies,1,0,105
34,12,Minnesota Timberwolves,-1,-1,-1
35,13,Brooklyn Nets,37,42,117
36,13,Washington Wizards,-1,-1,-1
37,14,Washington Wizards,36,37,101
38,14,Los Angeles Lakers,15,58,101
39,14,Staples Center,36,37,101 - 88
40,14,John Wall,36,37,101
41,14,D'Angelo Russell,36,37,101
42,14,Marcin Gortat,36,37,101
43,14,Kobe Bryant,36,37,101
44,14,Utah Jazz,36,37,101 - 88
45,14,Golden State Warriors,3,-1,-1
46,14,Detroit Pistons,36,37,101
47,15,Cleveland Cavaliers,53,29,113
48,15,Washington Wizards,46,36,-1
49,16,Los Angeles Lakers,5,23,111
50,16,Denver Nuggets,11,17,111
51,17,"Dallas,Portland",20,30,108
52,18,Miami Heat,30,2,107
53,18,Toronto Raptors,-1,-1,-1
54,19,,-1,-1,-1
