"Game ID","team_name","wins","losses","total_points"
"0","Atlanta Hawks","46","19","95"
"0","Orlando Magic","-1","41","-1"
"0","Miami Heat","46","19","95"
"0","Charlotte Hornets","3","-1","-1"
"0","Toronto Raptors","46","12","95"
"0","Charlotte Hornets","3","-1","-1"
"0","Atlanta Hawks","46","19","95"
"0","Orlando Magic","-1","41","-1"
"0","Miami Heat","46","19","95"
"0","Charlotte Hornets","46","12","95"
"0","Toronto Raptors","46","12","95"
"1","Milwaukee Bucks","18","5","95"
"1","New York Knicks","-31","5","82"
"2","Grizzlies,Suns","50","3","102"
"3","Toronto Raptors","29","17","114"
"3","Detroit Pistons","17","28","-1"
"4","Detroit Pistons","30","29","102"
"4","Milwaukee Bucks","-1","-1","-1"
"5","Milwaukee Bucks","8","13","-1"
"5","Cleveland Cavaliers","8","13","-1"
"6","Cleveland Cavaliers","40","0","101"
"6","Boston Celtics","0","4","101"
"7","Oklahoma City Thunder","8","13","114"
"7","Milwaukee Bucks","-1","-1","-1"
"8","New York","1","-1","-1"
"8","Atlanta","1","0","45"
"9","Warriors","1","-1","-1"
"9","Clippers","-1","0","-1"
"10","New York Knicks","28","40","90"
"10","Los Angeles Lakers","-1","-1","-1"
"11","Raptors,Bucks","55","None","None"
"12","Memphis Grizzlies","1","0","105"
"12","Minnesota Timberwolves","-1","-1","-1"
"13","Brooklyn Nets","37","42","117"
"13","Washington Wizards","-1","-1","-1"
"14","Washington Wizards","36","37","101"
"14","Los Angeles Lakers","15","58","101"
"15","Cleveland Cavaliers","53","29","113"
"15","Washington Wizards","46","36","-1"
"16","Los Angeles Lakers","5","23","111"
"16","Denver Nuggets","11","17","111"
"17","Dallas,Portland","20","30","-1"
"18","Miami Heat","30","2","107"
"18","Toronto Raptors","-1","-1","-1"
"19","null","-1","-1","-1"
"20","Magic,Pacers","14","69","32"
"21","Memphis Grizzlies","8","7","110"
"21","Dallas Mavericks","-1","-1","-1"
"22","Rockets","34","-1","123"
"22","Mavericks","-1","-1","-1"
"23","Nuggets","15","28","101"
"23","Timberwolves","-1","28","101"
"24","New Orleans Pelicans","37","30","-1"
"24","Milwaukee Bucks","-1","34","-1"
"25","Los Angeles Clippers","14","8","120"
"25","New Orleans Pelicans","8","10","100"
"26","Washington Wizards","19","19","118"
"26","Indiana Pacers","19","22","118"
"27","Memphis Grizzlies","37","24","94"
"27","Utah Jazz","-1","-1","-1"
"28","Portland Trail Blazers","19","25","108"
"28","Washington Wizards","-1","-1","-1"
"29","Oklahoma City Thunder","32","23","-1"
"29","New York Knicks","32","25","116"
"30","Utah Jazz","18","33","102"
"30","Sacramento Kings","17","32","90"
"31","Charlotte Hornets","19","22","124"
"31","Utah Jazz","-1","-1","-1"
"32","Golden State Warriors","28","1","89"
"32","Cleveland Cavaliers","28","19","89"
"33","Memphis Grizzlies","31","12","101"
"33","Philadelphia 76ers","-36","8","83"
"34","San Antonio Spurs","14","3","-1"
"34","Dallas Mavericks","14","3","-1"
