,Player Name,nationality
2,Joe Johnson,American
5,DeAndre' Bembry,American
6,Okaro White,American
8,Glen Davis,American
9,Raul Neto,Spanish
10,Kevin Martin,American
14,Emmanuel Mudiay,Congolese
15,Erick Green,American
16,E'Twaun Moore,American
18,Sergey Karasev,Russian
19,Evan Turner,American
21,Zoran Dragic,Slovenian
24,Jusuf Nurkic,Bosnian
25,Joel Anthony,Canadian
27,Troy Williams,American
29,Jarell Eddie,American
30,A.J. Price,American
31,Sebastian Telfair,American
32,Francisco Garcia,Spanish
34,Omer Asik,Turkish
36,Denzel Valentine,American
38,DeAndre Liggins,American
39,Hollis Thompson,American
40,Grant Jerrett,American
41,Josh McRoberts,American
43,Jonas Jerebko,Swedish
44,John Henson,American
45,Kendall Marshall,American
49,Marc Gasol,Spanish
50,Chase Budinger,American
51,Cristiano Felicio,Brazilian
55,Martell Webster,American
56,Brandon Jennings,American
59,Malcolm Brogdon,American
60,Perry Jones III,American
63,Ed Davis,American
65,Deyonta Davis,American
66,Shane Larkin,American
67,CJ Watson,American
69,Carl Landry,American
70,Timofey Mozgov,Russian
71,Reggie Williams,American
73,Russ Smith,American
74,J.J. Barea,Puerto Rican
75,Troy Daniels,American
77,Briante Weber,American
78,Danny Granger,American
81,Al-Farouq Aminu,Nigerian
82,Alan Anderson,American
83,Chris Copeland,American
