,Player Name,nationality
2,Joe Johnson,American
5,DeAndre' Bembry,American
6,Okaro White,American
8,Glen Davis,American
9,Raul Neto,Brazilian
10,Kevin Martin,Canadian
14,Emmanuel Mudiay,Congolese
15,Erick Green,American
16,E'Twaun Moore,American
18,Sergey Karasev,Russian
19,Evan Turner,American
21,Zoran Dragic,Slovenian
24,Jusuf Nurkic,Bosnian
25,Joel Anthony,Canadian
27,Troy Williams,American
29,Jarell Eddie,American
30,A.J. Price,American
31,Sebastian Telfair,American
32,Francisco Garcia,Spanish
34,Omer Asik,Turkish
36,Denzel Valentine,American
38,DeAndre Liggins,American
39,Hollis Thompson,American
40,Grant Jerrett,Australian
41,Josh McRoberts,American
43,Jonas Jerebko,Swedish
44,John Henson,American
45,Kendall Marshall,American
49,Marc Gasol,Spanish
50,Chase Budinger,American
51,Cristiano Felicio,Brazilian
55,Martell Webster,American
56,Brandon Jennings,American
59,Malcolm Brogdon,American
60,Perry Jones III,American
63,Ed Davis,American
65,Deyonta Davis,American
66,Shane Larkin,American/Turkish
67,CJ Watson,American
69,Carl Landry,American
70,Timofey Mozgov,Russian
71,Reggie Williams,American
73,Russ Smith,American
74,J.J. Barea,Puerto Rican
75,Troy Daniels,American
77,Briante Weber,American
78,Danny Granger,American
81,Al-Farouq Aminu,American/Nigerian
82,Alan Anderson,American
83,Chris Copeland,American
85,Tarik Black,American
86,Chris McCullough,American
89,Jason Terry,American
91,Pero Antic,Macedonian
92,Jordan McRae,American
93,Jeff Taylor,American
94,Domantas Sabonis,Lithuanian
96,Mindaugas Kuzminskas,Lithuanian
98,Larry Drew II,American
99,Jerian Grant,American
100,Yogi Ferrell,American
101,Tristan Thompson,Canadian
103,Markel Brown,American
105,Malachi Richardson,American
108,Shawn Marion,American
111,Aron Baynes,Australian
112,Larry Sanders,American
113,Allen Crabbe,American
115,Joey Dorsey,American
119,Rashad Vaughn,American
120,Jeff Ayres,American
121,Shawn Long,Canadian
122,Sergio Rodriguez,Spanish
123,Ian Mahinmi,French
126,Anthony Morrow,American
127,Karl-Anthony Towns,American-Dominican
129,Corey Brewer,American
130,Sonny Weems,American
132,Ryan Hollins,American
133,Jason Richardson,American
134,Nikola Jokic,Serbian
138,Kevin Garnett,American
139,Chasson Randle,American
144,Kyrie Irving,Australian-American
146,Tony Parker,French
147,Ian Clark,American
148,Nene,Japanese
149,Ryan Kelly,American
151,Festus Ezeli,Nigerian
153,Evan Fournier,French
154,Channing Frye,American
155,Kenneth Faried,American
156,Dante Exum,Australian
157,Andrew Bogut,Australian
158,Brandan Wright,American
161,Ivica Zubac,Croatian
162,O.J. Mayo,American
163,Brian Roberts,American
164,Caron Butler,American
165,Arron Afflalo,American
