"Player Name","nationality"
"Joe Johnson","American"
"DeAndre' Bembry","American"
"Okaro White","American"
"Glen Davis","American"
"Raul Neto","Spanish"
"Kevin Martin","American"
"Emmanuel Mudiay","Congolese"
"Erick Green","American"
"E'Twaun Moore","American"
"Sergey Karasev","Russian"
"Evan Turner","American"
"Zoran Dragic","Slovenian"
"Jusuf Nurkic","Bosnian"
"Joel Anthony","Canadian"
"Troy Williams","American"
"Jarell Eddie","American"
"A.J. Price","American"
"Sebastian Telfair","American"
"Francisco Garcia","Spanish"
"Omer Asik","Turkish"
"Denzel Valentine","American"
"DeAndre Liggins","American"
"Hollis Thompson","American"
"Grant Jerrett","American"
"Josh McRoberts","American"
"Jonas Jerebko","Swedish"
"John Henson","American"
"Kendall Marshall","American"
"Marc Gasol","Spanish"
"Chase Budinger","American"
"Cristiano Felicio","Brazilian"
"Martell Webster","American"
"Brandon Jennings","American"
"Malcolm Brogdon","American"
"Perry Jones III","American"
"Ed Davis","American"
"Deyonta Davis","American"
"Shane Larkin","American"
"CJ Watson","American"
"Carl Landry","American"
"Timofey Mozgov","Russian"
"Reggie Williams","American"
"Russ Smith","American"
"J.J. Barea","Puerto Rican"
"Troy Daniels","American"
"Briante Weber","American"
"Danny Granger","American"
"Al-Farouq Aminu","Nigerian"
"Alan Anderson","American"
"Chris Copeland","American"
"Tarik Black","American"
"Chris McCullough","American"
"Jason Terry","American"
"Pero Antic","Bosnian"
"Jordan McRae","American"
"Jeff Taylor","American"
"Domantas Sabonis","Lithuanian"
"Mindaugas Kuzminskas","Lithuanian"
"Larry Drew II","American"
"Jerian Grant","American"
"Yogi Ferrell","American
"
"Tristan Thompson","Canadian"
"Markel Brown","American"
"Malachi Richardson","American"
"Shawn Marion","American"
"Aron Baynes","Australian"
"Larry Sanders","American"
"Allen Crabbe","American"
"Joey Dorsey","American"
"Rashad Vaughn","American"
"Jeff Ayres","Brazilian"
"Shawn Long","American"
"Sergio Rodriguez","Spanish"
"Ian Mahinmi","French"
"Anthony Morrow","American"
"Karl-Anthony Towns","American"
"Corey Brewer","American"
"Sonny Weems","American"
"Ryan Hollins","American"
"Jason Richardson","American"
"Nikola Jokic","Serbian"
"Kevin Garnett","American"
"Chasson Randle","American"
"Kyrie Irving","American"
"Tony Parker","French"
"Ian Clark","American"
"Nene","Japanese"
"Ryan Kelly","American"
"Festus Ezeli","Nigerian"
"Evan Fournier","French"
"Channing Frye","American"
"Kenneth Faried","American"
"Dante Exum","Australian"
"Andrew Bogut","Australian"
"Brandan Wright","American"
"Ivica Zubac","Croatian"
"O.J. Mayo","American"
"Brian Roberts","American"
"Caron Butler","American"
"Arron Afflalo","American"
"Pablo Prigioni","Argentinian"
"James Michael McAdoo","American"
"Tyler Ennis","Canadian"
"Pierre Jackson","American"
"Giannis Antetokounmpo","Greek"
"Thon Maker","South Sudanese"
"Elijah Millsap","American"
"Sheldon McClellan","American"
"Jonathon Simmons","American"
"Zaza Pachulia","Georgian"
"Beno Udrih","Slovenian"
"Chandler Parsons","American"
"Will Bynum","American"
"Kostas Papanikolaou","Greek"
"Jeremy Lin","American"
"Marcus Thornton","American"
"Darren Collison","American"
"Manu Ginobili","Argentine"
"Reggie Evans","American"
"T.J. McConnell","American"
"Vince Carter","Canadian"
"Jabari Parker","American"
"Amar'e Stoudemire","American"
"Robbie Hummel","American"
"Tyler Hansbrough","American"
"Matt Bonner","American"
"Archie Goodwin","American"
"Kenyon Martin","American"
"Lou Amundson","American"
"Nemanja Bjelica","Serbian"
"Andre Miller","American"
"KJ McDaniels","American"
"PJ Hairston","American"
"Sasha Vujacic","Slovenian"
"Nick Calathes","Greek"
"Shawne Williams","American"
"Furkan Aldemir","Turkish"
"Cole Aldrich","American"
"Brandon Rush","American"
"Nikola Mirotic","Montenegrin
"
"Ronnie Price","American"
"Willie Cauley-Stein","American"
"Dwight Buycks","American"
"Cleanthony Early","American"
"Mike Scott","American"
"Gary Neal","American"
"Ben Gordon","American"
"Miles Plumlee","American"
"Sam Dekker","American"
"Marcelo Huertas","Spanish"
"Gigi Datome","Italian"
"Tyler Ulis","American"
"Kirk Hinrich","American"
"Paul Zipser","German"
"Luis Scola","Argentine"
"Michael Carter-Williams","American"
"Kosta Koufos","Greek"
"Dorell Wright","American"
"Serge Ibaka","Congolese"
"Courtney Lee","American"
"Gal Mekel","Israeli"
"Jarell Martin","American"
"Randy Foye","American"
"Brandon Bass","American"
"Anthony Tolliver","American"
"Lance Thomas","American"
"Nate Wolters","American"
"Michael Kidd-Gilchrist","American"
"Bojan Bogdanovic","Croatian"
"JJ Hickson","American"
"Kay Felder","American"
"Marco Belinelli","Italian"
"Ben McLemore","American"
"Rodney Stuckey","American"
"Robert Sacre","Canadian"
"Landry Fields","American"
"James Ennis III","American"
"Nicolas Brussino","Argentine"
"Lance Stephenson","American"
"Bryce Dejean-Jones","American"
"Amir Johnson","Canadian"
"Jorge Gutierrez","Mexican"
"Gerald Henderson","American"
"Buddy Hield","Bahamian"
"CJ Miles","American"
"Tyson Chandler","American"
"Wilson Chandler","American"
"Justin Anderson","American"
"Bernard James","American"
"Mario Chalmers","American"
"Salah Mejri","Tunisian"
"Damien Inglis","Australian"
"Ty Lawson","American"
"Luke Babbitt","American"
"Jared Dudley","American"
"Joe Young","American"
"Cheick Diallo","Guinea"
"Andrew Harrison","American"
"Travis Wear","American"
"James Young","Scottish"
"Kevin Seraphin","French"
"Ricky Ledo","American"
"Chris Andersen","American"
"Marreese Speights","American"
"Steve Blake","American"
"Darrell Arthur","American"
"Noah Vonleh","American"
"Marcin Gortat","Polish"
"Jordan Clarkson","Filipino-American"
"Thabo Sefolosha","Swiss"
"Julius Randle","American"
"Damjan Rudez","Croatian"
"Maurice Harkless","American"
"Semaj Christon","American"
"Kris Dunn","American"
"Alex Stepheson","American"
"Kyle Singler","American"
"Richard Jefferson","American"
"Boris Diaw","French"
"Marvin Williams","American"
"Carlos Boozer","American"
"Trevor Booker","American"
"Rondae Hollis-Jefferson","American"
"Justin Holiday","American"
"Ryan Anderson","American"
"Isaiah Whitehead","American"
"Tyler Zeller","American"
"Steve Novak","Canadian"
"Malcolm Delaney","American"
"Shabazz Muhammad","American"
"Joel Embiid","Cameroonian-American"
"Andre Roberson","American"
"Jimmer Fredette","American"
"Glenn Robinson","American"
"Nick Johnson","American"
"Tyler Johnson","American"
"Jabari Brown","American"
"Jarrett Jack","American"
"Ersan Ilyasova","Turkish"
"Alexis Ajinca","French"
"Wesley Johnson","American"
"Alexey Shved","Ukrainian"
"Jose Calderon","Spanish"
"JaKarr Sampson","American"
"Drew Gooden","American"
"Lucas Nogueira","Brazilian"
"Devyn Marble","American"
"Charlie Villanueva","Dominican"
"Ron Baker","American"
"Josh Smith","American"
"Patrick Patterson","American"
"Ramon Sessions","American"
"Alex Abrines","Spanish"
"Bismack Biyombo","Congolese"
"Luol Deng","British"
"Brandon Knight","American"
"Georgios Papagiannis","Greek"
"Alan Williams","American"
"Goran Dragic","Slovenian"
"Elliot Williams","American"
"Monta Ellis","American"
"Brandon Davies","Welsh"
"Jahlil Okafor","American"
"Jason Smith","American"
