"player_name","_col_1"
"Mike Miller","29/01/1985"
"Quincy Acy"," 11/02/1987"
"Joe Johnson","To answer this question, I would need access to a database containing information about the players, including their birthdates. However, based on publicly available data, here are the answers:


12/03/1994"
"Brook Lopez","29/12/1992"
"Davis Bertans"," 29/08/1980"
"DeAndre' Bembry","To answer this question, I would need access to the actual database or a list of birthdates for the players mentioned. However, based on publicly available information, here are the answers:


31/03/1988"
"Okaro White","19/06/1989"
"Deron Williams"," 11/16/1994


Please note that these dates might not be up-to-date or accurate, as my training data only goes until a certain point in time. For the most accurate information, I recommend checking with a reliable source, such as the official NBA website or other trusted sports databases."
"Glen Davis","25/02/1994"
"Raul Neto","05/11/1987"
"Kevin Martin","05/04/1989"
"Rudy Gay"," 25/02/1991"
"Marquese Chriss","To answer this question, I would need access to the actual database or a list of birthdates for the players mentioned. However, based on publicly available information, here are the answers:


01/02/1993"
"Justise Winslow","30/11/1986"
"Emmanuel Mudiay","To answer this question, I would need access to the actual database or a provided dataset that includes the birthdates of the players. Since I don't have direct access to such databases and the information isn't provided here, I'll guide you through how one might approach this task with hypothetical data.

Let's assume we have a table named ""Players"" with columns for ""player_name"" and ""birthdate"". The ""birthdate"" column would contain dates in a format that can be easily converted or is already in the desired format (DD/MM/YYYY).

Here's a step-by-step approach:

1. **Connect to the Database**: Establish a connection to your database using SQL or any programming language like Python with libraries such as `sqlite3` for SQLite, `psycopg2` for PostgreSQL, etc.

2. **Query the Database**: Write a SQL query to select the birthdate of each player from the ""Players"" table where the ""player_name"" matches the given names. For example:

    ```sql
    SELECT birthdate FROM Players WHERE player_name = 'Ed Davis'"
"Erick Green","22/02/1994"
"E'Twaun Moore","24/09/1981"
"Josh Richardson"," 02/03/1987"
"Sergey Karasev"," March 3, 1991


So the answer in the required format would be:
23/05/1979"
"Evan Turner","11/03/1979"
"Isaiah Canaan","08/07/1992


Please note that these dates might not be accurate or up-to-date, as they are based on my training data. For precise information, it's always best to consult the original source or database."
"Zoran Dragic"," 11/01/1982"
"Doug McDermott","03/05/1996"
"Ray McCallum","13/08/1992"
"Jusuf Nurkic","06/04/1990"
"Joel Anthony"," 30/05/1992"
"Cameron Payne"," 17/04/1984"
"Troy Williams"," 26/02/1976"
"Henry Sims"," 01/01/1986"
"Jarell Eddie","To answer this question, I would need access to a database containing the birthdates of basketball players. Since I don't have direct access to such databases, I'll provide an example based on publicly available information up to my last update in 2023.

Given the names:
1. Jamal Murray
2. Jameer Nelson
3. James Anderson
4. James Ennis III
5. James Harden

Their respective birthdates are (in DD/MM/YYYY format):
1. Jamal Murray - 23/02/1997
2. Jameer Nelson - 09/02/1982
3. James Anderson - 25/03/1989
4. James Ennis III - 01/07/1990
5. James Harden - 26/08/1989

So, the answer would be:
23/02/1997"
"A.J. Price","To answer this question, I would need access to a database containing the birthdates of basketball players. Since I don't have direct access to such databases, I'll provide an example based on publicly available information up to my last update in 2023.

1. A.J. Price - October 7, 1986
2. Aaron Brooks - January 14, 1985
3. Aaron Gordon - September 16, 1995
4. Adreian Payne - February 19, 1991
5. Al Horford - June 3, 1986

Converting these dates into the DD/MM/YYYY format:

- A.J. Price: 07/10/1986
- Aaron Brooks: 14/01/1985
- Aaron Gordon: 16/09/1995
- Adreian Payne: 19/02/1991
- Al Horford: 03/06/1986

So, the answer would be:
07/10/1986"
"Sebastian Telfair"," May 19, 1992"
"Francisco Garcia","20/05/1992"
"Patty Mills"," 07/02/1989"
"Omer Asik","18/09/1985"
"Kawhi Leonard"," 27/12/1988"
"Denzel Valentine"," 09/15/1993"
"Quincy Miller"," 03/01/1986"
"DeAndre Liggins"," 21/07/1988"
"Hollis Thompson","To answer this question, I would need access to the actual database or a list of player birthdates. However, based on publicly available information, here are the answers:


01/01/1994"
"Grant Jerrett","04/05/1986"
"Josh McRoberts","To answer this question, I would need access to the actual database or a list of player birthdates. However, based on publicly available information, here are the answers:


25/05/1989"
"Gary Harris"," 27/10/1988"
"Jonas Jerebko"," 29/06/1981"
"John Henson","25/02/1989"
"Kendall Marshall"," 12/06/1990"
"PJ Tucker"," 24/03/1996"
"Adreian Payne","19/02/1991"
"Nicolas Batum"," 13/11/1979"
"Marc Gasol"," 23/03/1992"
"Chase Budinger","To answer this question, I would need access to the actual database or a list of birthdates for the players mentioned. However, based on publicly available information, here are the answers:


08/24/1984"
"Cristiano Felicio","03/10/1985"
"Kevon Looney","23/08/1994"
"Rajon Rondo"," 11/02/1987"
"Pau Gasol","To answer this question, I would need access to a database containing the birthdates of basketball players. Since I don't have direct access to such databases, I'll provide a general approach on how one might solve this using hypothetical data.

Assuming there's a table named ""Players"" with columns for ""player_name"" and ""birthdate"", you could query this information directly from the database. However, without actual database access or specific birthdate information for these players, I can only demonstrate the logic:

1. **Query Database**: You would typically use SQL to select the birthdate based on the player's name.
   
   ```sql
   SELECT birthdate FROM Players WHERE player_name = 'Nick Collison'"
"Martell Webster"," 04/02/1989"
"Brandon Jennings"," 23/09/1989"
"Dario Saric"," 07/13/1995"
"Blake Griffin","16/03/1989"
"Malcolm Brogdon","To answer this question, I would need access to the actual database or a list of player birthdates. However, based on publicly available information, here are the answers:


25/03/1986"
"Perry Jones III"," 02/03/1993"
"Kevin Durant"," 26/03/1996"
"Joe Ingles","07/03/1990"
"Ed Davis","To answer this question, I would need access to a database containing the birthdates of basketball players. Since I don't have direct access to such databases, I'll provide an example based on publicly available information. Please note that the accuracy and availability of this data might vary.


Given the names:
Dwight Buycks
Dwight Howard
Dwight Powell
Dwyane Wade
E'Twaun Moore

Their respective birthdates are (based on public knowledge):
- Dwight Buycks: November 6, 1989
- Dwight Howard: December 8, 1985
- Dwight Powell: July 20, 1991
- Dwyane Wade: January 17, 1982
- E'Twaun Moore: February 28, 1989

So, the formatted birthdates would be:
06/11/1989"
"Solomon Hill"," 06/06/1989"
"Deyonta Davis","12/08/1989"
