,Player Name,birthdate
0,Mike Miller,"19/02/1980
"
1,Quincy Acy,19/03/1992
2,Joe Johnson,19/06/1981
3,Brook Lopez,09/04/1988
4,Davis Bertans,"16/09/1988
"
5,DeAndre' Bembry,"13/02/1993
"
6,Okaro White,"14/07/1997
"
7,Deron Williams,27/06/1980
8,Glen Davis,13/09/1985
9,Raul Neto,08/09/1990
10,Kevin Martin,17/05/1988
11,Rudy Gay,16/03/1985
12,Marquese Chriss,17/03/1996
13,Justise Winslow,05/05/1997
14,Emmanuel Mudiay,"14/03/1995
"
15,Erick Green,18/08/1993
16,E'Twaun Moore,"13/08/1993
"
17,Josh Richardson,16/06/1995
18,Sergey Karasev,"13/05/1993
"
19,Evan Turner,"14/03/1985
"
20,Isaiah Canaan,08/02/1991
21,Zoran Dragic,"19/05/1989
"
22,Doug McDermott,14/09/1991
23,Ray McCallum,18/09/1990
24,Jusuf Nurkic,"15/08/1992
"
25,Joel Anthony,18/03/1982
26,Cameron Payne,"14/08/1994
"
27,Troy Williams,19/03/1998
28,Henry Sims,"14/09/1999
"
29,Jarell Eddie,"13/07/1993
"
30,A.J. Price,14/03/1985
31,Sebastian Telfair,"18/12/1982
"
32,Francisco Garcia,"16/03/1993
"
33,Patty Mills,"10/08/1990
"
34,Omer Asik,03/03/1984
35,Kawhi Leonard,29/01/1991
36,Denzel Valentine,18/07/1993
37,Quincy Miller,"14/07/1998
"
38,DeAndre Liggins,13/03/1986
39,Hollis Thompson,10/03/1992
40,Grant Jerrett,19/05/1992
41,Josh McRoberts,19/05/1988
42,Gary Harris,"13/08/1993
"
43,Jonas Jerebko,"07/02/1986
"
44,John Henson,09/03/1990
45,Kendall Marshall,11/11/1991
46,PJ Tucker,"13/09/1985
"
47,Adreian Payne,10/11/1991
48,Nicolas Batum,"14/12/1988
"
49,Marc Gasol,"07/01/1985
"
50,Chase Budinger,19/09/1988
51,Cristiano Felicio,"13/05/1985
"
52,Kevon Looney,06/02/1994
53,Rajon Rondo,"18/02/1986
"
54,Pau Gasol,"07/05/1980
"
55,Martell Webster,13/03/1986
56,Brandon Jennings,"13/09/1989
"
57,Dario Saric,16/06/1994
58,Blake Griffin,17/03/1989
59,Malcolm Brogdon,11/02/1992
60,Perry Jones III,19/03/1993
61,Kevin Durant,"29/09/1988
"
62,Joe Ingles,"20/02/1993
"
63,Ed Davis,13/03/1987
64,Solomon Hill,19/09/1992
65,Deyonta Davis,"14/07/1999
"
66,Shane Larkin,10/07/1992
67,CJ Watson,14/09/1985
68,Terry Rozier,"18/03/1994
"
69,Carl Landry,18/03/1983
70,Timofey Mozgov,06/02/1986
71,Reggie Williams,16/09/1983
72,Robin Lopez,"04/04/1988
"
73,Russ Smith,18/11/1990
74,J.J. Barea,"26/07/1981
"
75,Troy Daniels,"14/05/1989
"
76,Marcus Smart,06/05/1992
77,Briante Weber,16/03/1996
78,Danny Granger,14/05/1981
79,Aaron Brooks,10/01/1985
80,Dwyane Wade,16/01/1980
81,Al-Farouq Aminu,17/09/1993
82,Alan Anderson,"18/03/1988
"
83,Chris Copeland,"18/09/1987
"
84,Al Jefferson,02/02/1980
85,Tarik Black,"18/03/1993
"
86,Chris McCullough,"14/08/1993
"
87,Elfrid Payton,09/02/1994
88,LaMarcus Aldridge,12/07/1980
89,Jason Terry,"10/09/1977
"
90,Patrick McCaw,13/08/1994
91,Pero Antic,"13/03/1986
"
92,Jordan McRae,"20/08/1991
"
93,Jeff Taylor,16/03/1993
94,Domantas Sabonis,"09/07/1996
"
95,Jon Leuer,16/03/1989
96,Mindaugas Kuzminskas,"18/08/1985
"
97,Jodie Meeks,14/02/1986
98,Larry Drew II,18/05/1993
99,Jerian Grant,"14/03/1994
"
