"Player Name","birthdate"
"Mike Miller","19/02/1980
"
"Quincy Acy","19/03/1992"
"Joe Johnson","19/06/1981"
"Brook Lopez","09/04/1988"
"Davis Bertans","16/09/1988
"
"DeAndre' Bembry","13/02/1993
"
"Okaro White","14/07/1997
"
"Deron Williams","27/06/1980"
"Glen Davis","13/09/1985"
"Raul Neto","08/09/1990"
"Kevin Martin","17/05/1988"
"Rudy Gay","16/03/1985"
"Marquese Chriss","17/03/1996"
"Justise Winslow","05/05/1997"
"Emmanuel Mudiay","14/03/1995
"
"Erick Green","18/08/1993"
"E'Twaun Moore","13/08/1993
"
"Josh Richardson","16/06/1995"
"Sergey Karasev","13/05/1993
"
"Evan Turner","14/03/1985
"
"Isaiah Canaan","08/02/1991"
"Zoran Dragic","19/05/1989
"
"Doug McDermott","14/09/1991"
"Ray McCallum","18/09/1990"
"Jusuf Nurkic","15/08/1992
"
"Joel Anthony","18/03/1982"
"Cameron Payne","14/08/1994
"
"Troy Williams","19/03/1998"
"Henry Sims","14/09/1999
"
"Jarell Eddie","13/07/1993
"
"A.J. Price","14/03/1985"
"Sebastian Telfair","18/12/1982
"
"Francisco Garcia","16/03/1993
"
"Patty Mills","10/08/1990
"
"Omer Asik","03/03/1984"
"Kawhi Leonard","29/01/1991"
"Denzel Valentine","18/07/1993"
"Quincy Miller","14/07/1998
"
"DeAndre Liggins","13/03/1986"
"Hollis Thompson","10/03/1992"
"Grant Jerrett","19/05/1992"
"Josh McRoberts","19/05/1988"
"Gary Harris","13/08/1993
"
"Jonas Jerebko","07/02/1986
"
"John Henson","09/03/1990"
"Kendall Marshall","11/11/1991"
"PJ Tucker","13/09/1985
"
"Adreian Payne","10/11/1991"
"Nicolas Batum","14/12/1988
"
"Marc Gasol","07/01/1985
"
"Chase Budinger","19/09/1988"
"Cristiano Felicio","13/05/1985
"
"Kevon Looney","06/02/1994"
"Rajon Rondo","18/02/1986
"
"Pau Gasol","07/05/1980
"
"Martell Webster","13/03/1986"
"Brandon Jennings","13/09/1989
"
"Dario Saric","16/06/1994"
"Blake Griffin","17/03/1989"
"Malcolm Brogdon","11/02/1992"
"Perry Jones III","19/03/1993"
"Kevin Durant","29/09/1988
"
"Joe Ingles","20/02/1993
"
"Ed Davis","13/03/1987"
"Solomon Hill","19/09/1992"
"Deyonta Davis","14/07/1999
"
"Shane Larkin","10/07/1992"
"CJ Watson","14/09/1985"
"Terry Rozier","18/03/1994
"
"Carl Landry","18/03/1983"
"Timofey Mozgov","06/02/1986"
"Reggie Williams","16/09/1983"
"Robin Lopez","04/04/1988
"
"Russ Smith","18/11/1990"
"J.J. Barea","26/07/1981
"
"Troy Daniels","14/05/1989
"
"Marcus Smart","06/05/1992"
"Briante Weber","16/03/1996"
"Danny Granger","14/05/1981"
"Aaron Brooks","10/01/1985"
"Dwyane Wade","16/01/1980"
"Al-Farouq Aminu","17/09/1993"
"Alan Anderson","18/03/1988
"
"Chris Copeland","18/09/1987
"
"Al Jefferson","02/02/1980"
"Tarik Black","18/03/1993
"
"Chris McCullough","14/08/1993
"
"Elfrid Payton","09/02/1994"
"LaMarcus Aldridge","12/07/1980"
"Jason Terry","10/09/1977
"
"Patrick McCaw","13/08/1994"
"Pero Antic","13/03/1986
"
"Jordan McRae","20/08/1991
"
"Jeff Taylor","16/03/1993"
"Domantas Sabonis","09/07/1996
"
"Jon Leuer","16/03/1989"
"Mindaugas Kuzminskas","18/08/1985
"
"Jodie Meeks","14/02/1986"
"Larry Drew II","18/05/1993"
"Jerian Grant","14/03/1994
"
"Yogi Ferrell","03/02/1991"
"Tristan Thompson","13/03/1991
"
"Kyle Anderson","19/03/1993
"
"Markel Brown","14/07/1993"
"Austin Daye","15/03/1988"
"Malachi Richardson","14/09/1999"
"Spencer Hawes","12/08/1987"
"Marcus Morris","14/11/1986
"
"Shawn Marion","15/06/1977"
"Alex Len","03/05/1993"
"Taj Gibson","28/03/1985"
"Aron Baynes","09/02/1980"
"Larry Sanders","17/07/1986
"
"Allen Crabbe","10/02/1990"
"Anthony Bennett","15/03/1993"
"Joey Dorsey","13/03/1993"
"Kelly Oubre Jr.","18/12/1995
"
"Gorgui Dieng","03/03/1989"
"Will Barton","06/06/1991"
"Rashad Vaughn","13/03/1998"
"Jeff Ayres","09/03/1989"
"Shawn Long","14/08/1994"
"Sergio Rodriguez","13/02/1986
"
"Ian Mahinmi","03/03/1982"
"DeAndre Jordan","17/07/1988"
"Rodney Hood","13/02/1992
"
"Anthony Morrow","10/08/1988"
"Karl-Anthony Towns","15/01/1995
"
"Jordan Hamilton","13/08/1999
"
"Corey Brewer","09/02/1983"
"Sonny Weems","28/02/1981"
"Eric Bledsoe","01/01/1989"
"Ryan Hollins","19/08/1985
"
"Jason Richardson","16/01/1980"
"Nikola Jokic","19/02/1987
"
"Derrick Rose","04/10/1988
"
"CJ McCollum","19/02/1991
"
"John Wall","06/12/1990"
"Kevin Garnett","19/05/1975
"
"Chasson Randle","14/03/1996"
"Joe Harris","12/02/1990
"
"D.J. Augustin","18/03/1987"
"Hedo Turkoglu","16/03/1980"
"Tony Wroten","14/07/1993
"
"Kyrie Irving","20/03/1988
"
"Stephen Curry","14/03/1988
"
"Tony Parker","17/05/1982
"
"Ian Clark","14/07/1989
"
"Nene","14/07/1993"
"Ryan Kelly","14/03/1997
"
"Jae Crowder","16/03/1990"
"Festus Ezeli","18/07/1989"
"James Harden","03/08/1986
"
"Evan Fournier","28/10/1990
"
"Channing Frye","14/10/1983"
"Kenneth Faried","13/08/1989"
"Dante Exum","13/07/1995
"
"Andrew Bogut","18/11/1984"
"Brandan Wright","13/07/1993
"
"Patrick Beverley","10/07/1988"
"Cory Joseph","21/02/1991"
"Ivica Zubac","18/03/1997
"
"O.J. Mayo","15/03/1988
"
"Brian Roberts","16/05/1989
"
"Caron Butler","14/03/1976"
"Arron Afflalo","03/03/1986"
"Darrun Hilliard","14/09/1993"
"Clint Capela","18/10/1994
"
"Pablo Prigioni","29/03/1980
"
"Eric Gordon","27/04/1986"
"James Michael McAdoo","16/09/1991
"
"Tyler Ennis","18/02/1991"
"Pierre Jackson","13/02/1991
"
"Hassan Whiteside","17/07/1989"
"Giannis Antetokounmpo","06/12/1994
"
"Cory Jefferson","18/03/1993"
"Kelly Olynyk","19/03/1991"
"Thon Maker","09/08/1997"
"Elijah Millsap","18/03/1985"
"Greg Monroe","11/08/1988"
"Dejounte Murray","11/18/1996
"
"Sheldon McClellan","14/03/1993"
"Jonathon Simmons","14/03/1990
"
"Delon Wright","07/05/1993"
"Zaza Pachulia","16/03/1984
"
"Beno Udrih","18/02/1980"
"Kent Bazemore","07/06/1988"
"Chandler Parsons","19/01/1988"
"Tobias Harris","15/07/1990
"
"Anderson Varejao","29/02/1985
"
"Reggie Bullock","11/03/1990"
"Will Bynum","18/02/1988
"
"Norris Cole","18/05/1987"
"Kostas Papanikolaou","10/03/1989
"
"Timothe Luwawu-Cabarrot","18/02/1993
"
"Tony Allen","05/06/1982"
"Jeremy Lin","05/10/1988
"
"Marcus Thornton","17/07/1988
"
"Wesley Matthews","12/12/1986
"
"Darren Collison","18/08/1987"
"Jerami Grant","14/01/1996"
"Manu Ginobili","28/07/1980
"
"Tyus Jones","10/05/1996"
"Willie Green","23/03/1982"
"Reggie Evans","14/03/1980"
"Larry Nance Jr.","18/01/1993
"
"Austin Rivers","10/18/1992"
"T.J. McConnell","15/07/1992"
"Sean Kilpatrick","16/02/1990"
"Fred VanVleet","21/08/1994
"
"Vince Carter","14/01/1977"
"Jabari Parker","15/04/1995"
"Paul George","12/05/1988
"
"Amar'e Stoudemire","16/12/1982
"
"Khris Middleton","11/02/1991
"
"Robbie Hummel","14/03/1999
"
"Tyler Hansbrough","29/09/1985"
"Matt Bonner","22/10/1980
"
"Archie Goodwin","18/03/1996"
"Kenyon Martin","10/03/1979"
"Joel Freeland","13/07/1990
"
"Lou Amundson","14/09/1980"
"Nemanja Bjelica","19/03/1980
"
"Andre Miller","29/05/1974"
