title,director_name
Light Sleeper,Paul Schrader
Phone Booth,Joel Schumacher
Next Stop Wonderland,Brad Anderson
The Social Network,David Fincher
Apocalypse Now,Francis Ford Coppola
Dragonfly,Tom Shadyac
World Trade Center,Oliver Stone
Mumford,Lawrence Kasdan
Predator,John McTiernan
Lions for Lambs,Robert Redford
Red Riding Hood,Catherine Hardwicke
Platoon,Oliver Stone
Batman & Robin,Joel Schumacher
Kindergarten Cop,Ivan Reitman
X2,Bryan Singer
Lost in Space,Stephen Hopkins
Gangs of New York,Martin Scorsese
The Kite Runner,Marc Forster
Down to Earth,Chris Weitz
The Color of Money,Martin Scorsese
"Me, Myself & Irene",Bobby Farrelly
Apollo 13,Ron Howard
X-Men,Bryan Singer
Finding Neverland,Marc Forster
Bandits,Barry Levinson
Jackie Brown,Quentin Tarantino
The Visit,M. Night Shyamalan
Stonewall,Roland Emmerich
There Will Be Blood,Paul Thomas Anderson
Georgia Rule,Garry Marshall
The Silence of the Lambs,Jonathan Demme
Florence Foster Jenkins,Stephen Frears
Noah,Darren Aronofsky
Bedtime Stories,Adam Shankman
Good Will Hunting,Gus Van Sant
No Strings Attached,Ivan Reitman
Face/Off,John Woo
Neighbors 2: Sorority Rising,Nicholas Stoller
Django Unchained,Quentin Tarantino
Miracle at St. Anna,Spike Lee
Waterworld,Kevin Reynolds
Gods of Egypt,Alex Proyas
Chicago,Rob Marshall
Adam Resurrected,Paul Schrader
Thank You for Smoking,Jason Reitman
Welcome to Mooseport,Donald Petrie
The Fast and the Furious,Rob Cohen
Monsoon Wedding,Mira Nair
Inherent Vice,Paul Thomas Anderson
The Hobbit: An Unexpected Journey,Peter Jackson
Scream 4,Wes Craven
Snake Eyes,Brian De Palma
Stranger Than Fiction,Marc Forster
Edtv,Ron Howard
The Score,Frank Oz
New York Stories,Francis Ford Coppola
What Women Want,Nancy Meyers
Captain Corelli's Mandolin,John Madden
Oz: The Great and Powerful,Sam Raimi
Tropic Thunder,Ben Stiller
