Player Name,Assists,Points,Total rebounds,Steals,Game ID,Defensive rebounds,3-pointers attempted,3-pointers made,Field goals attempted,Field goals made,Free throws attempted,Free throws made,Minutes played,Personal fouls,Turnovers,Blocks,Offensive rebounds,Field goal percentage,Free throw percentage,3-pointer percentage
Nikola Vucevic,,21,15,,0,,,,,,,,,,,,,,,
Al Horford,4,17,13,2,0,,,,,,,,,,,,,,,
Jeff Teague,7,17,,2,0,,,,,,,,,,,,,,,
Giannis Antetokounmpo,,16,12,,1,,1,1,9,6,6,3,,,,,,,,
Zaza Pachulia,,16,14,,1,,,,12,6,4,4,,,,,,,,
Brandon Knight,5,17,,,1,,3,1,14,6,,,,,3,,,,,
Kendall Marshall,,15,,,1,,,,8,6,3,3,,,,,,,,
JR Smith,,15,7,,1,,,,,,,,37,2,2,,,,,
Cole Aldrich,,12,7,,1,,,,10,6,,,,,,,,,,
Tim Hardaway Jr.,4,17,3,,1,3,5,3,13,6,4,,,3,,,,,,
Jason Smith,,10,,,1,,,,11,3,4,4,,,,,,,,
Marc Gasol,6,18,5,,2,,,,,,,,,,,,,,,
Courtney Lee,,22,,,2,,5,4,14,9,,,,,,,,,,
Mike Conley,11,24,,,2,,4,3,14,9,,,,,,,,,,
Markieff Morris,,20,5,,2,,,,,,,,,,,,,,,
Goran Dragic,,6,,,2,,,,,,,,26,,,,,,,
Eric Bledsoe,4,23,5,,2,,,,12,9,,,,,,,,,,
Isaiah Thomas,2,15,,,2,,,,,,,,,,,,,,,
Greg Monroe,4,21,16,,3,,,,17,9,5,3,,5,,,,,,
Andre Drummond,,14,8,,3,,,,11,7,1,0,,,,,,,,
Kentavious Caldwell-Pope,,16,3,2,3,,9,3,17,6,2,1,,,,,,,,
D.J. Augustin,8,35,,,3,,9,5,20,12,,,,,,,,,,
DeMar DeRozan,4,25,6,,3,6,2,1,14,8,10,8,,,,,,,,
Amir Johnson,,17,2,,3,,,,9,7,4,3,28,,,,,,,
Greivis Vasquez,,13,,,3,,,,,,,,,,,,,,,
Lou Williams,,12,,,3,,,,,,,,,,,,,,,
Tobias Harris,,15,,,4,,,,,,,,,,,,,,,
Marcus Morris,2,20,8,,4,,,,,,,,,,,,,,,
Andre Drummond,,15,,,4,,,,,,,,,,,,,,,
Reggie Jackson,8,22,2,2,4,,,,,,,,,,,,,,,
Jabari Parker,3,13,5,,4,,,,,,,,,,,,,,,
Miles Plumlee,,10,6,1,4,,,,,,,,,,,2,,,,
Khris Middleton,2,26,7,1,4,,,,,,,,,,,1,,,,
Greg Monroe,3,10,7,1,4,,,,,,,,,,,1,,,,
LeBron James,4,22,4,,5,,,,,,,,,,,,,,,
Kevin Love,,13,13,,5,,,,,,,,,,,,,,,
Kyrie Irving,,20,,,5,,,,,,,,,,,,,,,
Jabari Parker,1,18,,,5,,,1,,,,,,1,,,1,,,
Michael Beasley,,17,,1,5,1,1,1,,,,,,,,,1,,,
LeBron James,,,,,6,,,,,,,,46,,,,,,,
Kevin Love,,,1,,6,,,,,,,,,,,,,,,
JR Smith,,,,2,6,,,2,,,,,,,,,,,,
Kyrie Irving,,,,,6,,,,,,,,43,,,,,,,
Kendrick Perkins,,,,,6,,,,,,,,,1,,,,,,
Kelly Olynyk,,,1,,6,,,,,,,,,,,,,,,
Giannis Antetokounmpo,,17,7,,7,,2,1,11,4,11,8,,,,,,,,
Jabari Parker,,15,,,7,,,,13,7,,,,,,,,,,
O.J. Mayo,,18,,,7,,4,0,13,6,,,,,,,,,,
Jerryd Bayless,,11,,,7,,,,6,3,5,5,,,,,,,,
Kevin Durant,7,23,9,1,7,,5,1,11,7,8,8,,,,1,,,,
Serge Ibaka,,15,,,7,,,,5,5,5,5,,,,,,,,
Russell Westbrook,7,28,,,7,,2,0,16,8,15,12,,,,,,,,
Reggie Jackson,,18,7,,7,,,,,,,,,,,,,,,
Carmelo Anthony,,45,6,,8,6,,,36,18,,6,46,6,,,,,,
Kristaps Porzingis,,15,,,8,,,,,,,,,,,,,,,
Courtney Lee,,17,9,,8,,,,,,,,,,,,,,,
Brandon Jennings,11,18,,,8,,,,,,,,,,,,,,,
