Team Name,name,conference,division,founded,arena,location,president,coach
Heat,Miami Heat,Eastern,Southeast,1988,FTX Arena,"Miami, Florida",,Erik Spoelstra
Spurs,San Antonio Spurs,Western,Southwest,1967,AT&T Center,"San Antonio, Texas",Gregg Popovich,Gregg Popovich
Grizzlies,Memphis Grizzlies,Western,Southwest,1995,FedExForum,"Memphis, Tennessee",Jason Wexler,Taylor Jenkins
Pelicans,New Orleans Pelicans,Western,Southwest,2002,Smoothie King Center,"New Orleans, Louisiana",Dennis Lauscha,Willie Green
Bucks,Milwaukee Bucks,Eastern,Central,1968,Fiserv Forum,"Milwaukee, Wisconsin",Peter Feigin,Mike Budenholzer
Rockets,Houston Rockets,Western,Southwest,1967,Toyota Center,"Houston, Texas",Gretchen Sheirr,Stephen Silas
Clippers,Los Angeles Clippers,Western,Pacific,1970,Crypto.com Arena,"Los Angeles, California",Lawrence Frank,Tyronn Lue
Kings,Sacramento Kings,Western,Pacific,1923,Golden 1 Center,"Sacramento, California",John Rinehart,Mike Brown
Warriors,Golden State Warriors,Western,Pacific,1946,Chase Center,"San Francisco, California",Brandon Schneider,Steve Kerr
Magic,Orlando Magic,Eastern,Southeast,1989,Amway Center,"Orlando, Florida",Jeff Weltman,Jamahl Mosley
76ers,Philadelphia 76ers,Eastern,Atlantic,1946,Wells Fargo Center,"Philadelphia, Pennsylvania",Daryl Morey,Doc Rivers
Nuggets,Denver Nuggets,Western,Northwest,1967,Ball Arena,"Denver, Colorado",Vacant,Michael Malone
Pacers,Indiana Pacers,Eastern,Central,1967,Gainbridge Fieldhouse,"Indianapolis, Indiana",,Rick Carlisle
Jazz,Utah Jazz,Western,Northwest,1974,Vivint Arena,"Salt Lake City, Utah",Jim Olson,Will Hardy
Lakers,Los Angeles Lakers,Western,Pacific,1947,Crypto.com Arena,"Los Angeles, California",,Darvin Ham
Bulls,Chicago Bulls,Eastern,Central,1966,United Center,"Chicago, Illinois",,Billy Donovan
Nets,Brooklyn Nets,Eastern,Atlantic,1967,Barclays Center,"Brooklyn, New York",,Jacque Vaughn
Timberwolves,Minnesota Timberwolves,Western,Northwest,1989,Target Center,"Minneapolis, Minnesota",Tim Connelly,Chris Finch
Suns,Phoenix Suns,Western,Pacific,1968,Footprint Center,"Phoenix, Arizona",James Jones,Monty Williams
Cavaliers,Cleveland Cavaliers,Eastern,Central,1970,Rocket Mortgage FieldHouse,"Cleveland, Ohio",Koby Altman,J. B. Bickerstaff
Pistons,Detroit Pistons,Eastern,Central,1937,Little Caesars Arena,"Detroit, Michigan",Ed Stefanski,Dwane Casey
Thunder,Oklahoma City Thunder,Western,Northwest,1967,Paycom Center,"Oklahoma City, Oklahoma",,Mark Daigneault
Hawks,Atlanta Hawks,Eastern,Southeast,1946,State Farm Arena,"Atlanta, Georgia",Travis Schlenk,Nate McMillan
Trail Blazers,Portland Trail Blazers,Western,Northwest,1970,Moda Center,"Portland, Oregon",Dewayne Hankins,Chauncey Billups
Wizards,Washington Wizards,Eastern,Southeast,1961,Capital One Arena,"Washington, D.C.",,Wes Unseld Jr.
Raptors,Toronto Raptors,Eastern,Atlantic,1995,Scotiabank Arena,"Toronto, Ontario",Masai Ujiri,Nick Nurse
Mavericks,Dallas Mavericks,Western,Southwest,1980,American Airlines Center,"Dallas, Texas",,Jason Kidd
Knicks,New York Knicks,Eastern,Atlantic,1946,Madison Square Garden,"New York City, New York",Leon Rose,Tom Thibodeau
Celtics,Boston Celtics,Eastern,Atlantic,1946,TD Garden,"Boston, Massachusetts",,Joe Mazzulla]] (interim)<br>[[Ime Udoka
Hornets,Charlotte Hornets,Eastern,Southeast,1988,Spectrum Center,"Charlotte, North Carolina",Fred Whitfield,Steve Clifford
