,Game ID,Player Name,points
0,0,Nikola Vucevic,21
1,0,Al Horford,17
2,0,Jeff Teague,17
3,1,Giannis Antetokounmpo,16
4,1,Zaza Pachulia,16
5,1,Brandon Knight,17
6,1,Kendall Marshall,15
7,1,JR Smith,15
8,1,Cole Aldrich,12
9,1,Tim Hardaway Jr.,17
10,1,Jason Smith,10
11,2,Marc Gasol,18
12,2,Courtney Lee,22
13,2,Mike Conley,24
14,2,Markieff Morris,20
15,2,Goran Dragic,6
16,2,Eric Bledsoe,23
17,2,Isaiah Thomas,15
18,3,Greg Monroe,21
19,3,Andre Drummond,14
20,3,Kentavious Caldwell-Pope,16
21,3,D.J. Augustin,35
22,3,DeMar DeRozan,25
23,3,Amir Johnson,17
24,3,Greivis Vasquez,13
25,3,Lou Williams,12
26,4,Tobias Harris,15
27,4,Marcus Morris,20
28,4,Andre Drummond,15
29,4,Reggie Jackson,22
30,4,Jabari Parker,13
31,4,Miles Plumlee,10
32,4,Khris Middleton,26
33,4,Greg Monroe,10
34,5,LeBron James,22
35,5,Kevin Love,13
36,5,Kyrie Irving,20
37,5,Jabari Parker,18
38,5,Michael Beasley,17
39,6,LeBron James,41
40,6,Kevin Love,0
41,6,JR Smith,0
42,6,Kyrie Irving,29
43,6,Kendrick Perkins,0
44,6,Kelly Olynyk,0
45,7,Giannis Antetokounmpo,17
46,7,Jabari Parker,15
47,7,O.J. Mayo,18
48,7,Jerryd Bayless,11
49,7,Kevin Durant,23
50,7,Serge Ibaka,15
51,7,Russell Westbrook,28
52,7,Reggie Jackson,18
53,8,Carmelo Anthony,45
54,8,Kristaps Porzingis,15
55,8,Courtney Lee,17
56,8,Brandon Jennings,18
57,8,Mindaugas Kuzminskas,13
58,8,Justin Holiday,15
59,8,Tim Hardaway Jr.,19
60,8,Paul Millsap,37
61,8,Dwight Howard,19
62,8,Kent Bazemore,24
63,8,Dennis Schroder,23
64,8,Mike Dunleavy,12
65,9,Kevin Durant,26
66,9,Klay Thompson,21
67,9,Stephen Curry,29
68,9,Blake Griffin,31
69,9,Jamal Crawford,21
70,10,Carmelo Anthony,26
71,10,Derrick Williams,8
72,10,Robin Lopez,16
73,10,Jose Calderon,9
74,10,Kobe Bryant,14
75,10,Jordan Clarkson,12
76,10,D'Angelo Russell,4
77,10,Lou Williams,15
78,11,Giannis Antetokounmpo,30
79,11,Jabari Parker,27
80,11,John Henson,7
81,11,Tony Snell,8
82,11,Matthew Dellavedova,2
83,11,Greg Monroe,11
84,11,DeMarre Carroll,13
85,11,Jonas Valanciunas,11
86,11,Kyle Lowry,18
87,12,Andrew Wiggins,6
88,12,Thaddeus Young,26
89,12,Mo Williams,18
90,12,Zach Randolph,25
91,12,Marc Gasol,32
92,12,Courtney Lee,14
93,12,Mike Conley,16
94,13,Marcin Gortat,21
95,13,Bradley Beal,24
96,13,Ramon Sessions,2
97,13,Thaddeus Young,10
98,13,Brook Lopez,26
99,13,Deron Williams,9
100,13,Bojan Bogdanovic,22
101,13,Jarrett Jack,14
102,14,Marcin Gortat,16
103,14,John Wall,22
104,14,Kobe Bryant,17
105,14,D'Angelo Russell,22
106,15,Rasual Butler,17
107,15,Ramon Sessions,14
108,15,Kevin Seraphin,12
109,15,Martell Webster,20
110,15,DeJuan Blair,0
111,15,Kevin Love,19
112,15,Iman Shumpert,18
113,15,Matthew Dellavedova,18
114,15,Tristan Thompson,12
115,15,Kendrick Perkins,0
116,16,Kobe Bryant,31
117,16,Will Barton,25
118,17,Wesley Matthews,27
119,17,Yogi Ferrell,32
120,17,Evan Turner,24
121,17,Damian Lillard,4
122,18,Jonas Valanciunas,14
123,18,DeMar DeRozan,30
124,18,Kyle Lowry,22
125,18,Tyler Hansbrough,0
126,18,Greivis Vasquez,12
127,18,James Johnson,0
128,18,Luol Deng,18
129,18,Shawne Williams,16
130,18,Chris Bosh,21
131,18,Dwyane Wade,19
132,18,Mario Chalmers,12
133,19,Chris Paul,20
134,19,Jamal Crawford,22
135,19,Marreese Speights,17
136,20,Nikola Vucevic,12
137,20,Evan Fournier,14
138,20,Elfrid Payton,12
139,20,Aaron Gordon,11
140,20,Paul George,13
141,20,Thaddeus Young,11
142,20,Monta Ellis,13
143,20,Jeff Teague,11
144,20,CJ Miles,16
145,21,Dirk Nowitzki,14
146,21,Zaza Pachulia,13
147,21,Wesley Matthews,11
148,21,Deron Williams,10
149,21,Raymond Felton,16
150,21,J.J. Barea,16
151,21,Jeff Green,19
152,21,Matt Barnes,14
153,21,Marc Gasol,15
154,21,Mike Conley,21
155,21,Mario Chalmers,14
156,21,JaMychal Green,13
157,22,Ryan Anderson,22
158,22,James Harden,34
159,22,Harrison Barnes,21
160,22,Dirk Nowitzki,7
161,23,Kenneth Faried,15
162,23,Arron Afflalo,34
163,23,Ty Lawson,8
164,23,Jusuf Nurkic,14
165,23,JJ Hickson,16
166,23,Nate Robinson,12
167,23,Shabazz Muhammad,19
168,23,Gorgui Dieng,22
169,23,Andrew Wiggins,20
170,24,Michael Carter-Williams,4
171,24,Jerryd Bayless,14
172,24,John Henson,4
173,24,Quincy Pondexter,18
174,24,Anthony Davis,20
175,24,Tyreke Evans,12
176,25,Anthony Davis,26
177,25,Gal Mekel,6
178,25,Blake Griffin,30
179,25,Chris Paul,18
180,26,Garrett Temple,5
181,26,John Wall,28
182,26,Bradley Beal,22
183,26,Gary Neal,12
184,26,DeJuan Blair,12
185,26,Ramon Sessions,10
186,26,Paul George,21
187,26,Monta Ellis,17
188,26,George Hill,19
189,26,Lavoy Allen,15
190,27,Gordon Hayward,18
191,27,Rudy Gobert,13
192,27,Shelvin Mack,12
193,27,Zach Randolph,25
194,27,Mike Conley,12
195,27,Mario Chalmers,11
196,27,Lance Stephenson,16
197,28,Mason Plumlee,10
198,28,CJ McCollum,25
199,28,Damian Lillard,16
