,player_name,_col_1
0,Mike Miller,"Fayetteville, Arkansas"
1,Quincy Acy,Quincy
2,Joe Johnson,Joe
3,Brook Lopez,Brook Lopez
4,Davis Bertans,Latvia
5,DeAndre' Bembry,Atlanta
6,Okaro White,Virginia
7,Deron Williams,"Oakland, CA"
8,Glen Davis,London
9,Raul Neto,Raul
10,Kevin Martin,Glendale
11,Rudy Gay,"McDonald, GA"
12,Marquese Chriss,"Miami, Florida"
13,Justise Winslow,
14,Emmanuel Mudiay,Democratic Republic of the Congo
15,Erick Green,Michigan State
16,E'Twaun Moore,Chicago Heights
17,Josh Richardson,
18,Sergey Karasev,Russia
19,Evan Turner,Evan Turner
20,Isaiah Canaan,Baltimore
21,Zoran Dragic, Koper
22,Doug McDermott,Iowa City
23,Ray McCallum,Indianapolis
24,Jusuf Nurkic,Bosnia and Herzegovina
25,Joel Anthony,Joel
26,Cameron Payne,Cameron Payne
27,Troy Williams,Fairfield
28,Henry Sims,USA
29,Jarell Eddie,Lancaster
30,A.J. Price,Davenport
31,Sebastian Telfair," Coney Island, NY"
32,Francisco Garcia,Francisco Garcia
33,Patty Mills,Melbourne
34,Omer Asik,Turkey
35,Kawhi Leonard,Los Angeles
36,Denzel Valentine,"Westbrook, OK"
37,Quincy Miller,Quincy
38,DeAndre Liggins,Memphis
39,Hollis Thompson,USA
40,Grant Jerrett,Seattle
41,Josh McRoberts,
42,Gary Harris,Gary Harris
43,Jonas Jerebko,
44,John Henson,
45,Kendall Marshall,"Pendleton, IN"
46,PJ Tucker,Canada
47,Adreian Payne,Fayetteville
48,Nicolas Batum,NaN
49,Marc Gasol,Memphis
50,Chase Budinger,Minneota
51,Cristiano Felicio,Sao Paulo
52,Kevon Looney,Chicago
53,Rajon Rondo,Rajon
54,Pau Gasol,Barcelona
55,Martell Webster,"South Jordan, Utah"
56,Brandon Jennings,Compton
57,Dario Saric,Croatia
58,Blake Griffin,Oklahoma City
59,Malcolm Brogdon,Boise
60,Perry Jones III,Lexington
61,Kevin Durant,"Landmark, MD"
62,Joe Ingles,Joe
63,Ed Davis,Augusta
64,Solomon Hill,San Antonio
65,Deyonta Davis,"South Park, PA"
66,Shane Larkin,USA
