,Game ID,Player Name,Assists,Total rebounds,Blocks,Steals
0,0,Nikola Vucevic,-1,15,-1,-1
1,0,Al Horford,4,13,-1,2
2,0,Jeff Teague,7,-1,-1,2
3,1,Giannis Antetokounmpo,0,12,-1,-1
4,1,Zaza Pachulia,0,14,-1,-1
5,1,Brandon Knight,5,-1,-1,-1
6,1,Kendall Marshall,0,-1,-1,-1
7,1,JR Smith,0,7,-1,-1
8,1,Cole Aldrich,-1,7,-1,-1
9,1,Tim Hardaway Jr.,4,7,-1,-1
10,1,Jason Smith,-1,0,-1,-1
11,2,Marc Gasol,6,5,-1,-1
12,2,Courtney Lee,-1,-1,-1,-1
13,2,Mike Conley,11,-1,-1,-1
14,2,Markieff Morris,0,5,-1,-1
15,2,Goran Dragic,-1,-1,-1,-1
16,2,Eric Bledsoe,4,5,-1,-1
17,2,Isaiah Thomas,2,0,-1,-1
18,3,Greg Monroe,8,16,-1,-1
19,3,Andre Drummond,-1,8,-1,-1
20,3,Kentavious Caldwell-Pope,0,3,-1,2
21,3,D.J. Augustin,8,-1,-1,-1
22,3,DeMar DeRozan,4,6,-1,-1
23,3,Amir Johnson,4,2,-1,-1
24,3,Greivis Vasquez,-1,-1,-1,-1
25,3,Lou Williams,0,-1,-1,-1
26,4,Tobias Harris,4,4,-1,1
27,4,Marcus Morris,2,8,-1,-1
28,4,Andre Drummond,2,17,2,4
29,4,Reggie Jackson,8,2,-1,2
30,4,Jabari Parker,3,5,-1,-1
31,4,Miles Plumlee,0,6,2,1
32,4,Khris Middleton,2,7,1,1
33,4,Greg Monroe,3,7,1,1
34,5,LeBron James,4,4,-1,-1
35,5,Kevin Love,4,13,-1,-1
36,5,Kyrie Irving,4,4,-1,-1
37,5,Jabari Parker,18,-1,-1,-1
38,5,Michael Beasley,-1,-1,-1,-1
39,6,LeBron James,-1,-1,-1,-1
40,6,Kevin Love,-1,-1,-1,-1
41,6,JR Smith,-1,-1,-1,-1
42,6,Kyrie Irving,-1,-1,-1,-1
43,6,Kendrick Perkins,-1,-1,-1,-1
44,6,Kelly Olynyk,-1,-1,-1,-1
45,7,Giannis Antetokounmpo,-1,7,-1,-1
46,7,Jabari Parker,-1,-1,-1,-1
47,7,O.J. Mayo,-1,7,-1,-1
48,7,Jerryd Bayless,-1,-1,-1,-1
49,7,Kevin Durant,7,9,-1,-1
