,Player Name,birth_date,nationality
2,Joe Johnson,29.06.1981,American
5,DeAndre' Bembry,07.07.1994,American
6,Okaro White,13.08.1992,American
8,Glen Davis,29.01.1986,American
9,Raul Neto,19.05.1992,Brazilian
10,Kevin Martin,13.02.1983,Canadian
14,Emmanuel Mudiay,05.06.1996,Congolese
15,Erick Green,09.05.1991,American
16,E'Twaun Moore,25.02.1989,American
18,Sergey Karasev,26.09.1993,Russian
19,Evan Turner,27.10.1988,American
21,Zoran Dragic,22.06.1989,Slovenian
24,Jusuf Nurkic,23.08.1994,Bosnian
25,Joel Anthony,09.08.1982,Canadian
27,Troy Williams,12.04.1994,American
29,Jarell Eddie,30.10.1991,American
30,A.J. Price,28.10.1986,American
31,Sebastian Telfair,09.06.1985,American
32,Francisco Garcia,31.12.1981,Spanish
34,Omer Asik,04.07.1986,Turkish
36,Denzel Valentine,16.11.1993,American
38,DeAndre Liggins,31.03.1988,American
39,Hollis Thompson,03.04.1991,American
40,Grant Jerrett,08.07.1993,American
41,Josh McRoberts,28.02.1987,American
43,Jonas Jerebko,02.03.1987,Swedish
44,John Henson,28.02.1990,American
45,Kendall Marshall,19.08.1991,American
49,Marc Gasol,29.01.1985,Spanish
50,Chase Budinger,22.05.1988,American
51,Cristiano Felicio,07.06.1992,Brazilian
55,Martell Webster,04.12.1986,American
56,Brandon Jennings,23.09.1989,American
59,Malcolm Brogdon,11.12.1992,American
60,Perry Jones III,24.09.1991,American
63,Ed Davis,02.06.1989,American
65,Deyonta Davis,12.12.1996,American
66,Shane Larkin,02.10.1992,American/Turkish
67,CJ Watson,16.04.1984,American
69,Carl Landry,07.09.1983,American
70,Timofey Mozgov,16.07.1986,Russian
71,Reggie Williams,14.09.1986,American
73,Russ Smith,19.04.1991,American
74,J.J. Barea,26.06.1984,Puerto Rican
75,Troy Daniels,07.07.1991,American
77,Briante Weber,29.12.1992,American
78,Danny Granger,20.04.1983,American
81,Al-Farouq Aminu,17.09.1990,Nigerian
82,Alan Anderson,06.10.1982,American
83,Chris Copeland,17.03.1984,American
85,Tarik Black,22.11.1991,American
86,Chris McCullough,05.02.1995,American
89,Jason Terry,15.09.1977,American
91,Pero Antic,29.04.1982,Macedonian
92,Jordan McRae,28.03.1991,American
93,Jeff Taylor,12.05.1960,American
94,Domantas Sabonis,03.05.1996,Lithuanian
96,Mindaugas Kuzminskas,19.06.1989,Lithuanian
98,Larry Drew II,05.03.1990,American
99,Jerian Grant,22.10.1992,American
100,Yogi Ferrell,09.05.1993,American
101,Tristan Thompson,13.03.1991,Canadian
103,Markel Brown,29.01.1992,American
105,Malachi Richardson,20.01.1996,American
108,Shawn Marion,07.05.1978,American
111,Aron Baynes,09.12.1986,Australian
112,Larry Sanders,11.11.1988,American
113,Allen Crabbe,09.04.1992,American
115,Joey Dorsey,12.02.1983,American
119,Rashad Vaughn,16.08.1996,American
120,Jeff Ayres,29.04.1987,American
121,Shawn Long,01.01.1993,American
122,Sergio Rodriguez,12.06.1986,Spanish
123,Ian Mahinmi,05.11.1986,French
126,Anthony Morrow,27.09.1985,American
127,Karl-Anthony Towns,15.11.1995,Dominican-American
129,Corey Brewer,03.03.1986,American
130,Sonny Weems,07.07.1986,American
132,Ryan Hollins,10.10.1984,American
133,Jason Richardson,20.01.1976,American
134,Nikola Jokic,15.02.1995,Serbian
138,Kevin Garnett,19.05.1976,American
139,Chasson Randle,05.02.1993,American
144,Kyrie Irving,23.03.1992,Australian
146,Tony Parker,17.05.1982,French
147,Ian Clark,07.03.1991,American
148,Nene,I don't have information about Nene's birthdate.,Japanese
149,Ryan Kelly,30.05.1986,American
151,Festus Ezeli,23.10.1989,Nigerian
153,Evan Fournier,29.10.1992,French
154,Channing Frye,17.05.1983,American
155,Kenneth Faried,19.11.1989,American
156,Dante Exum,13.07.1995,Australian
157,Andrew Bogut,28.11.1984,Australian
158,Brandan Wright,05.10.1987,American
161,Ivica Zubac,18.03.1997,Croatian
162,O.J. Mayo,05.11.1987,American
163,Brian Roberts,10.10.1977,American
164,Caron Butler,13.03.1980,American
165,Arron Afflalo,15.10.1985,American
168,Pablo Prigioni,17.05.1977,Argentine
170,James Michael McAdoo,04.01.1993,American
171,Tyler Ennis,03.06.1994,Canadian
172,Pierre Jackson,29.08.1991,American
174,Giannis Antetokounmpo,06.12.1994,Greek
177,Thon Maker,25.02.1997,Australian-Sudanese
178,Elijah Millsap,12.08.1987,American
181,Sheldon McClellan,21.12.1992,American
182,Jonathon Simmons,14.09.1989,American
184,Zaza Pachulia,10.02.1984,Georgian
185,Beno Udrih,05.07.1982,Slovenian
187,Chandler Parsons,25.10.1988,American
191,Will Bynum,06.01.1983,American
193,Kostas Papanikolaou,31.07.1990,Greek
196,Jeremy Lin,23.08.1988,American-Taiwanese
197,Marcus Thornton,05.02.1987,American
199,Darren Collison,23.08.1987,American
201,Manu Ginobili,28.07.1977,Argentine
204,Reggie Evans,10.05.1980,American
207,T.J. McConnell,25.03.1992,American
210,Vince Carter,26.01.1977,American
211,Jabari Parker,15.03.1995,American
213,Amar'e Stoudemire,19.11.1982,American
215,Robbie Hummel,08.03.1989,American
216,Tyler Hansbrough,09.11.1985,American
217,Matt Bonner,05.04.1980,American
218,Archie Goodwin,29.08.1907,American
219,Kenyon Martin,12.12.1977,American
221,Lou Amundson,07.12.1982,American
222,Nemanja Bjelica,09.05.1988,Serbian
223,Andre Miller,30.01.1976,American
225,KJ McDaniels,09.02.1993,American
227,PJ Hairston,11.12.1992,American
228,Sasha Vujacic,08.03.1984,Slovenian
229,Nick Calathes,07.02.1989,Greek
232,Shawne Williams,01.02.1986,American
233,Furkan Aldemir,09.08.1991,Turkish
235,Cole Aldrich,31.10.1988,American
236,Brandon Rush,07.07.1985,American
237,Nikola Mirotic,11.02.1991,Montenegrin
238,Ronnie Price,05.06.1983,American
240,Willie Cauley-Stein,18.08.1993,American
246,Dwight Buycks,06.03.1991,American
248,Cleanthony Early,17.04.1991,American
250,Mike Scott,16.07.1988,American
251,Gary Neal,04.10.1984,American
252,Ben Gordon,04.04.1983,English
253,Miles Plumlee,01.09.1988,American
254,Sam Dekker,06.05.1994,American
255,Marcelo Huertas,25.05.1983,Brazilian
256,Gigi Datome,27.11.1987,Italian
258,Tyler Ulis,05.01.1996,American
260,Kirk Hinrich,02.01.1981,American
261,Paul Zipser,18.02.1994,German
263,Luis Scola,04.04.1980,Argentine
264,Michael Carter-Williams,10.10.1991,American
266,Kosta Koufos,24.02.1989,Greek
267,Dorell Wright,26.12.1985,American
271,Serge Ibaka,18.09.1989,Congolese
272,Courtney Lee,30.10.1985,American
273,Gal Mekel,22.03.1988,Israeli
275,Jarell Martin,24.05.1994,American
276,Randy Foye,24.09.1983,American
278,Brandon Bass,30.04.1985,American
279,Anthony Tolliver,01.06.1985,American
284,Lance Thomas,24.04.1987,American
285,Nate Wolters,15.05.1991,American
286,Michael Kidd-Gilchrist,09.09.1993,American
287,Bojan Bogdanovic,18.04.1989,Croatian
288,JJ Hickson,08.09.1988,American
289,Kay Felder,29.04.1995,American
291,Marco Belinelli,25.03.1986,Italian
293,Ben McLemore,11.02.1993,American
294,Rodney Stuckey,21.04.1986,American
295,Robert Sacre,06.06.1989,American
296,Landry Fields,27.06.1988,American
299,James Ennis III,01.07.1990,American
301,Nicolas Brussino,02.03.1993,Argentine
302,Lance Stephenson,05.09.1990,American
303,Bryce Dejean-Jones,08.08.1992,American
305,Amir Johnson,06.05.1987,American
312,Jorge Gutierrez,01.05.1998,Mexican
317,Gerald Henderson,09.12.1987,American
318,Buddy Hield,17.12.1992,Bahamian
319,CJ Miles,22.03.1987,American
320,Tyson Chandler,02.10.1982,American
321,Wilson Chandler,10.05.1987,American
322,Justin Anderson,11.11.1993,American
324,Bernard James,02.02.1985,American
326,Mario Chalmers,19.05.1986,American
328,Salah Mejri,17.06.1986,Tunisian
329,Damien Inglis,20.05.1995,French
330,Ty Lawson,03.11.1987,American
333,Luke Babbitt,29.06.1989,American
338,Jared Dudley,22.07.1985,American
340,Joe Young,27.07.1992,American
341,Cheick Diallo,13.09.1996,Malian
343,Andrew Harrison,28.08.1993,British
345,Travis Wear,10.09.1990,American
346,James Young,01.08.1995,American
