,Game ID,Wins,Losses
0,0,13.0,-1.0
1,1,11.0,27.0
2,2,24.0,2.0
3,3,31.0,-1.0
4,4,41.0,
5,5,22.0,-1.0
6,6,13.0,22.0
7,7,,1.0
8,9,-1.0,-1.0
9,10,,16.0
10,11,-1.0,-1.0
11,12,36.0,
12,13,24.0,
13,14,-1.0,-1.0
14,15,14.0,4.0
15,16,13.0,2.0
16,17,8.0,13.0
17,18,11.0,8.0
18,19,-1.0,-1.0
19,20,9.0,2.0
20,21,28.0,-1.0
21,22,-1.0,
22,23,23.0,-1.0
23,24,8.0,2.0
24,25,3.0,
25,26,-1.0,9.0
26,27,42.0,
27,28,63.0,
28,29,32.0,
29,30,-1.0,
30,31,50.0,-1.0
31,32,13.0,3.0
32,33,26.0,31.0
33,34,19.0,46.0
34,35,2.0,
35,36,37.0,32.0
36,37,1.0,30.0
37,38,29.0,31.0
38,40,,-1.0
39,41,34.0,
40,42,10.0,-1.0
41,43,24.0,23.0
42,44,-1.0,-1.0
43,45,0.0,11.0
44,46,,30.0
45,47,46.0,26.0
46,48,,86.0
47,49,,
48,50,13.0,22.0
49,51,19.0,41.0
50,52,9.0,6.0
51,53,-1.0,9.0
52,54,,18.0
53,55,12.0,49.0
54,56,-1.0,-1.0
55,57,35.0,3.0
56,58,39.0,38.0
57,59,14.0,24.0
58,60,0.0,4.0
59,61,1.0,9.0
60,62,27.0,13.0
61,63,-1.0,
62,64,18.0,27.0
63,65,-1.0,-1.0
64,66,21.0,28.0
65,67,-1.0,
66,69,,11.0
67,70,12.0,
68,71,33.0,7.0
69,72,5.0,1.0
70,73,46.0,-1.0
71,74,10.0,11.0
72,75,16.0,45.0
73,76,21.0,-1.0
74,77,,
75,78,82.0,17.0
76,79,-1.0,-1.0
77,80,20.0,13.0
78,81,-1.0,
79,83,,17.0
80,84,11.0,
81,85,-1.0,
82,86,18.0,23.0
83,87,35.0,16.0
84,88,-1.0,
85,89,,28.0
86,90,41.0,8.0
87,91,-1.0,
88,92,,
89,93,9.0,
90,94,,19.0
91,95,-1.0,-1.0
92,96,,4.0
93,97,19.0,8.0
94,98,31.0,13.0
95,99,,-1.0
96,100,-1.0,23.0
97,101,7.0,
98,102,22.0,21.0
99,103,21.0,53.0
100,104,63.0,3.0
101,105,25.0,
102,106,5.0,4.0
103,107,-1.0,-1.0
104,108,28.0,24.0
105,109,37.0,3.0
106,110,30.0,19.0
107,111,4.0,34.0
108,112,-1.0,8.0
109,113,-1.0,101.0
110,114,35.0,12.0
111,115,,41.0
112,116,18.0,37.0
113,117,44.0,-1.0
114,118,3.0,3.0
115,119,18.0,13.0
116,120,12.0,19.0
117,121,-1.0,
118,124,,3.0
119,125,-1.0,50.0
120,126,-1.0,33.0
121,127,19.0,46.0
122,128,18.0,-1.0
123,129,9.0,11.0
124,130,12.0,15.0
125,131,22.0,-1.0
126,132,11.0,13.0
127,133,3.0,7.0
128,134,29.0,20.0
129,135,31.0,33.0
130,136,8.0,
131,137,29.0,27.0
132,138,,-1.0
133,139,-1.0,5.0
134,140,,38.0
135,141,,-1.0
136,142,36.0,
137,143,40.0,-1.0
138,144,,11.0
139,145,21.0,-1.0
140,146,50.0,5.0
141,147,10.0,-1.0
142,148,,10.0
143,149,4.0,11.0
144,151,94.0,39.0
145,152,27.0,22.0
146,153,,-1.0
147,154,,27.0
148,156,12.0,15.0
149,157,7.0,36.0
150,158,3.0,6.0
151,159,16.0,
152,160,3.0,1.0
153,161,1.0,
154,162,,
155,163,25.0,-1.0
156,164,,
157,165,5.0,35.0
158,166,11.0,-1.0
159,167,19.0,24.0
160,168,17.0,13.0
161,169,33.0,
162,170,14.0,
163,171,38.0,
164,172,10.0,41.0
165,173,,
166,174,,
167,175,43.0,28.0
168,176,38.0,-1.0
169,177,35.0,4.0
170,178,-1.0,
171,179,-1.0,
172,180,5.0,15.0
173,181,,
174,182,-1.0,13.0
175,183,,-1.0
176,184,2.0,2.0
177,185,-1.0,22.0
178,186,,45.0
179,187,1.0,-1.0
180,188,,27.0
181,189,-1.0,2.0
182,190,24.0,24.0
183,191,13.0,-1.0
184,193,37.0,12.0
185,194,-1.0,-1.0
186,195,39.0,21.0
187,196,17.0,
188,197,1.0,-1.0
189,198,41.0,-1.0
190,200,,37.0
191,201,18.0,-1.0
192,202,13.0,24.0
193,203,30.0,17.0
194,204,10.0,-1.0
195,205,7.0,37.0
196,206,101.0,94.0
197,207,,28.0
198,208,2.0,2.0
199,209,31.0,
200,210,17.0,
201,212,9.0,36.0
202,213,7.0,1.0
203,215,24.0,22.0
204,216,,20.0
205,217,45.0,17.0
206,218,,10.0
207,219,,
208,220,-1.0,
209,221,-1.0,1.0
210,222,,49.0
211,223,40.0,-1.0
212,224,24.0,35.0
213,225,9.0,-1.0
214,226,,52.0
215,227,20.0,40.0
216,228,9.0,10.0
217,229,12.0,-1.0
218,230,,
219,231,3.0,3.0
220,232,,41.0
221,233,,19.0
222,234,7.0,7.0
223,235,,
224,236,42.0,13.0
225,237,,-1.0
226,238,33.0,
227,239,24.0,
228,240,-1.0,0.0
229,241,33.0,29.0
230,242,35.0,42.0
231,243,,20.0
232,244,-1.0,27.0
233,245,21.0,4.0
234,246,0.0,25.0
235,247,3.0,
236,248,-1.0,22.0
237,249,-1.0,12.0
238,250,16.0,7.0
239,251,34.0,50.0
240,252,46.0,11.0
241,253,-1.0,-1.0
242,254,3.0,1.0
243,256,,
244,257,22.0,39.0
245,258,80.0,39.0
246,259,12.0,-1.0
247,260,,
248,261,-1.0,-1.0
249,262,-1.0,0.0
250,263,3.0,36.0
251,264,11.0,
252,265,-1.0,
253,266,-1.0,19.0
254,268,35.0,10.0
255,269,,13.0
256,270,49.0,
257,271,-1.0,-1.0
258,272,2.0,33.0
259,273,,97.0
260,275,15.0,23.0
261,276,14.0,10.0
262,277,41.0,
263,278,7.0,
264,279,,20.0
265,280,20.0,21.0
266,281,,
267,282,6.0,
268,283,,37.0
269,284,41.0,10.0
270,285,21.0,4.0
271,286,-1.0,
272,287,-1.0,
273,288,,-1.0
274,289,1.0,63.0
275,291,8.0,38.0
276,292,1.0,21.0
277,293,11.0,
278,295,-1.0,23.0
279,296,-1.0,32.0
280,297,9.0,-1.0
