,Game ID,Wins,Losses
0,0.0,19,41
1,1.0,5,31
2,2.0,3,2
3,3.0,17,28
4,4.0,24,35
5,5.0,13,3
6,6.0,40,0
7,7.0,11,12
8,9.0,14,53
9,10.0,-1,-1
10,11.0,0,1
11,12.0,45,34
12,13.0,15,58
13,14.0,46,36
14,15.0,11,17
15,16.0,22,29
16,17.0,2,1
17,18.0,,
18,19.0,-1,-1
19,20.0,9,6
20,21.0,-1,-1
21,22.0,5,28
22,23.0,34,33
23,24.0,8,10
24,25.0,22,18
25,26.0,37,33
26,27.0,19,21
27,28.0,23,34
28,29.0,17,32
29,30.0,19,23
30,31.0,19,8
31,32.0,8,36
32,33.0,3,13
33,34.0,3,1
34,35.0,6,8
35,36.0,14,49
36,37.0,0,2
37,38.0,5,1
38,40.0,-1,-1
39,41.0,5,4
40,42.0,34,23
41,43.0,32,18
42,44.0,-1,-1
43,45.0,24,22
44,46.0,,
45,47.0,17,38
46,48.0,9,37
47,49.0,3,10
48,50.0,,
49,51.0,,
50,,-1,-1
51,,15,50
