,Game ID,Team Name,wins,losses,total_points
0,0.0,Atlanta Hawks,46,12,95
1,0.0,Orlando Magic,19,41,88
2,1.0,Milwaukee Bucks,18,17,95
3,1.0,New York Knicks,-1,-1,-1
4,2.0,Grizzlies,50,-1,-1
5,2.0,Suns,-1,2,-1
6,3.0,Toronto Raptors,29,15,114
7,3.0,Detroit Pistons,-1,-1,-1
8,4.0,Detroit Pistons,30,29,102
9,4.0,Milwaukee Bucks,-1,-1,-1
10,5.0,Milwaukee Bucks,8,8,118
11,5.0,Cleveland Cavaliers,-1,-1,-1
12,6.0,Cleveland Cavaliers,40,-1,-1
13,6.0,Boston Celtics,-1,4,-1
14,7.0,Oklahoma City Thunder,8,13,114
15,7.0,Milwaukee Bucks,11,12,101
16,9.0,New York Knicks,-1,-1,-1
17,9.0,Los Angeles Lakers,-1,-1,-1
18,10.0,Raptors,-1,-1,-1
19,10.0,Bucks,-1,-1,-1
20,11.0,Memphis Grizzlies,-1,-1,-1
21,11.0,Minnesota Timberwolves,-1,-1,-1
22,12.0,Brooklyn Nets,-1,-1,-1
23,12.0,Washington Wizards,-1,-1,-1
24,13.0,Washington Wizards,45,34,80
25,13.0,Los Angeles Lakers,-1,-1,-1
26,14.0,Cleveland Cavaliers,-1,-1,-1
27,14.0,Washington Wizards,36,37,101
28,15.0,Los Angeles Lakers,-1,-1,-1
29,15.0,Denver Nuggets,-1,-1,-1
30,16.0,Dallas Mavericks,-1,-1,-1
31,16.0,Portland Trail Blazers,-1,-1,-1
32,17.0,Miami Heat,-1,-1,-1
33,17.0,Toronto Raptors,-1,-1,-1
34,18.0,Clippers,-1,-1,-1
35,19.0,Magic,-1,-1,-1
36,19.0,Pacers,-1,-1,-1
37,20.0,Memphis Grizzlies,-1,-1,-1
38,20.0,Dallas Mavericks,-1,-1,-1
39,21.0,Rockets,-1,-1,-1
40,21.0,Mavericks,9,6,96
41,22.0,Nuggets,-1,-1,-1
42,22.0,Timberwolves,-1,-1,-1
43,23.0,New Orleans Pelicans,-1,-1,-1
44,23.0,Milwaukee Bucks,-1,-1,-1
45,24.0,Los Angeles Clippers,-1,-1,-1
46,24.0,New Orleans Pelicans,37,30,-1
47,25.0,Washington Wizards,-1,-1,-1
48,25.0,Indiana Pacers,-1,-1,-1
49,26.0,Memphis Grizzlies,-1,-1,-1
50,26.0,Utah Jazz,-1,-1,-1
51,27.0,Portland Trail Blazers,-1,-1,-1
52,27.0,Washington Wizards,-1,-1,-1
53,28.0,Oklahoma City Thunder,-1,-1,-1
54,28.0,New York Knicks,-1,-1,-1
55,29.0,Utah Jazz,-1,-1,-1
56,29.0,Sacramento Kings,-1,-1,-1
57,30.0,Charlotte Hornets,-1,-1,-1
58,30.0,Utah Jazz,18,33,102
59,31.0,Golden State Warriors,-1,-1,-1
60,31.0,Cleveland Cavaliers,-1,-1,-1
61,32.0,Memphis Grizzlies,-1,-1,-1
62,32.0,Philadelphia 76ers,-1,-1,-1
63,33.0,San Antonio Spurs,-1,-1,-1
64,33.0,Dallas Mavericks,-1,-1,-1
65,34.0,Houston Rockets,-1,-1,-1
66,34.0,Miami Heat,-1,-1,-1
67,35.0,Sacramento Kings,-1,-1,-1
68,35.0,Oklahoma City Thunder,-1,-1,-1
69,36.0,Phoenix Suns,-1,-1,-1
70,36.0,Minnesota Timberwolves,-1,-1,-1
71,37.0,Philadelphia 76ers,-1,-1,-1
72,37.0,Utah Jazz,-1,-1,-1
73,38.0,Sacramento Kings,-1,-1,-1
74,38.0,Toronto Raptors,-1,-1,-1
75,40.0,Suns,-1,-1,-1
76,40.0,Kings,1,-1,-1
77,41.0,Chicago Bulls,-1,-1,-1
78,41.0,Los Angeles Clippers,-1,-1,-1
79,42.0,Memphis Grizzlies,-1,-1,-1
80,42.0,Brooklyn Nets,-1,-1,-1
81,43.0,Miami Heat,-1,-1,-1
82,43.0,Houston Rockets,-1,-1,-1
83,44.0,Pelicans,-1,-1,-1
84,44.0,Detroit,-1,-1,-1
85,45.0,Denver Nuggets,-1,-1,-1
86,45.0,New Orleans Pelicans,-1,-1,-1
87,46.0,Warriors,-1,-1,-1
88,46.0,Lakers,-1,-1,-1
89,47.0,Houston Rockets,-1,-1,-1
90,47.0,Phoenix Suns,-1,-1,-1
91,48.0,Portland Trail Blazers,-1,-1,-1
92,48.0,Los Angeles Lakers,,,
93,49.0,Atlanta Hawks,-1,-1,-1
94,49.0,Detroit Pistons,-1,-1,-1
95,50.0,New York Knicks,-1,-1,-1
96,50.0,Portland Trail Blazers,20,26,121
97,51.0,Bulls,-1,-1,-1
98,51.0,Knicks,-1,-1,-1
99,52.0,Knicks,7,7,-1
100,52.0,Bucks,-1,-1,-1
101,53.0,Toronto Raptors,-1,-1,-1
102,53.0,Orlando Magic,-1,-1,-1
103,54.0,Bulls,-1,-1,-1
104,54.0,Celtics,-1,-1,-1
105,55.0,Houston Rockets,-1,-1,-1
106,55.0,Dallas Mavericks,-1,-1,-1
107,56.0,Denver,-1,-1,-1
