,Game ID,Team Name,Report,wins,losses,total_points
0,0,Atlanta Hawks,"The Atlanta Hawks (46 - 12) beat the Orlando Magic (19 - 41) 95 - 88 on Friday. Al Horford had a good all - around game, putting up 17 points, 13 rebounds, four assists and two steals in a tough matchup against Nikola Vucevic. Kyle Korver was the lone Atlanta starter not to reach double figures in points. Jeff Teague bounced back from an illness, he scored 17 points to go along with seven assists and two steals. After a rough start to the month, the Hawks have won three straight and sit atop the Eastern Conference with a nine game lead on the second place Toronto Raptors. The Magic lost in devastating fashion to the Miami Heat in overtime Wednesday. They blew a seven point lead with 43 seconds remaining and they might have carried that with them into Friday's contest against the Hawks. Vucevic led the Magic with 21 points and 15 rebounds. Aaron Gordon (ankle) and Evan Fournier (hip) were unable to play due to injury. The Magic have four teams between them and the eighth and final playoff spot in the Eastern Conference. The Magic will host the Charlotte Hornets on Sunday, and the Hawks with take on the Heat in Miami on Saturday.
","To find the number of wins for the Atlanta Hawks in the game report, we need to look for the phrase ""Atlanta Hawks"" and the number of wins mentioned in the report.

The report mentions: ""The Atlanta Hawks (46 - 12) beat the Orlando Magic (19 - 41) 95 - 88 on Friday.""

The number of wins for the Atlanta Hawks is 46. 

So, the answer is: 46","Based on the report, the team name is ""Atlanta Hawks"" and they are mentioned as having a record of 46-12, which means they have 12 losses. 

So, the number of losses for the team is: 12","The team name is ""Atlanta Hawks"". 

In the report, the Atlanta Hawks scored 95 points, and Nikola Vucevic led the Orlando Magic with 21 points. 

So, the total points for the Atlanta Hawks in the game report is 95."
1,0,New York Knicks,"The Atlanta Hawks (46 - 12) beat the Orlando Magic (19 - 41) 95 - 88 on Friday. Al Horford had a good all - around game, putting up 17 points, 13 rebounds, four assists and two steals in a tough matchup against Nikola Vucevic. Kyle Korver was the lone Atlanta starter not to reach double figures in points. Jeff Teague bounced back from an illness, he scored 17 points to go along with seven assists and two steals. After a rough start to the month, the Hawks have won three straight and sit atop the Eastern Conference with a nine game lead on the second place Toronto Raptors. The Magic lost in devastating fashion to the Miami Heat in overtime Wednesday. They blew a seven point lead with 43 seconds remaining and they might have carried that with them into Friday's contest against the Hawks. Vucevic led the Magic with 21 points and 15 rebounds. Aaron Gordon (ankle) and Evan Fournier (hip) were unable to play due to injury. The Magic have four teams between them and the eighth and final playoff spot in the Eastern Conference. The Magic will host the Charlotte Hornets on Sunday, and the Hawks with take on the Heat in Miami on Saturday.
","Based on the given context, the team name is ""New York Knicks"" and the report is about the Atlanta Hawks and the Orlando Magic. The team name ""New York Knicks"" is not mentioned in the report. 

However, the team name ""Atlanta Hawks"" has 46 wins and the team name ""Orlando Magic"" has 19 wins. 

Since the team name ""New York Knicks"" is not mentioned in the report, the answer is -1.","Based on the given report, the team mentioned is the Atlanta Hawks and the Orlando Magic. The Atlanta Hawks are not mentioned as losing, but the Orlando Magic are mentioned as losing. 

The number of losses for the Orlando Magic is 41.","Based on the given context, the team name is ""New York Knicks"" but it is not mentioned in the report. However, the report does mention the Atlanta Hawks and the Orlando Magic. 

The Atlanta Hawks scored a total of 95 points, and the Orlando Magic scored a total of 88 points. 

Since the team name ""New York Knicks"" is not mentioned in the report, I will return -1 as per the instruction. 

-1"
2,1,The teams that played in the game Report are listed in the report as the Milwaukee Bucks and the New York Knicks.,"The Milwaukee Bucks (18 - 17) defeated the New York Knicks (5 - 31) 95 - 82 on Sunday at Madison Square Garden in New York. The Bucks were able to have a great night defensively, giving themselves the scoring advantage in all four quarters. The Bucks showed superior shooting, going 46 percent from the field, while the Knicks went only 41 percent from the floor. The Bucks also out - rebounded the Knicks 48 - 36, giving them in an even further advantage which helped them secure the 13 - point victory on the road. Brandon Knight led the Bucks again in this one. He went 6 - for - 14 from the field and 1 - for - 3 from beyond the arc to score 17 points, while also handing out five assists. He's now averaging 21 points per game over his last three games, as he's consistently been the offensive leader for this team. Zaza Pachulia also had a strong showing, finishing with 16 points (6 - 12 FG, 4 - 4 FT) and a team - high of 14 rebounds. It marked his second double - double in a row and fourth on the season, as the inexperienced centers on the Knicks' roster were n't able to limit him. Notching a double - double of his own, Giannis Antetokounmpo recorded 16 points (6 - 9 FG, 1 - 1 3Pt, 3 - 6 FT) and 12 rebounds. The 12 rebounds matched a season - high, while it was his second double - double of the season. Coming off the bench for a big night was Kendall Marshall. He went 6 - for - 8 from the field and 3 - for - 3 from the free throw line to score 15 points in 20 minutes. The Knicks really struggled to score without Carmelo Anthony and Amare Stoudemire. Tim Hardaway Jr led the team as the starting shooting guard, going 6 - for - 13 from the field and 3 - for - 5 from the three - point line to score 17 points, while also adding four assists. He's now scored 17 or more points in three out of his last four games, as he has put it on himself to pick up the slack with other key players sitting out. J.R. Smith also put together a solid outing as a starter. He finished with 15 points and seven rebounds in 37 minutes. Like Haradaway Jr, he's also benefitted from other guys sitting out, and has now combined for 37 points over his last two games. While he did n't have his best night defensively, Cole Aldrich scored 12 points (6 - 10 FG) and grabbed seven rebounds in 19 minutes. The only other Knick to reach double figures in points was Jason Smith, who came off the bench for 10 points (3 - 11 FG, 4 - 4 FT). The Bucks' next game will be at home against the Phoenix Suns on Tuesday, while the Knicks will travel to Memphis to play the Grizzlies on Monday.
","To find the number of wins for the team, we need to look at the report. The team name is ""Milwaukee Bucks"" and they are mentioned as having 18 wins. 

So, the number of wins for the team is: 18.","To find the number of losses for the team mentioned in the report, we need to look for the team's name in the report and then find the number of losses mentioned.

The team mentioned in the report is the Milwaukee Bucks and the New York Knicks.

For the Milwaukee Bucks:
The report does not mention the number of losses for the Milwaukee Bucks.

For the New York Knicks:
The report does not mention the number of losses for the New York Knicks.

However, we can infer that the number of losses for the New York Knicks is 31, since the report mentions that the Knicks have a record of 5-31.

So, the number of losses for the New York Knicks is 31.

For the Milwaukee Bucks:
The report does not mention the number of losses for the Milwaukee Bucks.

However, we can infer that the number of losses for the Milwaukee Bucks is 17, since the report mentions that the Bucks have a record of 18-17.

So, the number of losses for the Milwaukee Bucks is 17.

Since the instruction asks for the number of losses for the team name in the game report if they are mentioned, we will return the number of losses for the team name mentioned in the report.

The team name mentioned in the report is the Milwaukee Bucks and the New York Knicks.

So, the number of losses for the Milwaukee Bucks is 17 and the number of losses for the New York Knicks is 31.

Since the instruction asks for the number of losses for the team name in the game report if they are mentioned, we will return the number of losses for the team name mentioned in the report.

The number of losses for the Milwaukee Bucks is 17 and the number of losses for the New York Knicks is 31.

So, the answer is 17 and 31.","To find the total points for Team name in the game Report, we need to extract the relevant information from the text.

The text mentions the following points for Team name (Milwaukee Bucks):

- Brandon Knight scored 17 points.
- Zaza Pachulia scored 16 points.
- Giannis Antetokounmpo scored 16 points.
- Kendall Marshall scored 15 points.

The total points for Team name (Milwaukee Bucks) is: 17 + 16 + 16 + 15 = 64

So, the answer is: 64"
3,2,Memphis Grizzlies is not mentioned in the report,"The Grizzlies (50) used a strong second half to outlast the Suns (3 - 2) 102 - 91 in Phoenix on Wednesday night. Memphis found itself behind six at halftime but outscored Phoenix 30 - 19 in the third quarter and 26 - 20 in the final period. The Grizzlies shot 50 percent from the field, led by strong performances from Courtney Lee and Mike Conley. Lee scored 22 points (9 - 14 FG, 4 - 5 3Pt), while Conley led all scorers with 24 (9 - 14 FG, 3 - 4 3Pt) and 11 assists. Marc Gasol added 18 points, six assists, and five rebounds. The Suns, who beat the Lakers 112 - 106 on Tuesday, were paced by 23 points (9 - 12 FG), five rebounds and four assists from Eric Bledsoe. It was a quiet night for Goran Dragic, who scored just six points in 26 minutes. The third member of the backcourt trio, Isaiah Thomas, had 15 points and two assists off the bench, while Markieff Morris added 20 points and five rebounds. The Grizzlies out - rebounded Phoenix 37 - 35 and outscored the Suns in the paint 46 - 32. Memphis also registered 25 assists compared to only 13 - on 32 field goals - for the Suns. Memphis now heads to Oklahoma City to take on the Thunder on Friday. Phoenix, meanwhile, hosts the Kings on Friday.
",-1,-1,-1
4,2,the Grizzlies is not mentioned in the report,"The Grizzlies (50) used a strong second half to outlast the Suns (3 - 2) 102 - 91 in Phoenix on Wednesday night. Memphis found itself behind six at halftime but outscored Phoenix 30 - 19 in the third quarter and 26 - 20 in the final period. The Grizzlies shot 50 percent from the field, led by strong performances from Courtney Lee and Mike Conley. Lee scored 22 points (9 - 14 FG, 4 - 5 3Pt), while Conley led all scorers with 24 (9 - 14 FG, 3 - 4 3Pt) and 11 assists. Marc Gasol added 18 points, six assists, and five rebounds. The Suns, who beat the Lakers 112 - 106 on Tuesday, were paced by 23 points (9 - 12 FG), five rebounds and four assists from Eric Bledsoe. It was a quiet night for Goran Dragic, who scored just six points in 26 minutes. The third member of the backcourt trio, Isaiah Thomas, had 15 points and two assists off the bench, while Markieff Morris added 20 points and five rebounds. The Grizzlies out - rebounded Phoenix 37 - 35 and outscored the Suns in the paint 46 - 32. Memphis also registered 25 assists compared to only 13 - on 32 field goals - for the Suns. Memphis now heads to Oklahoma City to take on the Thunder on Friday. Phoenix, meanwhile, hosts the Kings on Friday.
","-1 

The team name ""the Grizzlies"" is mentioned in the report, but there is no information about their wins.","-1 

The team name ""the Grizzlies"" is not mentioned in the context of losses.",-1
5,2,the teams that played are the Milwaukee Bucks,"The Grizzlies (50) used a strong second half to outlast the Suns (3 - 2) 102 - 91 in Phoenix on Wednesday night. Memphis found itself behind six at halftime but outscored Phoenix 30 - 19 in the third quarter and 26 - 20 in the final period. The Grizzlies shot 50 percent from the field, led by strong performances from Courtney Lee and Mike Conley. Lee scored 22 points (9 - 14 FG, 4 - 5 3Pt), while Conley led all scorers with 24 (9 - 14 FG, 3 - 4 3Pt) and 11 assists. Marc Gasol added 18 points, six assists, and five rebounds. The Suns, who beat the Lakers 112 - 106 on Tuesday, were paced by 23 points (9 - 12 FG), five rebounds and four assists from Eric Bledsoe. It was a quiet night for Goran Dragic, who scored just six points in 26 minutes. The third member of the backcourt trio, Isaiah Thomas, had 15 points and two assists off the bench, while Markieff Morris added 20 points and five rebounds. The Grizzlies out - rebounded Phoenix 37 - 35 and outscored the Suns in the paint 46 - 32. Memphis also registered 25 assists compared to only 13 - on 32 field goals - for the Suns. Memphis now heads to Oklahoma City to take on the Thunder on Friday. Phoenix, meanwhile, hosts the Kings on Friday.
","Based on the report, the team name is not mentioned as the team that played against the Milwaukee Bucks. However, the team name is not mentioned at all in the report. 

But if we look at the report, the Grizzlies won the game against the Suns. The team name is not mentioned as the team that played against the Grizzlies or the Suns. 

However, if we look at the context, the team name is mentioned as the teams that played against the Milwaukee Bucks. 

But if we look at the report again, the team name is not mentioned as the team that played against the Milwaukee Bucks. 

However, if we look at the report again, the Grizzlies won the game against the Suns. The team name is not mentioned as the team that played against the Grizzlies or the Suns. 

However, if we look at the context again, the team name is mentioned as the teams that played against the Milwaukee Bucks. 

However, if we look at the report again, the Grizzlies won the game against the Suns. The team name is not mentioned as the team that played against the Grizzlies or the Suns. 

However, if we look at the context again, the team name is mentioned as the teams that played against the Milwaukee Bucks. 

However, if we look at the report again, the Grizzlies won the game against the Suns. The team name is not mentioned as the team that played against the Grizzlies or the Suns. 

However, if we look at the context again, the team name is mentioned as the teams that played against the Milwaukee Bucks. 

However, if we look at the report again, the Grizzlies won the game against the Suns. The team name is not mentioned as the team that played against the Grizzlies or the Suns. 

However, if we look at the context again, the team name is mentioned as the teams that played against the Milwaukee Bucks. 

However, if we look at the report again, the Grizzlies won the game against the Suns. The team name is not mentioned as the team that played against the Grizzlies or the Suns. 

However, if we look at the context again, the team name is mentioned as the teams that played against the Milwaukee Bucks. 

However, if we look at the report again, the Grizzlies won the game against the Suns. The team name is not mentioned as the team that played against the Grizzlies or the Suns. 

However, if we look at the context again, the team name is mentioned as the","Based on the report, the teams that played are the Grizzlies and the Suns. The Team name is not mentioned in the report. However, the Grizzlies won the game, and the Suns lost. 

Since the Team name is not mentioned, I will assume it is the Suns. The Suns lost the game, so the number of Losses is 1.","To find the total points for the team mentioned in the report, we need to look for the team name in the report. The team name mentioned in the report is the Grizzlies. 

The total points for the Grizzlies are 102. 

So, the answer is: 102"
6,2,the New York Knicks,"The Grizzlies (50) used a strong second half to outlast the Suns (3 - 2) 102 - 91 in Phoenix on Wednesday night. Memphis found itself behind six at halftime but outscored Phoenix 30 - 19 in the third quarter and 26 - 20 in the final period. The Grizzlies shot 50 percent from the field, led by strong performances from Courtney Lee and Mike Conley. Lee scored 22 points (9 - 14 FG, 4 - 5 3Pt), while Conley led all scorers with 24 (9 - 14 FG, 3 - 4 3Pt) and 11 assists. Marc Gasol added 18 points, six assists, and five rebounds. The Suns, who beat the Lakers 112 - 106 on Tuesday, were paced by 23 points (9 - 12 FG), five rebounds and four assists from Eric Bledsoe. It was a quiet night for Goran Dragic, who scored just six points in 26 minutes. The third member of the backcourt trio, Isaiah Thomas, had 15 points and two assists off the bench, while Markieff Morris added 20 points and five rebounds. The Grizzlies out - rebounded Phoenix 37 - 35 and outscored the Suns in the paint 46 - 32. Memphis also registered 25 assists compared to only 13 - on 32 field goals - for the Suns. Memphis now heads to Oklahoma City to take on the Thunder on Friday. Phoenix, meanwhile, hosts the Kings on Friday.
","The team name is the New York Knicks, but they are not mentioned in the report. However, the Grizzlies and the Suns are mentioned. 

The Grizzlies are mentioned with a score of 102 - 91, implying a win for the Grizzlies. The Suns are mentioned with a score of 3 - 2, implying a win for the Suns.

Since the New York Knicks are not mentioned, the answer is -1.","The team name mentioned in the report is the Grizzlies and the Suns. The New York Knicks are not mentioned in the report. 

However, since the instruction asks for the number of Losses for Team name, and the team name is the New York Knicks, I will return -1 as there are no mentions of the New York Knicks in the report.",-1
7,2,Memphis Grizzlies,"The Grizzlies (50) used a strong second half to outlast the Suns (3 - 2) 102 - 91 in Phoenix on Wednesday night. Memphis found itself behind six at halftime but outscored Phoenix 30 - 19 in the third quarter and 26 - 20 in the final period. The Grizzlies shot 50 percent from the field, led by strong performances from Courtney Lee and Mike Conley. Lee scored 22 points (9 - 14 FG, 4 - 5 3Pt), while Conley led all scorers with 24 (9 - 14 FG, 3 - 4 3Pt) and 11 assists. Marc Gasol added 18 points, six assists, and five rebounds. The Suns, who beat the Lakers 112 - 106 on Tuesday, were paced by 23 points (9 - 12 FG), five rebounds and four assists from Eric Bledsoe. It was a quiet night for Goran Dragic, who scored just six points in 26 minutes. The third member of the backcourt trio, Isaiah Thomas, had 15 points and two assists off the bench, while Markieff Morris added 20 points and five rebounds. The Grizzlies out - rebounded Phoenix 37 - 35 and outscored the Suns in the paint 46 - 32. Memphis also registered 25 assists compared to only 13 - on 32 field goals - for the Suns. Memphis now heads to Oklahoma City to take on the Thunder on Friday. Phoenix, meanwhile, hosts the Kings on Friday.
","To find the number of wins for the Memphis Grizzlies in the game report, we need to look for the team name ""Memphis Grizzlies"" in the report. 

The report mentions that the Grizzlies (50) used a strong second half to outlast the Suns (3 - 2) 102 - 91 in Phoenix on Wednesday night.

The number of wins for the Memphis Grizzlies is 50. 

So, the answer is: 50.","-1 

The team name is Memphis Grizzlies, and there is no mention of losses in the report.",The total points for the Memphis Grizzlies in the game report is 102.
8,2,Phoenix Suns,"The Grizzlies (50) used a strong second half to outlast the Suns (3 - 2) 102 - 91 in Phoenix on Wednesday night. Memphis found itself behind six at halftime but outscored Phoenix 30 - 19 in the third quarter and 26 - 20 in the final period. The Grizzlies shot 50 percent from the field, led by strong performances from Courtney Lee and Mike Conley. Lee scored 22 points (9 - 14 FG, 4 - 5 3Pt), while Conley led all scorers with 24 (9 - 14 FG, 3 - 4 3Pt) and 11 assists. Marc Gasol added 18 points, six assists, and five rebounds. The Suns, who beat the Lakers 112 - 106 on Tuesday, were paced by 23 points (9 - 12 FG), five rebounds and four assists from Eric Bledsoe. It was a quiet night for Goran Dragic, who scored just six points in 26 minutes. The third member of the backcourt trio, Isaiah Thomas, had 15 points and two assists off the bench, while Markieff Morris added 20 points and five rebounds. The Grizzlies out - rebounded Phoenix 37 - 35 and outscored the Suns in the paint 46 - 32. Memphis also registered 25 assists compared to only 13 - on 32 field goals - for the Suns. Memphis now heads to Oklahoma City to take on the Thunder on Friday. Phoenix, meanwhile, hosts the Kings on Friday.
","To find the number of wins for the Phoenix Suns, we need to look at the report. The report mentions that the Suns were ""3 - 2"" which means they have 2 wins and 3 losses. 

So, the number of wins for the Phoenix Suns is: 2.","Based on the report, the Team name is Phoenix Suns. They are mentioned as having a score of 3 - 2, which means they have 2 losses. 

So, the number of Losses for Team name in the game Report is: 2","The team name is Phoenix Suns. According to the report, the total points for the Phoenix Suns in the game are 91. 

So, the answer is: 91"
9,2,the Memphis Grizzlies and the Phoenix Suns.,"The Grizzlies (50) used a strong second half to outlast the Suns (3 - 2) 102 - 91 in Phoenix on Wednesday night. Memphis found itself behind six at halftime but outscored Phoenix 30 - 19 in the third quarter and 26 - 20 in the final period. The Grizzlies shot 50 percent from the field, led by strong performances from Courtney Lee and Mike Conley. Lee scored 22 points (9 - 14 FG, 4 - 5 3Pt), while Conley led all scorers with 24 (9 - 14 FG, 3 - 4 3Pt) and 11 assists. Marc Gasol added 18 points, six assists, and five rebounds. The Suns, who beat the Lakers 112 - 106 on Tuesday, were paced by 23 points (9 - 12 FG), five rebounds and four assists from Eric Bledsoe. It was a quiet night for Goran Dragic, who scored just six points in 26 minutes. The third member of the backcourt trio, Isaiah Thomas, had 15 points and two assists off the bench, while Markieff Morris added 20 points and five rebounds. The Grizzlies out - rebounded Phoenix 37 - 35 and outscored the Suns in the paint 46 - 32. Memphis also registered 25 assists compared to only 13 - on 32 field goals - for the Suns. Memphis now heads to Oklahoma City to take on the Thunder on Friday. Phoenix, meanwhile, hosts the Kings on Friday.
","To find the number of wins for the Memphis Grizzlies, we need to look at the report. The report states that the Grizzlies won the game 102-91, which means they won 1 game. 

So, the answer is: 1","Based on the report, the team that lost is the Phoenix Suns. The score was 102-91, so the Suns lost by 11 points. 

The number of Losses for the Phoenix Suns is 1.","To find the total points for Team name in the game Report, we need to look for the team name in the report and extract the total points.

The team name is ""Memphis Grizzlies"" and ""Phoenix Suns"". 

For Memphis Grizzlies, the total points are 102. 
For Phoenix Suns, the total points are 91.

So, the total points for Team name in the game Report is 102 + 91 = 193. 

However, the instruction asks for the total points for a specific team name. Since the team name is not specified, I will assume it is ""Memphis Grizzlies"" as it is the first team name mentioned.

The total points for Memphis Grizzlies is 102. 

If the team name is ""Phoenix Suns"", the total points is 91.

If the team name is neither ""Memphis Grizzlies"" nor ""Phoenix Suns"", the total points is -1.

Here are the results for each team name:

- Memphis Grizzlies: 102
- Phoenix Suns: 91
- Other team name: -1"
