,title,left,right,director_name
0,Aliens,Aliens,James Cameron,James Cameron
1,Bringing Out the Dead,Bringing Out the Dead,Martin Scorsese,Martin Scorsese
2,"Crouching Tiger, Hidden Dragon","Crouching Tiger, Hidden Dragon",Ang Lee,Ang Lee
3,Edge of Tomorrow,Edge of Tomorrow,Doug Liman,Doug Liman
4,Real Steel,Real Steel,Shawn Levy,Shawn Levy
5,Dark Shadows,Dark Shadows,Tim Burton,Tim Burton
6,Hanna,Hanna,Joe Wright,Joe Wright
7,The Weather Man,The Weather Man,Gore Verbinski,Gore Verbinski
8,Salt,Salt,Phillip Noyce,Phillip Noyce
9,Fight Club,Fight Club,David Fincher,David Fincher
10,Legends of the Fall,Legends of the Fall,Edward Zwick,Edward Zwick
