,title,left,right,director_name
0,Spectre,Spectre,Sam Mendes,Sam Mendes
1,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,Zack Snyder,Zack Snyder
2,Dark Shadows,Dark Shadows,Tim Burton,Tim Burton
3,Dragonfly,Dragonfly,Tom Shadyac,Tom Shadyac
4,Shorts,Shorts,Shawn Levy,Shawn Levy
5,Beverly Hills Chihuahua,Beverly Hills Chihuahua,George Miller,George Miller
6,The Sixth Sense,The Sixth Sense,M. Night Shyamalan,M. Night Shyamalan
7,Cheaper by the Dozen 2,Cheaper by the Dozen 2,Joe Wright,Joe Wright
8,The Crow,The Crow,Alex Proyas,Alex Proyas
9,Anything Else,Anything Else,Alejandro González Iñárritu,Alejandro González Iñárritu
10,Cirque du Freak: The Vampire's Assistant,Cirque du Freak: The Vampire's Assistant,Paul Greengrass,Paul Greengrass
11,Black Swan,Black Swan,Darren Aronofsky,Darren Aronofsky
