,title,director_name
0,Closer,Marc Forster
0,Closer,Andrew Adamson
0,Closer,Ridley Scott
0,Closer,Chris Weitz
0,Closer,Peter Berg
0,Closer,Martin Campbell
0,Closer,McG
0,Closer,Mike Newell
0,Closer,Justin Lin
0,Closer,Robert Zemeckis
0,Closer,Rob Cohen
0,Closer,David Ayer
0,Closer,Doug Liman
0,Closer,Kevin Reynolds
0,Closer,David Fincher
0,Closer,Francis Lawrence
0,Closer,Wolfgang Petersen
0,Closer,Michael Apted
0,Closer,Shawn Levy
0,Closer,Jonathan Liebesman
0,Closer,Joe Wright
0,Closer,Lee Tamahori
0,Closer,Edward Zwick
0,Closer,Alex Proyas
0,Closer,Jon M. Chu
0,Closer,Bill Condon
0,Closer,Louis Leterrier
0,Closer,Phillip Noyce
0,Closer,Darren Aronofsky
0,Closer,Robert Schwentke
2,Letters to Juliet,Michael Apted
3,Space Cowboys,Robert Zemeckis
3,Space Cowboys,Rob Cohen
3,Space Cowboys,Doug Liman
3,Space Cowboys,Jon Turteltaub
3,Space Cowboys,Michael Apted
3,Space Cowboys,Lee Tamahori
4,Cloud Atlas,Marc Forster
5,The Guilt Trip,Jon Turteltaub
5,The Guilt Trip,Michael Apted
5,The Guilt Trip,Shawn Levy
5,The Guilt Trip,Robert Schwentke
7,American Outlaws,Peter Berg
7,American Outlaws,Martin Campbell
7,American Outlaws,McG
7,American Outlaws,Mike Newell
7,American Outlaws,Rob Cohen
7,American Outlaws,Doug Liman
7,American Outlaws,Kevin Reynolds
7,American Outlaws,Francis Lawrence
7,American Outlaws,Jon Turteltaub
7,American Outlaws,Michael Apted
7,American Outlaws,Jonathan Liebesman
7,American Outlaws,Lee Tamahori
7,American Outlaws,Edward Zwick
7,American Outlaws,Richard Donner
7,American Outlaws,Louis Leterrier
7,American Outlaws,Robert Schwentke
9,Flags of Our Fathers,Michael Apted
11,Jack the Giant Slayer,Bryan Singer
11,Jack the Giant Slayer,Brett Ratner
11,Jack the Giant Slayer,Louis Leterrier
13,Dangerous Liaisons,Joe Wright
14,Lucky You,Gore Verbinski
14,Lucky You,Sam Mendes
14,Lucky You,Sam Raimi
14,Lucky You,Zack Snyder
14,Lucky You,Bryan Singer
14,Lucky You,Marc Forster
14,Lucky You,Andrew Adamson
14,Lucky You,Barry Sonnenfeld
14,Lucky You,Peter Jackson
14,Lucky You,Ridley Scott
14,Lucky You,Chris Weitz
14,Lucky You,Peter Berg
14,Lucky You,Brett Ratner
14,Lucky You,Martin Campbell
14,Lucky You,McG
14,Lucky You,Mike Newell
14,Lucky You,Justin Lin
14,Lucky You,Jon Favreau
14,Lucky You,Rob Cohen
14,Lucky You,David Ayer
14,Lucky You,Tom Shadyac
14,Lucky You,Doug Liman
14,Lucky You,Kevin Reynolds
14,Lucky You,Francis Lawrence
14,Lucky You,Jon Turteltaub
14,Lucky You,Wolfgang Petersen
14,Lucky You,Michael Apted
14,Lucky You,Oliver Stone
14,Lucky You,George Miller
14,Lucky You,Ron Howard
14,Lucky You,Kenneth Branagh
14,Lucky You,Jonathan Liebesman
14,Lucky You,Joe Wright
14,Lucky You,Rob Minkoff
14,Lucky You,Lee Tamahori
14,Lucky You,Edward Zwick
14,Lucky You,Alex Proyas
14,Lucky You,Richard Donner
14,Lucky You,Jon M. Chu
14,Lucky You,Bill Condon
14,Lucky You,Louis Leterrier
14,Lucky You,Phillip Noyce
14,Lucky You,Chris Columbus
14,Lucky You,Robert Schwentke
15,Kingdom of Heaven,Ridley Scott
17,Twins,Sam Mendes
17,Twins,Christopher Nolan
17,Twins,Marc Forster
17,Twins,Andrew Adamson
17,Twins,Barry Sonnenfeld
17,Twins,Chris Weitz
17,Twins,Peter Berg
17,Twins,Brett Ratner
17,Twins,Martin Campbell
17,Twins,McG
17,Twins,James Wan
17,Twins,Mike Newell
17,Twins,Steven Spielberg
17,Twins,Justin Lin
17,Twins,Jon Favreau
17,Twins,Rob Cohen
17,Twins,David Ayer
17,Twins,Tom Shadyac
17,Twins,Doug Liman
17,Twins,Kevin Reynolds
17,Twins,Francis Lawrence
17,Twins,Jon Turteltaub
17,Twins,Wolfgang Petersen
17,Twins,Michael Apted
17,Twins,Shawn Levy
17,Twins,George Miller
17,Twins,Ron Howard
17,Twins,Jonathan Liebesman
17,Twins,Joe Wright
17,Twins,Rob Minkoff
17,Twins,Lee Tamahori
17,Twins,Edward Zwick
17,Twins,Alex Proyas
17,Twins,Richard Donner
17,Twins,Jon M. Chu
17,Twins,Bill Condon
17,Twins,Louis Leterrier
17,Twins,Phillip Noyce
17,Twins,Chris Columbus
17,Twins,Robert Schwentke
18,Thor,Kenneth Branagh
19,Deck the Halls,Brett Ratner
19,Deck the Halls,McG
19,Deck the Halls,Rob Cohen
19,Deck the Halls,Francis Lawrence
19,Deck the Halls,Jon Turteltaub
19,Deck the Halls,Michael Apted
19,Deck the Halls,Shawn Levy
19,Deck the Halls,Rob Minkoff
19,Deck the Halls,Lee Tamahori
19,Deck the Halls,Jon M. Chu
19,Deck the Halls,Robert Schwentke
