,title,director_name
1,Twixt,Marc Forster
1,Twixt,Andrew Adamson
1,Twixt,Marc Forster
1,Twixt,Mike Newell
1,Twixt,Robert Zemeckis
1,Twixt,Andrew Adamson
1,Twixt,Kevin Reynolds
1,Twixt,Robert Zemeckis
2,The Dark Knight Rises,Christopher Nolan
2,The Dark Knight Rises,Christopher Nolan
2,The Dark Knight Rises,Christopher Nolan
2,The Dark Knight Rises,Christopher Nolan
6,Patriot Games,Martin Campbell
7,Admission,Sam Mendes
7,Admission,Marc Forster
7,Admission,Andrew Adamson
7,Admission,Peter Jackson
7,Admission,Peter Jackson
7,Admission,Chris Weitz
7,Admission,Peter Jackson
7,Admission,Peter Berg
7,Admission,Sam Mendes
7,Admission,Martin Campbell
7,Admission,McG
7,Admission,Marc Forster
7,Admission,Mike Newell
7,Admission,Justin Lin
7,Admission,Robert Zemeckis
7,Admission,Andrew Adamson
7,Admission,Jon Favreau
7,Admission,Rob Cohen
7,Admission,David Ayer
7,Admission,Tom Shadyac
7,Admission,Doug Liman
7,Admission,Kevin Reynolds
7,Admission,Jon Favreau
7,Admission,Jon Favreau
7,Admission,Robert Zemeckis
7,Admission,Peter Jackson
7,Admission,Rob Cohen
7,Admission,David Fincher
9,Daylight,Sam Mendes
9,Daylight,Christopher Nolan
9,Daylight,Bryan Singer
9,Daylight,Marc Forster
9,Daylight,Andrew Adamson
9,Daylight,Rob Marshall
9,Daylight,Barry Sonnenfeld
9,Daylight,Peter Jackson
9,Daylight,Ridley Scott
9,Daylight,Peter Jackson
9,Daylight,Chris Weitz
9,Daylight,Peter Jackson
9,Daylight,Peter Berg
9,Daylight,Sam Mendes
9,Daylight,Brett Ratner
9,Daylight,Martin Campbell
9,Daylight,McG
9,Daylight,James Wan
9,Daylight,Marc Forster
9,Daylight,Bryan Singer
9,Daylight,Bryan Singer
9,Daylight,Mike Newell
9,Daylight,Justin Lin
9,Daylight,Brett Ratner
9,Daylight,Andrew Adamson
9,Daylight,Bryan Singer
9,Daylight,Christopher Nolan
9,Daylight,Jon Favreau
9,Daylight,Barry Sonnenfeld
9,Daylight,Rob Cohen
9,Daylight,David Ayer
9,Daylight,Tom Shadyac
9,Daylight,Doug Liman
9,Daylight,Kevin Reynolds
9,Daylight,Jon Favreau
9,Daylight,Jon Favreau
9,Daylight,Christopher Nolan
9,Daylight,Christopher Nolan
9,Daylight,Peter Jackson
9,Daylight,Rob Cohen
10,The Hobbit: The Desolation of Smaug,Peter Jackson
10,The Hobbit: The Desolation of Smaug,Peter Jackson
10,The Hobbit: The Desolation of Smaug,Peter Jackson
10,The Hobbit: The Desolation of Smaug,Peter Jackson
12,The Man from U.N.C.L.E.,Doug Liman
13,Disclosure,Sam Mendes
13,Disclosure,Christopher Nolan
13,Disclosure,Bryan Singer
13,Disclosure,Marc Forster
13,Disclosure,Andrew Adamson
13,Disclosure,Barry Sonnenfeld
13,Disclosure,Peter Jackson
13,Disclosure,Ridley Scott
13,Disclosure,Peter Jackson
13,Disclosure,Chris Weitz
13,Disclosure,Peter Jackson
13,Disclosure,Peter Berg
13,Disclosure,Sam Mendes
13,Disclosure,Brett Ratner
13,Disclosure,Michael Bay
13,Disclosure,Michael Bay
13,Disclosure,Martin Campbell
13,Disclosure,McG
13,Disclosure,James Wan
13,Disclosure,Marc Forster
13,Disclosure,Bryan Singer
13,Disclosure,Bryan Singer
13,Disclosure,Mike Newell
13,Disclosure,Michael Bay
13,Disclosure,Justin Lin
13,Disclosure,Brett Ratner
13,Disclosure,Robert Zemeckis
13,Disclosure,Lilly Wachowski
13,Disclosure,Andrew Adamson
13,Disclosure,Bryan Singer
13,Disclosure,Christopher Nolan
13,Disclosure,Jon Favreau
13,Disclosure,Barry Sonnenfeld
13,Disclosure,Rob Cohen
13,Disclosure,David Ayer
13,Disclosure,Tom Shadyac
13,Disclosure,Doug Liman
13,Disclosure,Kevin Reynolds
13,Disclosure,Jon Favreau
13,Disclosure,Jon Favreau
13,Disclosure,Robert Zemeckis
13,Disclosure,Christopher Nolan
