,title,director_name
0,The Ides of March,Gore Verbinski
0,The Ides of March,Sam Mendes
0,The Ides of March,Christopher Nolan
0,The Ides of March,Sam Raimi
0,The Ides of March,Zack Snyder
0,The Ides of March,Bryan Singer
0,The Ides of March,Marc Forster
0,The Ides of March,Gore Verbinski
0,The Ides of March,Gore Verbinski
0,The Ides of March,Zack Snyder
0,The Ides of March,Andrew Adamson
0,The Ides of March,Rob Marshall
0,The Ides of March,Barry Sonnenfeld
0,The Ides of March,Peter Jackson
0,The Ides of March,Ridley Scott
0,The Ides of March,Peter Jackson
0,The Ides of March,Chris Weitz
0,The Ides of March,Peter Jackson
0,The Ides of March,Peter Berg
0,The Ides of March,Sam Mendes
0,The Ides of March,Sam Raimi
0,The Ides of March,Tim Burton
0,The Ides of March,Brett Ratner
0,The Ides of March,Sam Raimi
0,The Ides of March,Martin Campbell
0,The Ides of March,McG
0,The Ides of March,Marc Forster
0,The Ides of March,Bryan Singer
0,The Ides of March,Bryan Singer
0,The Ides of March,Mike Newell
0,The Ides of March,Guillermo del Toro
0,The Ides of March,Steven Spielberg
0,The Ides of March,Justin Lin
0,The Ides of March,Brett Ratner
0,The Ides of March,Roland Emmerich
0,The Ides of March,Robert Zemeckis
0,The Ides of March,Andrew Adamson
0,The Ides of March,Bryan Singer
0,The Ides of March,Christopher Nolan
0,The Ides of March,Jon Favreau
0,The Ides of March,Barry Sonnenfeld
0,The Ides of March,Rob Cohen
0,The Ides of March,David Ayer
0,The Ides of March,Tom Shadyac
0,The Ides of March,Doug Liman
0,The Ides of March,Kevin Reynolds
0,The Ides of March,Jon Favreau
0,The Ides of March,Jon Favreau
0,The Ides of March,Robert Zemeckis
0,The Ides of March,Roland Emmerich
0,The Ides of March,Christopher Nolan
0,The Ides of March,Christopher Nolan
0,The Ides of March,Peter Jackson
0,The Ides of March,Rob Cohen
0,The Ides of March,David Fincher
1,Harry Potter and the Chamber of Secrets,Andrew Adamson
1,Harry Potter and the Chamber of Secrets,Barry Sonnenfeld
1,Harry Potter and the Chamber of Secrets,Chris Weitz
1,Harry Potter and the Chamber of Secrets,Martin Campbell
1,Harry Potter and the Chamber of Secrets,Mike Newell
1,Harry Potter and the Chamber of Secrets,Andrew Adamson
1,Harry Potter and the Chamber of Secrets,Barry Sonnenfeld
1,Harry Potter and the Chamber of Secrets,Kevin Reynolds
2,The Flowers of War,Gore Verbinski
2,The Flowers of War,Zack Snyder
2,The Flowers of War,Bryan Singer
2,The Flowers of War,Marc Forster
2,The Flowers of War,Gore Verbinski
2,The Flowers of War,Gore Verbinski
2,The Flowers of War,Zack Snyder
2,The Flowers of War,Andrew Adamson
2,The Flowers of War,Rob Marshall
2,The Flowers of War,Barry Sonnenfeld
2,The Flowers of War,Chris Weitz
2,The Flowers of War,Martin Campbell
2,The Flowers of War,McG
2,The Flowers of War,Marc Forster
2,The Flowers of War,Bryan Singer
2,The Flowers of War,Bryan Singer
2,The Flowers of War,Mike Newell
2,The Flowers of War,Guillermo del Toro
2,The Flowers of War,Justin Lin
2,The Flowers of War,Robert Zemeckis
2,The Flowers of War,Andrew Adamson
2,The Flowers of War,Bryan Singer
2,The Flowers of War,Barry Sonnenfeld
2,The Flowers of War,Rob Cohen
2,The Flowers of War,Tom Shadyac
2,The Flowers of War,Kevin Reynolds
2,The Flowers of War,Robert Zemeckis
2,The Flowers of War,Rob Cohen
3,Bandits,James Cameron
3,Bandits,Gore Verbinski
3,Bandits,Sam Mendes
3,Bandits,Sam Raimi
3,Bandits,Zack Snyder
3,Bandits,Bryan Singer
3,Bandits,Marc Forster
3,Bandits,Gore Verbinski
3,Bandits,Gore Verbinski
3,Bandits,Zack Snyder
3,Bandits,Andrew Adamson
3,Bandits,Rob Marshall
3,Bandits,Barry Sonnenfeld
3,Bandits,Peter Jackson
3,Bandits,Ridley Scott
3,Bandits,Peter Jackson
3,Bandits,Chris Weitz
3,Bandits,Peter Jackson
3,Bandits,James Cameron
3,Bandits,Peter Berg
3,Bandits,Sam Mendes
3,Bandits,Sam Raimi
3,Bandits,Tim Burton
3,Bandits,Brett Ratner
3,Bandits,Michael Bay
3,Bandits,Michael Bay
3,Bandits,Sam Raimi
3,Bandits,Martin Campbell
3,Bandits,McG
3,Bandits,James Wan
3,Bandits,Marc Forster
3,Bandits,Bryan Singer
3,Bandits,Bryan Singer
3,Bandits,Mike Newell
3,Bandits,Guillermo del Toro
3,Bandits,Michael Bay
3,Bandits,Steven Spielberg
3,Bandits,Justin Lin
3,Bandits,Brett Ratner
3,Bandits,Roland Emmerich
3,Bandits,Robert Zemeckis
3,Bandits,Lilly Wachowski
3,Bandits,Andrew Adamson
3,Bandits,Bryan Singer
3,Bandits,Jon Favreau
3,Bandits,Martin Scorsese
3,Bandits,Barry Sonnenfeld
3,Bandits,Rob Cohen
3,Bandits,David Ayer
3,Bandits,Tom Shadyac
3,Bandits,Doug Liman
3,Bandits,Kevin Reynolds
3,Bandits,Jon Favreau
3,Bandits,Jon Favreau
3,Bandits,Robert Zemeckis
3,Bandits,Roland Emmerich
3,Bandits,Peter Jackson
3,Bandits,Rob Cohen
3,Bandits,David Fincher
4,Last Vegas,Gore Verbinski
4,Last Vegas,Sam Raimi
4,Last Vegas,Zack Snyder
4,Last Vegas,Bryan Singer
4,Last Vegas,Marc Forster
4,Last Vegas,Gore Verbinski
4,Last Vegas,Gore Verbinski
4,Last Vegas,Zack Snyder
