,title,director_name:left,director_name:right
0,Radio Days,Woody Allen,Gore Verbinski
0,Radio Days,Woody Allen,Bryan Singer
0,Radio Days,Woody Allen,Marc Forster
0,Radio Days,Woody Allen,Gore Verbinski
0,Radio Days,Woody Allen,Gore Verbinski
0,Radio Days,Woody Allen,Barry Sonnenfeld
0,Radio Days,Woody Allen,Peter Jackson
0,Radio Days,Woody Allen,Peter Jackson
0,Radio Days,Woody Allen,Chris Weitz
0,Radio Days,Woody Allen,Peter Jackson
0,Radio Days,Woody Allen,Peter Berg
0,Radio Days,Woody Allen,Martin Campbell
0,Radio Days,Woody Allen,McG
0,Radio Days,Woody Allen,Marc Forster
0,Radio Days,Woody Allen,Bryan Singer
0,Radio Days,Woody Allen,Bryan Singer
0,Radio Days,Woody Allen,Mike Newell
0,Radio Days,Woody Allen,Steven Spielberg
0,Radio Days,Woody Allen,Robert Zemeckis
0,Radio Days,Woody Allen,Bryan Singer
0,Radio Days,Woody Allen,Martin Scorsese
0,Radio Days,Woody Allen,Barry Sonnenfeld
0,Radio Days,Woody Allen,Rob Cohen
0,Radio Days,Woody Allen,Tom Shadyac
0,Radio Days,Woody Allen,Kevin Reynolds
0,Radio Days,Woody Allen,Robert Zemeckis
0,Radio Days,Woody Allen,Peter Jackson
0,Radio Days,Woody Allen,Rob Cohen
1,Money Talks,Brett Ratner,James Cameron
1,Money Talks,Brett Ratner,Gore Verbinski
1,Money Talks,Brett Ratner,Sam Mendes
1,Money Talks,Brett Ratner,Christopher Nolan
1,Money Talks,Brett Ratner,Sam Raimi
1,Money Talks,Brett Ratner,Zack Snyder
1,Money Talks,Brett Ratner,Bryan Singer
1,Money Talks,Brett Ratner,Marc Forster
1,Money Talks,Brett Ratner,Gore Verbinski
1,Money Talks,Brett Ratner,Gore Verbinski
1,Money Talks,Brett Ratner,Zack Snyder
1,Money Talks,Brett Ratner,Andrew Adamson
1,Money Talks,Brett Ratner,Rob Marshall
1,Money Talks,Brett Ratner,Barry Sonnenfeld
1,Money Talks,Brett Ratner,Peter Jackson
1,Money Talks,Brett Ratner,Ridley Scott
1,Money Talks,Brett Ratner,Peter Jackson
1,Money Talks,Brett Ratner,Chris Weitz
1,Money Talks,Brett Ratner,Peter Jackson
1,Money Talks,Brett Ratner,James Cameron
1,Money Talks,Brett Ratner,Peter Berg
1,Money Talks,Brett Ratner,Sam Mendes
1,Money Talks,Brett Ratner,Sam Raimi
1,Money Talks,Brett Ratner,Tim Burton
1,Money Talks,Brett Ratner,Brett Ratner
1,Money Talks,Brett Ratner,Michael Bay
1,Money Talks,Brett Ratner,Michael Bay
1,Money Talks,Brett Ratner,Sam Raimi
1,Money Talks,Brett Ratner,Martin Campbell
1,Money Talks,Brett Ratner,McG
1,Money Talks,Brett Ratner,James Wan
1,Money Talks,Brett Ratner,Marc Forster
1,Money Talks,Brett Ratner,Bryan Singer
1,Money Talks,Brett Ratner,Bryan Singer
1,Money Talks,Brett Ratner,Mike Newell
1,Money Talks,Brett Ratner,Guillermo del Toro
1,Money Talks,Brett Ratner,Michael Bay
1,Money Talks,Brett Ratner,Steven Spielberg
1,Money Talks,Brett Ratner,Justin Lin
1,Money Talks,Brett Ratner,Brett Ratner
1,Money Talks,Brett Ratner,Roland Emmerich
1,Money Talks,Brett Ratner,Robert Zemeckis
1,Money Talks,Brett Ratner,Lilly Wachowski
1,Money Talks,Brett Ratner,Andrew Adamson
1,Money Talks,Brett Ratner,Bryan Singer
1,Money Talks,Brett Ratner,Christopher Nolan
1,Money Talks,Brett Ratner,Jon Favreau
1,Money Talks,Brett Ratner,Martin Scorsese
1,Money Talks,Brett Ratner,Barry Sonnenfeld
1,Money Talks,Brett Ratner,Rob Cohen
1,Money Talks,Brett Ratner,David Ayer
1,Money Talks,Brett Ratner,Tom Shadyac
1,Money Talks,Brett Ratner,Doug Liman
1,Money Talks,Brett Ratner,Kevin Reynolds
1,Money Talks,Brett Ratner,Jon Favreau
1,Money Talks,Brett Ratner,Jon Favreau
1,Money Talks,Brett Ratner,Robert Zemeckis
1,Money Talks,Brett Ratner,Roland Emmerich
1,Money Talks,Brett Ratner,Christopher Nolan
1,Money Talks,Brett Ratner,Christopher Nolan
1,Money Talks,Brett Ratner,Peter Jackson
1,Money Talks,Brett Ratner,Rob Cohen
1,Money Talks,Brett Ratner,David Fincher
2,Date Night,Shawn Levy,Gore Verbinski
2,Date Night,Shawn Levy,Sam Mendes
2,Date Night,Shawn Levy,Sam Raimi
2,Date Night,Shawn Levy,Zack Snyder
2,Date Night,Shawn Levy,Bryan Singer
2,Date Night,Shawn Levy,Marc Forster
2,Date Night,Shawn Levy,Gore Verbinski
2,Date Night,Shawn Levy,Gore Verbinski
2,Date Night,Shawn Levy,Zack Snyder
2,Date Night,Shawn Levy,Andrew Adamson
2,Date Night,Shawn Levy,Rob Marshall
2,Date Night,Shawn Levy,Barry Sonnenfeld
2,Date Night,Shawn Levy,Peter Jackson
2,Date Night,Shawn Levy,Ridley Scott
2,Date Night,Shawn Levy,Peter Jackson
2,Date Night,Shawn Levy,Chris Weitz
2,Date Night,Shawn Levy,Peter Jackson
2,Date Night,Shawn Levy,Peter Berg
2,Date Night,Shawn Levy,Sam Mendes
2,Date Night,Shawn Levy,Sam Raimi
2,Date Night,Shawn Levy,Tim Burton
2,Date Night,Shawn Levy,Brett Ratner
2,Date Night,Shawn Levy,Michael Bay
2,Date Night,Shawn Levy,Michael Bay
2,Date Night,Shawn Levy,Sam Raimi
2,Date Night,Shawn Levy,Martin Campbell
2,Date Night,Shawn Levy,McG
2,Date Night,Shawn Levy,James Wan
2,Date Night,Shawn Levy,Marc Forster
2,Date Night,Shawn Levy,Bryan Singer
2,Date Night,Shawn Levy,Bryan Singer
2,Date Night,Shawn Levy,Mike Newell
2,Date Night,Shawn Levy,Guillermo del Toro
2,Date Night,Shawn Levy,Michael Bay
2,Date Night,Shawn Levy,Steven Spielberg
2,Date Night,Shawn Levy,Justin Lin
2,Date Night,Shawn Levy,Brett Ratner
2,Date Night,Shawn Levy,Roland Emmerich
2,Date Night,Shawn Levy,Robert Zemeckis
2,Date Night,Shawn Levy,Lilly Wachowski
2,Date Night,Shawn Levy,Andrew Adamson
2,Date Night,Shawn Levy,Bryan Singer
2,Date Night,Shawn Levy,Jon Favreau
2,Date Night,Shawn Levy,Martin Scorsese
2,Date Night,Shawn Levy,Barry Sonnenfeld
2,Date Night,Shawn Levy,Rob Cohen
2,Date Night,Shawn Levy,David Ayer
2,Date Night,Shawn Levy,Tom Shadyac
2,Date Night,Shawn Levy,Doug Liman
2,Date Night,Shawn Levy,Kevin Reynolds
2,Date Night,Shawn Levy,Jon Favreau
2,Date Night,Shawn Levy,Jon Favreau
2,Date Night,Shawn Levy,Robert Zemeckis
2,Date Night,Shawn Levy,Roland Emmerich
2,Date Night,Shawn Levy,Peter Jackson
2,Date Night,Shawn Levy,Rob Cohen
2,Date Night,Shawn Levy,David Fincher
3,Real Steel,Shawn Levy,Gore Verbinski
3,Real Steel,Shawn Levy,Sam Mendes
3,Real Steel,Shawn Levy,Zack Snyder
3,Real Steel,Shawn Levy,Bryan Singer
3,Real Steel,Shawn Levy,Marc Forster
3,Real Steel,Shawn Levy,Gore Verbinski
3,Real Steel,Shawn Levy,Gore Verbinski
3,Real Steel,Shawn Levy,Zack Snyder
3,Real Steel,Shawn Levy,Andrew Adamson
3,Real Steel,Shawn Levy,Barry Sonnenfeld
3,Real Steel,Shawn Levy,Ridley Scott
3,Real Steel,Shawn Levy,Chris Weitz
3,Real Steel,Shawn Levy,Peter Berg
3,Real Steel,Shawn Levy,Sam Mendes
3,Real Steel,Shawn Levy,Brett Ratner
3,Real Steel,Shawn Levy,Michael Bay
3,Real Steel,Shawn Levy,Michael Bay
3,Real Steel,Shawn Levy,McG
3,Real Steel,Shawn Levy,Marc Forster
3,Real Steel,Shawn Levy,Bryan Singer
3,Real Steel,Shawn Levy,Bryan Singer
3,Real Steel,Shawn Levy,Mike Newell
3,Real Steel,Shawn Levy,Guillermo del Toro
3,Real Steel,Shawn Levy,Michael Bay
3,Real Steel,Shawn Levy,Steven Spielberg
3,Real Steel,Shawn Levy,Justin Lin
3,Real Steel,Shawn Levy,Brett Ratner
3,Real Steel,Shawn Levy,Roland Emmerich
3,Real Steel,Shawn Levy,Robert Zemeckis
3,Real Steel,Shawn Levy,Lilly Wachowski
3,Real Steel,Shawn Levy,Andrew Adamson
3,Real Steel,Shawn Levy,Bryan Singer
3,Real Steel,Shawn Levy,Jon Favreau
3,Real Steel,Shawn Levy,Barry Sonnenfeld
3,Real Steel,Shawn Levy,Rob Cohen
3,Real Steel,Shawn Levy,David Ayer
3,Real Steel,Shawn Levy,Tom Shadyac
3,Real Steel,Shawn Levy,Doug Liman
3,Real Steel,Shawn Levy,Kevin Reynolds
3,Real Steel,Shawn Levy,Jon Favreau
3,Real Steel,Shawn Levy,Jon Favreau
3,Real Steel,Shawn Levy,Robert Zemeckis
3,Real Steel,Shawn Levy,Roland Emmerich
3,Real Steel,Shawn Levy,Rob Cohen
4,American Beauty,Sam Mendes,Gore Verbinski
4,American Beauty,Sam Mendes,Sam Mendes
4,American Beauty,Sam Mendes,Bryan Singer
4,American Beauty,Sam Mendes,Gore Verbinski
4,American Beauty,Sam Mendes,Gore Verbinski
4,American Beauty,Sam Mendes,Barry Sonnenfeld
4,American Beauty,Sam Mendes,Chris Weitz
4,American Beauty,Sam Mendes,Sam Mendes
4,American Beauty,Sam Mendes,Bryan Singer
4,American Beauty,Sam Mendes,Bryan Singer
4,American Beauty,Sam Mendes,Mike Newell
4,American Beauty,Sam Mendes,Robert Zemeckis
4,American Beauty,Sam Mendes,Bryan Singer
4,American Beauty,Sam Mendes,Barry Sonnenfeld
4,American Beauty,Sam Mendes,Tom Shadyac
4,American Beauty,Sam Mendes,Robert Zemeckis
4,American Beauty,Sam Mendes,David Fincher
5,Brokeback Mountain,Ang Lee,Gore Verbinski
5,Brokeback Mountain,Ang Lee,Gore Verbinski
5,Brokeback Mountain,Ang Lee,Gore Verbinski
5,Brokeback Mountain,Ang Lee,Andrew Adamson
5,Brokeback Mountain,Ang Lee,Chris Weitz
5,Brokeback Mountain,Ang Lee,Andrew Adamson
6,Anchorman: The Legend of Ron Burgundy,Adam McKay,Gore Verbinski
6,Anchorman: The Legend of Ron Burgundy,Adam McKay,Gore Verbinski
6,Anchorman: The Legend of Ron Burgundy,Adam McKay,Gore Verbinski
6,Anchorman: The Legend of Ron Burgundy,Adam McKay,Barry Sonnenfeld
6,Anchorman: The Legend of Ron Burgundy,Adam McKay,Peter Berg
6,Anchorman: The Legend of Ron Burgundy,Adam McKay,Mike Newell
6,Anchorman: The Legend of Ron Burgundy,Adam McKay,Robert Zemeckis
6,Anchorman: The Legend of Ron Burgundy,Adam McKay,Jon Favreau
6,Anchorman: The Legend of Ron Burgundy,Adam McKay,Barry Sonnenfeld
6,Anchorman: The Legend of Ron Burgundy,Adam McKay,Tom Shadyac
6,Anchorman: The Legend of Ron Burgundy,Adam McKay,Kevin Reynolds
6,Anchorman: The Legend of Ron Burgundy,Adam McKay,Jon Favreau
6,Anchorman: The Legend of Ron Burgundy,Adam McKay,Jon Favreau
6,Anchorman: The Legend of Ron Burgundy,Adam McKay,Robert Zemeckis
6,Anchorman: The Legend of Ron Burgundy,Adam McKay,David Fincher
7,Capitalism: A Love Story,Michael Moore,James Cameron
