,title,director_name
2,Mortdecai,Gore Verbinski
2,Mortdecai,Marc Forster
2,Mortdecai,Gore Verbinski
2,Mortdecai,Gore Verbinski
2,Mortdecai,Barry Sonnenfeld
2,Mortdecai,Martin Campbell
2,Mortdecai,McG
2,Mortdecai,Marc Forster
2,Mortdecai,Barry Sonnenfeld
5,Austin Powers: International Man of Mystery,Barry Sonnenfeld
5,Austin Powers: International Man of Mystery,Barry Sonnenfeld
6,Dragonfly,McG
6,Dragonfly,Lilly Wachowski
6,Dragonfly,Rob Cohen
6,Dragonfly,Doug Liman
6,Dragonfly,Rob Cohen
7,16 Blocks,Martin Campbell
7,16 Blocks,McG
8,How to Lose a Guy in 10 Days,McG
8,How to Lose a Guy in 10 Days,Doug Liman
9,Legend of the Guardians: The Owls of Ga'Hoole,McG
10,Memento,Christopher Nolan
10,Memento,Christopher Nolan
10,Memento,Christopher Nolan
10,Memento,Christopher Nolan
11,Face/Off,Rob Cohen
11,Face/Off,Rob Cohen
14,The Devil's Double,Martin Campbell
14,The Devil's Double,McG
15,Romeo Must Die,Brett Ratner
15,Romeo Must Die,Brett Ratner
16,Tootsie,Rob Marshall
16,Tootsie,Barry Sonnenfeld
16,Tootsie,Tim Burton
16,Tootsie,McG
16,Tootsie,Robert Zemeckis
16,Tootsie,Barry Sonnenfeld
16,Tootsie,Robert Zemeckis
18,5 Days of War,Rob Cohen
18,5 Days of War,Rob Cohen
19,For Your Eyes Only,Martin Campbell
21,Flawless,Sam Mendes
21,Flawless,Bryan Singer
21,Flawless,Marc Forster
21,Flawless,Rob Marshall
21,Flawless,Peter Berg
21,Flawless,Sam Mendes
21,Flawless,Brett Ratner
21,Flawless,Martin Campbell
21,Flawless,McG
21,Flawless,James Wan
21,Flawless,Marc Forster
21,Flawless,Bryan Singer
21,Flawless,Bryan Singer
21,Flawless,Mike Newell
21,Flawless,Justin Lin
21,Flawless,Brett Ratner
21,Flawless,Lilly Wachowski
21,Flawless,Bryan Singer
21,Flawless,Jon Favreau
21,Flawless,Rob Cohen
21,Flawless,David Ayer
21,Flawless,Tom Shadyac
21,Flawless,Doug Liman
21,Flawless,Kevin Reynolds
21,Flawless,Jon Favreau
21,Flawless,Jon Favreau
21,Flawless,Rob Cohen
21,Flawless,David Fincher
22,Parker,Sam Mendes
22,Parker,Bryan Singer
22,Parker,Marc Forster
22,Parker,Andrew Adamson
22,Parker,Rob Marshall
22,Parker,Barry Sonnenfeld
22,Parker,Ridley Scott
22,Parker,Chris Weitz
22,Parker,Peter Berg
22,Parker,Sam Mendes
22,Parker,Tim Burton
22,Parker,Brett Ratner
22,Parker,Martin Campbell
22,Parker,McG
22,Parker,Marc Forster
22,Parker,Bryan Singer
22,Parker,Bryan Singer
22,Parker,Mike Newell
22,Parker,Justin Lin
22,Parker,Brett Ratner
22,Parker,Roland Emmerich
22,Parker,Robert Zemeckis
22,Parker,Lilly Wachowski
22,Parker,Andrew Adamson
22,Parker,Bryan Singer
22,Parker,Jon Favreau
22,Parker,Barry Sonnenfeld
22,Parker,Rob Cohen
22,Parker,David Ayer
22,Parker,Tom Shadyac
22,Parker,Doug Liman
22,Parker,Kevin Reynolds
22,Parker,Jon Favreau
22,Parker,Jon Favreau
22,Parker,Robert Zemeckis
22,Parker,Roland Emmerich
22,Parker,Rob Cohen
22,Parker,David Fincher
23,Stranger Than Fiction,Robert Zemeckis
23,Stranger Than Fiction,Robert Zemeckis
26,25th Hour,Marc Forster
26,25th Hour,Peter Berg
26,25th Hour,Marc Forster
26,25th Hour,Martin Scorsese
26,25th Hour,David Fincher
28,Land of the Dead,Tim Burton
28,Land of the Dead,Robert Zemeckis
28,Land of the Dead,David Ayer
28,Land of the Dead,Robert Zemeckis
29,Promised Land,Marc Forster
29,Promised Land,Martin Campbell
29,Promised Land,Marc Forster
29,Promised Land,Mike Newell
29,Promised Land,Steven Spielberg
29,Promised Land,Jon Favreau
29,Promised Land,Tom Shadyac
29,Promised Land,Kevin Reynolds
29,Promised Land,Jon Favreau
29,Promised Land,Jon Favreau
30,Night at the Museum,Brett Ratner
30,Night at the Museum,McG
30,Night at the Museum,Brett Ratner
31,Sherlock Holmes: A Game of Shadows,Bryan Singer
31,Sherlock Holmes: A Game of Shadows,Marc Forster
31,Sherlock Holmes: A Game of Shadows,McG
31,Sherlock Holmes: A Game of Shadows,Marc Forster
31,Sherlock Holmes: A Game of Shadows,Bryan Singer
31,Sherlock Holmes: A Game of Shadows,Bryan Singer
31,Sherlock Holmes: A Game of Shadows,Bryan Singer
33,The Bridges of Madison County,McG
35,Driven,James Cameron
35,Driven,Gore Verbinski
35,Driven,Sam Mendes
35,Driven,Christopher Nolan
35,Driven,Bryan Singer
35,Driven,Marc Forster
35,Driven,Gore Verbinski
35,Driven,Gore Verbinski
35,Driven,Andrew Adamson
35,Driven,Rob Marshall
35,Driven,Peter Jackson
35,Driven,Ridley Scott
35,Driven,Peter Jackson
35,Driven,Chris Weitz
35,Driven,Peter Jackson
35,Driven,James Cameron
35,Driven,Peter Berg
35,Driven,Sam Mendes
35,Driven,Brett Ratner
35,Driven,Michael Bay
35,Driven,Michael Bay
35,Driven,Martin Campbell
35,Driven,McG
35,Driven,James Wan
35,Driven,Marc Forster
35,Driven,Bryan Singer
35,Driven,Bryan Singer
35,Driven,Mike Newell
