player_name,birthplace
Randy Livingston,United States
Gaylon Nickerson,United States
George Lynch,United States
George McCloud,United States
George Zidek,Czechia
Gerald Wilkins,United States
Gheorghe Muresan,Romania
Glen Rice,United States
Glenn Robinson,United States
Grant Hill,United States
Gary Trent,United States
Grant Long,United States
Greg Anthony,United States
Greg Dreiling,United States
Greg Foster,United States
Greg Graham,United States
Greg Minor,United States
Greg Ostertag,United States
Hakeem Olajuwon,Nigeria
Harvey Grant,United States
Haywoode Workman,England
Greg Anderson,United States
Gary Payton,United States
Gary Grant,United States
Fred Roberts,United States
Eldridge Recasner,United States
Elliot Perry,United States
Elmer Bennett,United States
Elmore Spencer,United States
Emanual Davis,United States
Ennis Whatley,United States
Eric Leckner,United States
Eric Mobley,United States
Eric Montross,United States
Eric Murdock,United States
Eric Piatkowski,Poland
Eric Snow,United States
Eric Williams,United States
Erick Dampier,United States
Erick Strickland,United States
Ervin Johnson,United States
Evric Gray,United States
Felton Spencer,United States
Frank Brickowski,"Poland
"
Frankie King,United States
Fred Hoiberg,United States
Henry James,United States
Elden Campbell,United States
Herb Williams,United States
Horace Grant,United States
Jerome Williams,United States
Jerry Stackhouse,United States
Jim Jackson,USA
Jim McIlvaine,United States
Jimmy Carruth,United States
Jimmy King,United States
Jimmy Oliver,England
Joe Courtney,United States
Joe Dumars,United States
Jerome Kersey,United States
Joe Kleine,United States
Joe Stephens,United States
Joe Wolf,Germany
John Crotty,United States
John Long,United States
John Starks,United States
John Stockton,United States
John Wallace,United States
Johnny Newman,United States
Jon Barry,United States
Joe Smith,United States
Jerome Allen,United States
Jermaine O'Neal,United States
Jeff McInnis,United States
Horacio Llamas,Argentina
Hot Rod Williams,United States
Howard Eisley,United States
Hubert Davis,United States
Ike Austin,United States
Isaiah Rider,United States
Ivano Newbill,United States
Jack Haley,United States
Jalen Rose,United States
Jamal Mashburn,United States
James Robinson,United States
James Scott,England
Jamie Feick,United States
Jamie Watson,England
Jaren Jackson,United States
Jason Caffey,United States
Jason Kidd,United States
Jason Sasser,United States
Jayson Williams,United States
Jeff Grayer,United States
Jeff Hornacek,United States
Hersey Hawkins,United States
Eddie Jones,Australia
Eddie Johnson,United States
Ed Pinckney,United States
Chris Jent,Canada
