experiment,system,llm_provider,model_name,input_size,query_id,class_name,task_name,latency_sec,input_tokens,output_tokens,total_tokens,total_calls,tokens_throughput,quality
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,1000,q1,derivation,classification,721.6136431694031,983275.0,106864.0,1090139.0,1000.0,1510.6962157921444,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,2000,q1,derivation,classification,1608.4132051467896,2009966.0,240282.0,2250248.0,2000.0,1399.0484489927042,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,4000,q1,derivation,classification,3192.044856071472,3957956.0,477363.0,4435319.0,3892.0,1389.491438869896,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,1000,q2,derivation,classification,637.1433231830597,983275.0,89872.0,1073147.0,1000.0,1684.3102029834356,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,2000,q2,derivation,classification,1566.62491106987,2011004.0,232678.0,2243682.0,2000.0,1432.1756178814737,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,4000,q2,derivation,classification,3221.002195596695,3957956.0,484328.0,4442284.0,3892.0,1379.1620527526716,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,1000,q3,derivation,classification,1465.6963407993317,999275.0,128120.0,1127395.0,1000.0,769.1872924955003,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,2000,q3,derivation,classification,1489.323279619217,2043004.0,218447.0,2261451.0,2000.0,1518.4419870064726,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,4000,q3,derivation,classification,2903.412152528763,4020228.0,422108.0,4442336.0,3892.0,1530.0397486215977,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,1000,q4,derivation,reasoning,692.8343489170074,991275.0,84539.0,1075814.0,1000.0,1552.7723209474832,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,2000,q4,derivation,reasoning,1360.8012354373932,2027004.0,187444.0,2214448.0,2000.0,1627.3118676940537,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,4000,q4,derivation,reasoning,2943.075197458267,3989092.0,385923.0,4375015.0,3892.0,1486.545435121196,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,1000,q5,derivation,reasoning,1759.0650763511658,991275.0,110119.0,1101394.0,1000.0,626.1246470111413,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,2000,q5,derivation,reasoning,1546.650588274002,2027004.0,203292.0,2230296.0,2000.0,1442.0167146407114,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,4000,q5,derivation,reasoning,2792.345145225525,3989092.0,394847.0,4383939.0,3892.0,1569.9846444469276,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,1000,q6,derivation,reasoning,1033.7505111694336,986275.0,167902.0,1154177.0,1000.0,1116.4947320745057,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,2000,q6,derivation,reasoning,2117.4205832481384,2017004.0,340773.0,2357777.0,2000.0,1113.5137811795298,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,4000,q6,derivation,reasoning,4152.736951828003,3969632.0,667537.0,4637169.0,3892.0,1116.6536801611655,-
