,parent_paper_title,parent_paper_arxiv_id,citation_shorthand,raw_citation_text,cited_paper_title,cited_paper_arxiv_link,cited_paper_abstract,has_metadata,is_arxiv_paper,bib_paper_authors,bib_paper_year,bib_paper_month,bib_paper_url,bib_paper_doi,bib_paper_journal
0,"KVCache Cache in the Wild: Characterizing and Optimizing KVCache Cache
  at a Large Cloud Provider",2506.02634v1,DBLP:journals/tos/EinzigerEFM22,\cite{DBLP:journals/tos/EinzigerEFM22},Lightweight Robust Size Aware Cache Management,http://arxiv.org/abs/2105.08770v2,"Modern key-value stores, object stores, Internet proxy caches, as well as
Content Delivery Networks (CDN) often manage objects of diverse sizes, e.g.,
blobs, video files of different lengths, images with varying resolution, and
small documents. In such workloads, size-aware cache policies outperform
size-oblivious algorithms. Unfortunately, existing size-aware algorithms tend
to be overly complicated and computationally~expensive.
  Our work follows a more approachable pattern; we extend the prevalent
(size-oblivious) TinyLFU cache admission policy to handle variable sized items.
Implementing our approach inside two popular caching libraries only requires
minor changes. We show that our algorithms yield competitive or better
hit-ratios and byte hit-ratios compared to the state of the art size-aware
algorithms such as AdaptSize, LHD, LRB, and GDSF. Further, a runtime comparison
indicates that our implementation is faster by up to x3 compared to the best
alternative, i.e., it imposes much lower CPU overhead.",True,True,"Gil Einziger and
                  Ohad Eytan and
                  Roy Friedman and
                  Benjamin Manes",2022.0,,https://doi.org/10.1145/3507920,10.1145/3507920,{ACM} Trans. Storage
1,"Speaking Beyond Language: A Large-Scale Multimodal Dataset for Learning
  Nonverbal Cues from Video-Grounded Dialogues",2506.00958v1,danvevcek2022emoca,\cite{danvevcek2022emoca},EMOCA: Emotion Driven Monocular Face Capture and Animation,http://arxiv.org/abs/2204.11312v1,"As 3D facial avatars become more widely used for communication, it is
critical that they faithfully convey emotion. Unfortunately, the best recent
methods that regress parametric 3D face models from monocular images are unable
to capture the full spectrum of facial expression, such as subtle or extreme
emotions. We find the standard reconstruction metrics used for training
(landmark reprojection error, photometric error, and face recognition loss) are
insufficient to capture high-fidelity expressions. The result is facial
geometries that do not match the emotional content of the input image. We
address this with EMOCA (EMOtion Capture and Animation), by introducing a novel
deep perceptual emotion consistency loss during training, which helps ensure
that the reconstructed 3D expression matches the expression depicted in the
input image. While EMOCA achieves 3D reconstruction errors that are on par with
the current best methods, it significantly outperforms them in terms of the
quality of the reconstructed expression and the perceived emotional content. We
also directly regress levels of valence and arousal and classify basic
expressions from the estimated 3D face parameters. On the task of in-the-wild
emotion recognition, our purely geometric approach is on par with the best
image-based methods, highlighting the value of 3D geometry in analyzing human
behavior. The model and code are publicly available at
https://emoca.is.tue.mpg.de.",True,True,"Dan{\v{e}}{\v{c}}ek, Radek and Black, Michael J and Bolkart, Timo",2022.0,,,,
2,"Is Your Model Fairly Certain? Uncertainty-Aware Fairness Evaluation for
  LLMs",2505.23996v1,kuhn2023semantic,\cite{kuhn2023semantic},"Semantic Uncertainty: Linguistic Invariances for Uncertainty Estimation
  in Natural Language Generation",http://arxiv.org/abs/2302.09664v3,"We introduce a method to measure uncertainty in large language models. For
tasks like question answering, it is essential to know when we can trust the
natural language outputs of foundation models. We show that measuring
uncertainty in natural language is challenging because of ""semantic
equivalence"" -- different sentences can mean the same thing. To overcome these
challenges we introduce semantic entropy -- an entropy which incorporates
linguistic invariances created by shared meanings. Our method is unsupervised,
uses only a single model, and requires no modifications to off-the-shelf
language models. In comprehensive ablation studies we show that the semantic
entropy is more predictive of model accuracy on question answering data sets
than comparable baselines.",True,True,"Kuhn, Lorenz and Gal, Yarin and Farquhar, Sebastian",2023.0,,,,
3,"Synthetic Generation and Latent Projection Denoising of Rim Lesions in
  Multiple Sclerosis",2505.23353v1,Jigl,\cite{Jigl},SynthSR: A public AI tool to turn heterogeneous clinical brain scans into high-resolution T1-weighted images for 3D morphometry,,,True,False,Juan E. Iglesias  and Benjamin Billot  and Yaël Balbastre  and Colin Magdamo  and Steven E. Arnold  and Sudeshna Das  and Brian L. Edlow  and Daniel C. Alexander  and Polina Golland  and Bruce Fischl,2023.0,,https://www.science.org/doi/abs/10.1126/sciadv.add3607,10.1126/sciadv.add3607,Science Advances
4,"Self-supervised ControlNet with Spatio-Temporal Mamba for Real-world
  Video Super-resolution",2506.01037v1,xie2023mitigating,\cite{xie2023mitigating},Mitigating Artifacts in Real-World Video Super-Resolution Models,http://arxiv.org/abs/2212.07339v1,"The recurrent structure is a prevalent framework for the task of video
super-resolution, which models the temporal dependency between frames via
hidden states. When applied to real-world scenarios with unknown and complex
degradations, hidden states tend to contain unpleasant artifacts and propagate
them to restored frames. In this circumstance, our analyses show that such
artifacts can be largely alleviated when the hidden state is replaced with a
cleaner counterpart. Based on the observations, we propose a Hidden State
Attention (HSA) module to mitigate artifacts in real-world video
super-resolution. Specifically, we first adopt various cheap filters to produce
a hidden state pool. For example, Gaussian blur filters are for smoothing
artifacts while sharpening filters are for enhancing details. To aggregate a
new hidden state that contains fewer artifacts from the hidden state pool, we
devise a Selective Cross Attention (SCA) module, in which the attention between
input features and each hidden state is calculated. Equipped with HSA, our
proposed method, namely FastRealVSR, is able to achieve 2x speedup while
obtaining better performance than Real-BasicVSR. Codes will be available at
https://github.com/TencentARC/FastRealVSR",True,True,"Xie, Liangbin and Wang, Xintao and Shi, Shuwei and Gu, Jinjin and Dong, Chao and Shan, Ying",2023.0,,,,
5,"Self-supervised ControlNet with Spatio-Temporal Mamba for Real-world
  Video Super-resolution",2506.01037v1,mamba,\cite{mamba},Mamba: Linear-Time Sequence Modeling with Selective State Spaces,http://arxiv.org/abs/2312.00752v2,"Foundation models, now powering most of the exciting applications in deep
learning, are almost universally based on the Transformer architecture and its
core attention module. Many subquadratic-time architectures such as linear
attention, gated convolution and recurrent models, and structured state space
models (SSMs) have been developed to address Transformers' computational
inefficiency on long sequences, but they have not performed as well as
attention on important modalities such as language. We identify that a key
weakness of such models is their inability to perform content-based reasoning,
and make several improvements. First, simply letting the SSM parameters be
functions of the input addresses their weakness with discrete modalities,
allowing the model to selectively propagate or forget information along the
sequence length dimension depending on the current token. Second, even though
this change prevents the use of efficient convolutions, we design a
hardware-aware parallel algorithm in recurrent mode. We integrate these
selective SSMs into a simplified end-to-end neural network architecture without
attention or even MLP blocks (Mamba). Mamba enjoys fast inference (5$\times$
higher throughput than Transformers) and linear scaling in sequence length, and
its performance improves on real data up to million-length sequences. As a
general sequence model backbone, Mamba achieves state-of-the-art performance
across several modalities such as language, audio, and genomics. On language
modeling, our Mamba-3B model outperforms Transformers of the same size and
matches Transformers twice its size, both in pretraining and downstream
evaluation.",True,True,"Gu, Albert and Dao, Tri",2023.0,,,,arXiv preprint arXiv:2312.00752
6,Test-time Vocabulary Adaptation for Language-driven Object Detection,2506.00333v1,deng2009imagenet,\cite{deng2009imagenet},{ImageNet: a Large-Scale Hierarchical Image Database},,,True,False,"Deng, Jia and Dong, Wei and Socher, Richard and Li, Li-Jia and Li, Kai and Fei-Fei, Li",2009.0,,,,
7,"Diversify and Conquer: Open-set Disagreement for Robust Semi-supervised
  Learning with Outliers",2505.24443v1,ssl_4,\cite{ssl_4},"FixMatch: Simplifying Semi-Supervised Learning with Consistency and
  Confidence",http://arxiv.org/abs/2001.07685v2,"Semi-supervised learning (SSL) provides an effective means of leveraging
unlabeled data to improve a model's performance. In this paper, we demonstrate
the power of a simple combination of two common SSL methods: consistency
regularization and pseudo-labeling. Our algorithm, FixMatch, first generates
pseudo-labels using the model's predictions on weakly-augmented unlabeled
images. For a given image, the pseudo-label is only retained if the model
produces a high-confidence prediction. The model is then trained to predict the
pseudo-label when fed a strongly-augmented version of the same image. Despite
its simplicity, we show that FixMatch achieves state-of-the-art performance
across a variety of standard semi-supervised learning benchmarks, including
94.93% accuracy on CIFAR-10 with 250 labels and 88.61% accuracy with 40 -- just
4 labels per class. Since FixMatch bears many similarities to existing SSL
methods that achieve worse performance, we carry out an extensive ablation
study to tease apart the experimental factors that are most important to
FixMatch's success. We make our code available at
https://github.com/google-research/fixmatch.",True,True,"Kihyuk Sohn and
                  David Berthelot and
                  Nicholas Carlini and
                  Zizhao Zhang and
                  Han Zhang and
                  Colin Raffel and
                  Ekin Dogus Cubuk and
                  Alexey Kurakin and
                  Chun{-}Liang Li",2020.0,,,,
8,"Diversify and Conquer: Open-set Disagreement for Robust Semi-supervised
  Learning with Outliers",2505.24443v1,ssl_8,\cite{ssl_8},"SoftMatch: Addressing the Quantity-Quality Trade-off in Semi-supervised
  Learning",http://arxiv.org/abs/2301.10921v2,"The critical challenge of Semi-Supervised Learning (SSL) is how to
effectively leverage the limited labeled data and massive unlabeled data to
improve the model's generalization performance. In this paper, we first revisit
the popular pseudo-labeling methods via a unified sample weighting formulation
and demonstrate the inherent quantity-quality trade-off problem of
pseudo-labeling with thresholding, which may prohibit learning. To this end, we
propose SoftMatch to overcome the trade-off by maintaining both high quantity
and high quality of pseudo-labels during training, effectively exploiting the
unlabeled data. We derive a truncated Gaussian function to weight samples based
on their confidence, which can be viewed as a soft version of the confidence
threshold. We further enhance the utilization of weakly-learned classes by
proposing a uniform alignment approach. In experiments, SoftMatch shows
substantial improvements across a wide variety of benchmarks, including image,
text, and imbalanced classification.",True,True,Hao Chen and Ran Tao and Yue Fan and Yidong Wang and Jindong Wang and Bernt Schiele and Xing Xie and Bhiksha Raj and Marios Savvides,2023.0,,,,
9,"Diversify and Conquer: Open-set Disagreement for Robust Semi-supervised
  Learning with Outliers",2505.24443v1,ossl_10,\cite{ossl_10},Out-of-Distributed Semantic Pruning for Robust Semi-Supervised Learning,http://arxiv.org/abs/2305.18158v2,"Recent advances in robust semi-supervised learning (SSL) typically filter
out-of-distribution (OOD) information at the sample level. We argue that an
overlooked problem of robust SSL is its corrupted information on semantic
level, practically limiting the development of the field. In this paper, we
take an initial step to explore and propose a unified framework termed OOD
Semantic Pruning (OSP), which aims at pruning OOD semantics out from
in-distribution (ID) features. Specifically, (i) we propose an aliasing OOD
matching module to pair each ID sample with an OOD sample with semantic
overlap. (ii) We design a soft orthogonality regularization, which first
transforms each ID feature by suppressing its semantic component that is
collinear with paired OOD sample. It then forces the predictions before and
after soft orthogonality decomposition to be consistent. Being practically
simple, our method shows a strong performance in OOD detection and ID
classification on challenging benchmarks. In particular, OSP surpasses the
previous state-of-the-art by 13.7% on accuracy for ID classification and 5.9%
on AUROC for OOD detection on TinyImageNet dataset. The source codes are
publicly available at https://github.com/rain305f/OSP.",True,True,"Wang, Yu and Qiao, Pengchong and Liu, Chang and Song, Guoli and Zheng, Xiawu and Chen, Jie",2023.0,,,,
